|||Angola
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonangol|Oil & Gas Drilling|https://www.sonangol.co.ao|https://www.sonangol.co.ao/careers|https://www.sonangol.co.ao/news
2|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
3|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
4|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
5|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
6|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news
7|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
8|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news
9|Pacific Drilling|Oil & Gas Drilling|https://www.pacificdrilling.com|https://www.pacificdrilling.com/careers|https://www.pacificdrilling.com/news
10|KCA Deutag|Oil & Gas Drilling|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonangol|Oil & Gas Equipment & Services|https://www.sonangol.co.ao|https://www.sonangol.co.ao/careers|https://www.sonangol.co.ao/news
2|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
3|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news
4|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
5|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
6|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|CGG|Oil & Gas Equipment & Services|https://www.cgg.com|https://www.cgg.com/careers|https://www.cgg.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonangol|Integrated Oil & Gas|https://www.sonangol.co.ao|https://www.sonangol.co.ao/careers|https://www.sonangol.co.ao/news
2|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news
4|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/careers.html|https://www.bp.com/en/global/corporate/media.html
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enit/careers.html|https://www.eni.com/enit/media.html
7|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Sasol|Integrated Oil & Gas|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/media
10|CNOOC|Integrated Oil & Gas|http://www.cnooc.com.cn|http://www.cnooc.com.cn/english/careers|http://www.cnooc.com.cn/english/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonangol|Oil & Gas Exploration & Production|https://www.sonangol.co.ao|https://www.sonangol.co.ao/careers|https://www.sonangol.co.ao/news
2|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|ExxonMobil|Oil & Gas Exploration & Production|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news
