|||Benin
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Seplat Energy|Oil & Gas Drilling|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
2|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Eland Oil & Gas|Oil & Gas Drilling|https://elandog.com|https://elandog.com/careers|https://elandog.com/news
4|Oando|Oil & Gas Drilling|https://oando.com|https://oando.com/careers|https://oando.com/news
5|Heritage Oil|Oil & Gas Drilling|https://heritageoilplc.com|https://heritageoilplc.com/careers|https://heritageoilplc.com/news
6|Afren|Oil & Gas Drilling|https://afren.com|https://afren.com/careers|https://afren.com/news
7|Addax Petroleum|Oil & Gas Drilling|https://addaxpetroleum.com|https://addaxpetroleum.com/careers|https://addaxpetroleum.com/news
8|CNR International|Oil & Gas Drilling|https://cnrinternational.com|https://cnrinternational.com/careers|https://cnrinternational.com/news
9|Niger Delta Exploration & Production|Oil & Gas Drilling|https://ndep.com|https://ndep.com/careers|https://ndep.com/news
10|Aiteo|Oil & Gas Drilling|https://aiteogroup.com|https://aiteogroup.com/careers|https://aiteogroup.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Oando|Integrated Oil & Gas|https://oando.com|https://oando.com/careers|https://oando.com/news
3|Seplat Energy|Integrated Oil & Gas|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
4|Eland Oil & Gas|Integrated Oil & Gas|https://elandog.com|https://elandog.com/careers|https://elandog.com/news
5|Heritage Oil|Integrated Oil & Gas|https://heritageoilplc.com|https://heritageoilplc.com/careers|https://heritageoilplc.com/news
6|Addax Petroleum|Integrated Oil & Gas|https://addaxpetroleum.com|https://addaxpetroleum.com/careers|https://addaxpetroleum.com/news
7|Niger Delta Exploration & Production|Integrated Oil & Gas|https://ndep.com|https://ndep.com/careers|https://ndep.com/news
8|Aiteo|Integrated Oil & Gas|https://aiteogroup.com|https://aiteogroup.com/careers|https://aiteogroup.com/news
9|CNR International|Integrated Oil & Gas|https://cnrinternational.com|https://cnrinternational.com/careers|https://cnrinternational.com/news
10|Afren|Integrated Oil & Gas|https://afren.com|https://afren.com/careers|https://afren.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Seplat Energy|Oil & Gas Exploration & Production|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
2|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Oando|Oil & Gas Exploration & Production|https://oando.com|https://oando.com/careers|https://oando.com/news
4|Eland Oil & Gas|Oil & Gas Exploration & Production|https://elandog.com|https://elandog.com/careers|https://elandog.com/news
5|Heritage Oil|Oil & Gas Exploration & Production|https://heritageoilplc.com|https://heritageoilplc.com/careers|https://heritageoilplc.com/news
6|Addax Petroleum|Oil & Gas Exploration & Production|https://addaxpetroleum.com|https://addaxpetroleum.com/careers|https://addaxpetroleum.com/news
7|Niger Delta Exploration & Production|Oil & Gas Exploration & Production|https://ndep.com|https://ndep.com/careers|https://ndep.com/news
8|Aiteo|Oil & Gas Exploration & Production|https://aiteogroup.com|https://aiteogroup.com/careers|https://aiteogroup.com/news
9|CNR International|Oil & Gas Exploration & Production|https://cnrinternational.com|https://cnrinternational.com/careers|https://cnrinternational.com/news
10|Afren|Oil & Gas Exploration & Production|https://afren.com|https://afren.com/careers|https://afren.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Oando|Oil & Gas Refining & Marketing|https://oando.com|https://oando.com/careers|https://oando.com/news
3|Nigerian National Petroleum Corporation (NNPC)|Oil & Gas Refining & Marketing|https://nnpcgroup.com|https://nnpcgroup.com/careers|https://nnpcgroup.com/news
4|Conoil|Oil & Gas Refining & Marketing|https://conoilplc.com|https://conoilplc.com/careers|https://conoilplc.com/news
5|Mobil Oil Nigeria|Oil & Gas Refining & Marketing|https://mobilnigeria.com|https://mobilnigeria.com/careers|https://mobilnigeria.com/news
6|Forte Oil|Oil & Gas Refining & Marketing|https://forteoilplc.com|https://forteoilplc.com/careers|https://forteoilplc.com/news
7|Eterna|Oil & Gas Refining & Marketing|https://eterna.ng|https://eterna.ng/careers|https://eterna.ng/news
8|AP Oil|Oil & Gas Refining & Marketing|https://apoil.com.ng|https://apoil.com.ng/careers|https://apoil.com.ng/news
9|Sahara Group|Oil & Gas Refining & Marketing|https://sahara-group.com|https://sahara-group.com/careers|https://sahara-group.com/news
10|Seplat Energy|Oil & Gas Refining & Marketing|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Oando|Oil & Gas Storage & Transportation|https://oando.com|https://oando.com/careers|https://oando.com/news
2|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Nigerian National Petroleum Corporation (NNPC)|Oil & Gas Storage & Transportation|https://nnpcgroup.com|https://nnpcgroup.com/careers|https://nnpcgroup.com/news
4|Sahara Group|Oil & Gas Storage & Transportation|https://sahara-group.com|https://sahara-group.com/careers|https://sahara-group.com/news
5|Seplat Energy|Oil & Gas Storage & Transportation|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
6|Conoil|Oil & Gas Storage & Transportation|https://conoilplc.com|https://conoilplc.com/careers|https://conoilplc.com/news
7|Forte Oil|Oil & Gas Storage & Transportation|https://forteoilplc.com|https://forteoilplc.com/careers|https://forteoilplc.com/news
8|Eterna|Oil & Gas Storage & Transportation|https://eterna.ng|https://eterna.ng/careers|https://eterna.ng/news
9|AP Oil|Oil & Gas Storage & Transportation|https://apoil.com.ng|https://apoil.com.ng/careers|https://apoil.com.ng/news
10|Niger Delta Exploration & Production|Oil & Gas Storage & Transportation|https://ndep.com|https://ndep.com/careers|https://ndep.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Benin Coal Company|Coal & Consumable Fuels|https://benincoal.com|https://benincoal.com/careers|https://benincoal.com/news
2|African Coal|Coal & Consumable Fuels|https://africancoal.com|https://africancoal.com/careers|https://africancoal.com/news
3|Coal Power Nigeria|Coal & Consumable Fuels|https://coalpowerng.com|https://coalpowerng.com/careers|https://coalpowerng.com/news
4|Nigerian Coal Corporation|Coal & Consumable Fuels|https://nigeriancoal.com|https://nigeriancoal.com/careers|https://nigeriancoal.com/news
5|Energy Coal|Coal & Consumable Fuels|https://energycoal.com|https://energycoal.com/careers|https://energycoal.com/news
6|Coal Logistics Nigeria|Coal & Consumable Fuels|https://coallogisticsng.com|https://coallogisticsng.com/careers|https://coallogisticsng.com/news
7|Green Coal|Coal & Consumable Fuels|https://greencoal.com|https://greencoal.com/careers|https://greencoal.com/news
8|Coal Mining and Trading|Coal & Consumable Fuels|https://coalminingtrading.com|https://coalminingtrading.com/careers|https://coalminingtrading.com/news
