|||Botswana
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Botswana Oil|Oil & Gas Drilling|https://www.botswanaoil.bw|https://www.botswanaoil.bw/careers|https://www.botswanaoil.bw/news
2|De Beers Group|Oil & Gas Drilling|https://www.debeersgroup.com|https://www.debeersgroup.com/careers|https://www.debeersgroup.com/news
3|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
4|Chariot Oil & Gas|Oil & Gas Drilling|https://www.chariotoilandgas.com|https://www.chariotoilandgas.com/careers|https://www.chariotoilandgas.com/news
5|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
6|Husky Energy|Oil & Gas Drilling|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
7|African Energy Resources|Oil & Gas Drilling|https://www.africanenergyresources.com|https://www.africanenergyresources.com/careers|https://www.africanenergyresources.com/news
8|Eland Oil & Gas|Oil & Gas Drilling|https://www.eland-oil.co.uk|https://www.eland-oil.co.uk/careers|https://www.eland-oil.co.uk/news
9|Seplat Petroleum|Oil & Gas Drilling|https://www.seplatpetroleum.com|https://www.seplatpetroleum.com/careers|https://www.seplatpetroleum.com/news
10|Oando|Oil & Gas Drilling|https://www.oandoplc.com|https://www.oandoplc.com/careers|https://www.oandoplc.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Botswana Oilfield Services|Oil & Gas Equipment & Services|https://www.botswanaoilfieldservices.co.bw|https://www.botswanaoilfieldservices.co.bw/careers|https://www.botswanaoilfieldservices.co.bw/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news
3|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
6|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|KCA Deutag|Oil & Gas Equipment & Services|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
9|Transocean|Oil & Gas Equipment & Services|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Botswana Oil Limited|Integrated Oil & Gas|https://www.botswanaoil.bw|https://www.botswanaoil.bw/careers|https://www.botswanaoil.bw/news
