Burundi
|||Communication services.html
|||Communication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Burundi Telecom|Communication Services|https://www.burunditelecom.bi|https://www.burunditelecom.bi/careers|https://www.burunditelecom.bi/news
2|Lumitel|Communication Services|https://www.lumitel.bi|https://www.lumitel.bi/careers|https://www.lumitel.bi/news
3|Onatel|Communication Services|https://www.onatel.bi|https://www.onatel.bi/careers|https://www.onatel.bi/news
4|Smart Burundi|Communication Services|https://www.smart.bi|https://www.smart.bi/careers|https://www.smart.bi/news
5|Groupe Scolaire|Communication Services|https://www.groupe-scolaire.bi|https://www.groupe-scolaire.bi/careers|https://www.groupe-scolaire.bi/news
6|Africell Burundi|Communication Services|https://www.africell.bi|https://www.africell.bi/careers|https://www.africell.bi/news
7|Econet Leo|Communication Services|https://www.econetleo.bi|https://www.econetleo.bi/careers|https://www.econetleo.bi/news
8|Burundi Online|Communication Services|https://www.burundi-online.bi|https://www.burundi-online.bi/careers|https://www.burundi-online.bi/news
9|Bujumbura Connect|Communication Services|https://www.bujumburaconnect.bi|https://www.bujumburaconnect.bi/careers|https://www.bujumburaconnect.bi/news
10|Telecom Burundi|Communication Services|https://www.telecomburundi.bi|https://www.telecomburundi.bi/careers|https://www.telecomburundi.bi/news

|||Integrated telecommunication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Burundi Telecom|Integrated Telecommunication Services|https://www.burunditelecom.bi|https://www.burunditelecom.bi/careers|https://www.burunditelecom.bi/news
2|Lumitel|Integrated Telecommunication Services|https://www.lumitel.bi|https://www.lumitel.bi/careers|https://www.lumitel.bi/news
3|Onatel|Integrated Telecommunication Services|https://www.onatel.bi|https://www.onatel.bi/careers|https://www.onatel.bi/news
4|Smart Burundi|Integrated Telecommunication Services|https://www.smart.bi|https://www.smart.bi/careers|https://www.smart.bi/news
5|Econet Leo|Integrated Telecommunication Services|https://www.econetleo.bi|https://www.econetleo.bi/careers|https://www.econetleo.bi/news
6|Africell Burundi|Integrated Telecommunication Services|https://www.africell.bi|https://www.africell.bi/careers|https://www.africell.bi/news
7|Burundi Online|Integrated Telecommunication Services|https://www.burundi-online.bi|https://www.burundi-online.bi/careers|https://www.burundi-online.bi/news
8|Bujumbura Connect|Integrated Telecommunication Services|https://www.bujumburaconnect.bi|https://www.bujumburaconnect.bi/careers|https://www.bujumburaconnect.bi/news
9|Telecom Burundi|Integrated Telecommunication Services|https://www.telecomburundi.bi|https://www.telecomburundi.bi/careers|https://www.telecomburundi.bi/news
10|Groupe Scolaire|Integrated Telecommunication Services|https://www.groupe-scolaire.bi|https://www.groupe-scolaire.bi/careers|https://www.groupe-scolaire.bi/news

|||Wireless telecommunication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Lumitel|Wireless Telecommunication Services|https://www.lumitel.bi|https://www.lumitel.bi/careers|https://www.lumitel.bi/news
2|Econet Leo|Wireless Telecommunication Services|https://www.econetleo.bi|https://www.econetleo.bi/careers|https://www.econetleo.bi/news
