|||Cabo Verde
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrobras Cabo Verde|Oil & Gas Drilling|https://www.petrobras.cv|https://www.petrobras.cv/careers|https://www.petrobras.cv/news
2|Cabo Verde Oil|Oil & Gas Drilling|https://www.caboverdeoil.cv|https://www.caboverdeoil.cv/careers|https://www.caboverdeoil.cv/news
3|Cabo Verde Drilling Co.|Oil & Gas Drilling|https://www.caboverdedrilling.cv|https://www.caboverdedrilling.cv/careers|https://www.caboverdedrilling.cv/news
4|Oceanic Energy|Oil & Gas Drilling|https://www.oceanicenergy.cv|https://www.oceanicenergy.cv/careers|https://www.oceanicenergy.cv/news
5|Atlantic Oil Services|Oil & Gas Drilling|https://www.atlanticoil.cv|https://www.atlanticoil.cv/careers|https://www.atlanticoil.cv/news
6|Cabo Verde Energy Solutions|Oil & Gas Drilling|https://www.cvenergysolutions.cv|https://www.cvenergysolutions.cv/careers|https://www.cvenergysolutions.cv/news
7|Green Energy Cabo Verde|Oil & Gas Drilling|https://www.greenenergycv.cv|https://www.greenenergycv.cv/careers|https://www.greenenergycv.cv/news
8|Cabo Verde Offshore|Oil & Gas Drilling|https://www.cvoffshore.cv|https://www.cvoffshore.cv/careers|https://www.cvoffshore.cv/news
9|DrillTech Cabo Verde|Oil & Gas Drilling|https://www.drilltechcv.cv|https://www.drilltechcv.cv/careers|https://www.drilltechcv.cv/news
10|Cabo Verde Petroleum|Oil & Gas Drilling|https://www.cvpetroleum.cv|https://www.cvpetroleum.cv/careers|https://www.cvpetroleum.cv/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cabo Verde Oil Services|Oil & Gas Equipment & Services|https://www.caboverdeoilservices.cv|https://www.caboverdeoilservices.cv/careers|https://www.caboverdeoilservices.cv/news
2|Atlantic Equipment Solutions|Oil & Gas Equipment & Services|https://www.atlanticequipmentsolutions.cv|https://www.atlanticequipmentsolutions.cv/careers|https://www.atlanticequipmentsolutions.cv/news
3|EnergyTech Cabo Verde|Oil & Gas Equipment & Services|https://www.energytechcv.cv|https://www.energytechcv.cv/careers|https://www.energytechcv.cv/news
4|Cabo Verde Drilling Equipment|Oil & Gas Equipment & Services|https://www.caboverdedrillingequipment.cv|https://www.caboverdedrillingequipment.cv/careers|https://www.caboverdedrillingequipment.cv/news
5|PetroEquip Cabo Verde|Oil & Gas Equipment & Services|https://www.petroequipcv.cv|https://www.petroequipcv.cv/careers|https://www.petroequipcv.cv/news
6|Offshore Services Cabo Verde|Oil & Gas Equipment & Services|https://www.offshoreservicescv.cv|https://www.offshoreservicescv.cv/careers|https://www.offshoreservicescv.cv/news
7|Cabo Verde Energy Tools|Oil & Gas Equipment & Services|https://www.cvenergytools.cv|https://www.cvenergytools.cv/careers|https://www.cvenergytools.cv/news
8|Marine Equipment Cabo Verde|Oil & Gas Equipment & Services|https://www.marineequipmentcv.cv|https://www.marineequipmentcv.cv/careers|https://www.marineequipmentcv.cv/news
9|Cabo Verde Service Solutions|Oil & Gas Equipment & Services|https://www.cvservicesolutions.cv|https://www.cvservicesolutions.cv/careers|https://www.cvservicesolutions.cv/news
10|DrillTech Equipment Cabo Verde|Oil & Gas Equipment & Services|https://www.drilltechequipmentcv.cv|https://www.drilltechequipmentcv.cv/careers|https://www.drilltechequipmentcv.cv/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cabo Verde Integrated Energy|Integrated Oil & Gas|https://www.cvintegratedenergy.cv|https://www.cvintegratedenergy.cv/careers|https://www.cvintegratedenergy.cv/news
2|Petrobras Cabo Verde|Integrated Oil & Gas|https://www.petrobras.cv|https://www.petrobras.cv/careers|https://www.petrobras.cv/news
3|Cabo Verde Oil & Gas|Integrated Oil & Gas|https://www.caboverdeoilgas.cv|https://www.caboverdeoilgas.cv/careers|https://www.caboverdeoilgas.cv/news
4|Atlantic Integrated Oil|Integrated Oil & Gas|https://www.atlanticintegratedoil.cv|https://www.atlanticintegratedoil.cv/careers|https://www.atlanticintegratedoil.cv/news
5|Cabo Verde Energy Group|Integrated Oil & Gas|https://www.cvenergygroup.cv|https://www.cvenergygroup.cv/careers|https://www.cvenergygroup.cv/news
6|Integrated Energy Solutions|Integrated Oil & Gas|https://www.integratedenergysolutions.cv|https://www.integratedenergysolutions.cv/careers|https://www.integratedenergysolutions.cv/news
7|Cabo Verde Petroleum|Integrated Oil & Gas|https://www.cvpetroleum.cv|https://www.cvpetroleum.cv/careers|https://www.cvpetroleum.cv/news
8|Cabo Verde Oil Holdings|Integrated Oil & Gas|https://www.caboverdeoilholdings.cv|https://www.caboverdeoilholdings.cv/careers|https://www.caboverdeoilholdings.cv/news
9|Cabo Verde Gas & Oil|Integrated Oil & Gas|https://www.cvgasandoil.cv|https://www.cvgasandoil.cv/careers|https://www.cvgasandoil.cv/news
10|Cabo Verde Hydrocarbon Solutions|Integrated Oil & Gas|https://www.cvhydrocarbonsolutions.cv|https://www.cvhydrocarbonsolutions.cv/careers|https://www.cvhydrocarbonsolutions.cv/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cabo Verde Exploration Co.|Oil & Gas Exploration & Production|https://www.cabovertdeexploration.cv|https://www.cabovertdeexploration.cv/careers|https://www.cabovertdeexploration.cv/news
2|Petrobras Cabo Verde|Oil & Gas Exploration & Production|https://www.petrobras.cv|https://www.petrobras.cv/careers|https://www.petrobras.cv/news
3|Cabo Verde Oil & Gas|Oil & Gas Exploration & Production|https://www.caboverdeoilgas.cv|https://www.caboverdeoilgas.cv/careers|https://www.caboverdeoilgas.cv/news
4|Atlantic Exploration|Oil & Gas Exploration & Production|https://www.atlanticexploration.cv|https://www.atlanticexploration.cv/careers|https://www.atlanticexploration.cv/news
5|Cabo Verde Hydrocarbon Exploration|Oil & Gas Exploration & Production|https://www.cvhydrocarbonexploration.cv|https://www.cvhydrocarbonexploration.cv/careers|https://www.cvhydrocarbonexploration.cv/news
6|Cabo Verde Petroleum|Oil & Gas Exploration & Production|https://www.cvpetroleum.cv|https://www.cvpetroleum.cv/careers|https://www.cvpetroleum.cv/news
7|Cabo Verde Energy Exploration|Oil & Gas Exploration & Production|https://www.cvenergyexploration.cv|https://www.cvenergyexploration.cv/careers|https://www.cvenergyexploration.cv/news
8|Cabo Verde Offshore Exploration|Oil & Gas Exploration & Production|https://www.cvoffshoreexploration.cv|https://www.cvoffshoreexploration.cv/careers|https://www.cvoffshoreexploration.cv/news
