Cameroon
|||Communication services.html
|||Communication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|MTN Cameroon|Communication Services|https://www.mtn.cm|https://www.mtn.cm/en/careers|https://www.mtn.cm/en/news
2|Orange Cameroon|Communication Services|https://www.orange.cm|https://www.orange.cm/en/careers|https://www.orange.cm/en/news
3|Cameroon Telecommunications (CAMTEL)|Communication Services|https://www.camtel.cm|https://www.camtel.cm/careers|https://www.camtel.cm/news
4|Nexttel|Communication Services|https://www.nexttel.cm|https://www.nexttel.cm/en/careers|https://www.nexttel.cm/en/news
5|Africell Cameroon|Communication Services|https://www.africell.cm|https://www.africell.cm/en/careers|https://www.africell.cm/en/news
6|Groupe SABC|Communication Services|https://www.sabc.cm|https://www.sabc.cm/careers|https://www.sabc.cm/news
7|Cameroon Online|Communication Services|https://www.cameroononline.com|https://www.cameroononline.com/careers|https://www.cameroononline.com/news
8|Société Camerounaise de Développement des Télécommunications (SCDT)|Communication Services|https://www.scdt.cm|https://www.scdt.cm/careers|https://www.scdt.cm/news
9|Econet Wireless Cameroon|Communication Services|https://www.econetwireless.cm|https://www.econetwireless.cm/careers|https://www.econetwireless.cm/news
10|VivaCell|Communication Services|https://www.vivacell.cm|https://www.vivacell.cm/careers|https://www.vivacell.cm/news

|||Integrated telecommunication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|MTN Cameroon|Integrated Telecommunication Services|https://www.mtn.cm|https://www.mtn.cm/en/careers|https://www.mtn.cm/en/news
2|Orange Cameroon|Integrated Telecommunication Services|https://www.orange.cm|https://www.orange.cm/en/careers|https://www.orange.cm/en/news
3|Cameroon Telecommunications (CAMTEL)|Integrated Telecommunication Services|https://www.camtel.cm|https://www.camtel.cm/careers|https://www.camtel.cm/news
4|Nexttel|Integrated Telecommunication Services|https://www.nexttel.cm|https://www.nexttel.cm/en/careers|https://www.nexttel.cm/en/news
5|Africell Cameroon|Integrated Telecommunication Services|https://www.africell.cm|https://www.africell.cm/en/careers|https://www.africell.cm/en/news
6|Groupe SABC|Integrated Telecommunication Services|https://www.sabc.cm|https://www.sabc.cm/careers|https://www.sabc.cm/news
7|Cameroon Online|Integrated Telecommunication Services|https://www.cameroononline.com|https://www.cameroononline.com/careers|https://www.cameroononline.com/news
8|Société Camerounaise de Développement des Télécommunications (SCDT)|Integrated Telecommunication Services|https://www.scdt.cm|https://www.scdt.cm/careers|https://www.scdt.cm/news
9|Econet Wireless Cameroon|Integrated Telecommunication Services|https://www.econetwireless.cm|https://www.econetwireless.cm/careers|https://www.econetwireless.cm/news
10|VivaCell|Integrated Telecommunication Services|https://www.vivacell.cm|https://www.vivacell.cm/careers|https://www.vivacell.cm/news

|||Wireless telecommunication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|MTN Cameroon|Wireless Telecommunication Services|https://www.mtn.cm|https://www.mtn.cm/en/careers|https://www.mtn.cm/en/news
2|Orange Cameroon|Wireless Telecommunication Services|https://www.orange.cm|https://www.orange.cm/en/careers|https://www.orange.cm/en/news
3|Nexttel|Wireless Telecommunication Services|https://www.nexttel.cm|https://www.nexttel.cm/en/careers|https://www.nexttel.cm/en/news
4|Africell Cameroon|Wireless Telecommunication Services|https://www.africell.cm|https://www.africell.cm/en/careers|https://www.africell.cm/en/news
5|Cameroon Telecommunications (CAMTEL)|Wireless Telecommunication Services|https://www.camtel.cm|https://www.camtel.cm/careers|https://www.camtel.cm/news
6|Groupe SABC|Wireless Telecommunication Services|https://www.sabc.cm|https://www.sabc.cm/careers|https://www.sabc.cm/news
7|Econet Wireless Cameroon|Wireless Telecommunication Services|https://www.econetwireless.cm|https://www.econetwireless.cm/careers|https://www.econetwireless.cm/news
8|VivaCell|Wireless Telecommunication Services|https://www.vivacell.cm|https://www.vivacell.cm/careers|https://www.vivacell.cm/news
9|Cameroon Online|Wireless Telecommunication Services|https://www.cameroononline.com|https://www.cameroononline.com/careers|https://www.cameroononline.com/news
10|Société Camerounaise de Développement des Télécommunications (SCDT)|Wireless Telecommunication Services|https://www.scdt.cm|https://www.scdt.cm/careers|https://www.scdt.cm/news

|||Advertising
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|DDB Cameroon|Advertising|https://www.ddbcameroon.com|https://www.ddbcameroon.com/careers|https://www.ddbcameroon.com/news
2|J. Walter Thompson Cameroon|Advertising|https://www.jwtcameroon.com|https://www.jwtcameroon.com/careers|https://www.jwtcameroon.com/news
3|Havas Group Cameroon|Advertising|https://www.havasgroup.cm|https://www.havasgroup.cm/careers|https://www.havasgroup.cm/news
4|BBDO Cameroon|Advertising|https://www.bbdo.cm|https://www.bbdo.cm/careers|https://www.bbdo.cm/news
5|Groupe M6|Advertising|https://www.groupe-m6.cm|https://www.groupe-m6.cm/careers|https://www.groupe-m6.cm/news
6|Publicis Cameroon|Advertising|https://www.publicis.cm|https://www.publicis.cm/careers|https://www.publicis.cm/news
7|Leo Burnett Cameroon|Advertising|https://www.leoburnett.cm|https://www.leoburnett.cm/careers|https://www.leoburnett.cm/news
8|Ogilvy Cameroon|Advertising|https://www.ogilvy.cm|https://www.ogilvy.cm/careers|https://www.ogilvy.cm/news
9|TBWA Cameroon|Advertising|https://www.tbwa.cm|https://www.tbwa.cm/careers|https://www.tbwa.cm/news
10|FCB Cameroon|Advertising|https://www.fcb.cm|https://www.fcb.cm/careers|https://www.fcb.cm/news

|||Broadcasting
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cameroon Radio and Television (CRTV)|Broadcasting|https://www.crtv.cm|https://www.crtv.cm/careers|https://www.crtv.cm/news
2|Equinoxe Television|Broadcasting|https://www.equinoxetv.com|https://www.equinoxetv.com/careers|https://www.equinoxetv.com/news
3|Vision 4|Broadcasting|https://www.vision4tv.com|https://www.vision4tv.com/careers|https://www.vision4tv.com/news
4|Canal 2 International|Broadcasting|https://www.canal2international.com|https://www.canal2international.com/careers|https://www.canal2international.com/news
5|STV (Société de Télévision)|Broadcasting|https://www.stv.cm|https://www.stv.cm/careers|https://www.stv.cm/news
6|LMTV (La Météo Télévision)|Broadcasting|https://www.lmtv.cm|https://www.lmtv.cm/careers|https://www.lmtv.cm/news
7|Radio Balafon|Broadcasting|https://www.radiobalafon.com|https://www.radiobalafon.com/careers|https://www.radiobalafon.com/news
8|Radio France Internationale (RFI) - Cameroon|Broadcasting|https://www.rfi.fr|https://www.rfi.fr/careers|https://www.rfi.fr/news
9|Africa 4|Broadcasting|https://www.africa24.tv|https://www.africa24.tv/careers|https://www.africa24.tv/news
10|Telesud|Broadcasting|https://www.telesud.com|https://www.telesud.com/careers|https://www.telesud.com/news

