|||Chad
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Chad Oil|Oil & Gas Drilling|https://www.chadoil.com|https://www.chadoil.com/careers|https://www.chadoil.com/news
2|PetroChad|Oil & Gas Drilling|https://www.petrochad.com|https://www.petrochad.com/careers|https://www.petrochad.com/news
3|Chad Energy|Oil & Gas Drilling|https://www.chadenergy.com|https://www.chadenergy.com/careers|https://www.chadenergy.com/news
4|Sahara Drillers|Oil & Gas Drilling|https://www.saharadrillers.com|https://www.saharadrillers.com/careers|https://www.saharadrillers.com/news
5|Tchad Oilfield Services|Oil & Gas Drilling|https://www.tchadoilfieldservices.com|https://www.tchadoilfieldservices.com/careers|https://www.tchadoilfieldservices.com/news
6|Nile Energy|Oil & Gas Drilling|https://www.nileenergy.com|https://www.nileenergy.com/careers|https://www.nileenergy.com/news
7|Chad Petroleum|Oil & Gas Drilling|https://www.chadpetroleum.com|https://www.chadpetroleum.com/careers|https://www.chadpetroleum.com/news
8|Trans Sahara Drilling|Oil & Gas Drilling|https://www.transsaharadrilling.com|https://www.transsaharadrilling.com/careers|https://www.transsaharadrilling.com/news
9|African Drilling Co.|Oil & Gas Drilling|https://www.africandrillingco.com|https://www.africandrillingco.com/careers|https://www.africandrillingco.com/news
10|Chad Basin Exploration|Oil & Gas Drilling|https://www.chadbasinexploration.com|https://www.chadbasinexploration.com/careers|https://www.chadbasinexploration.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Chad Oil Services|Oil & Gas Equipment & Services|https://www.chadoilservices.com|https://www.chadoilservices.com/careers|https://www.chadoilservices.com/news
2|Petro Equipment|Oil & Gas Equipment & Services|https://www.petroequipment.com|https://www.petroequipment.com/careers|https://www.petroequipment.com/news
3|Sahara Oilfield Services|Oil & Gas Equipment & Services|https://www.saharaoilfieldservices.com|https://www.saharaoilfieldservices.com/careers|https://www.saharaoilfieldservices.com/news
4|Tchad Energy Services|Oil & Gas Equipment & Services|https://www.tchadenergyservices.com|https://www.tchadenergyservices.com/careers|https://www.tchadenergyservices.com/news
5|Nile Oil Services|Oil & Gas Equipment & Services|https://www.nileoilservices.com|https://www.nileoilservices.com/careers|https://www.nileoilservices.com/news
6|Chad Drilling Equipment|Oil & Gas Equipment & Services|https://www.chaddrillingequipment.com|https://www.chaddrillingequipment.com/careers|https://www.chaddrillingequipment.com/news
7|Trans Sahara Equipment|Oil & Gas Equipment & Services|https://www.transsaharaequipment.com|https://www.transsaharaequipment.com/careers|https://www.transsaharaequipment.com/news
8|Chad Petroleum Services|Oil & Gas Equipment & Services|https://www.chadpetroleumservices.com|https://www.chadpetroleumservices.com/careers|https://www.chadpetroleumservices.com/news
9|African Oilfield Solutions|Oil & Gas Equipment & Services|https://www.africanoilfieldsolutions.com|https://www.africanoilfieldsolutions.com/careers|https://www.africanoilfieldsolutions.com/news
10|Chad Basin Equipment|Oil & Gas Equipment & Services|https://www.chadbasinequipment.com|https://www.chadbasinequipment.com/careers|https://www.chadbasinequipment.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Chad Integrated Oil|Integrated Oil & Gas|https://www.chadintegratedoil.com|https://www.chadintegratedoil.com/careers|https://www.chadintegratedoil.com/news
2|PetroChad|Integrated Oil & Gas|https://www.petrochad.com|https://www.petrochad.com/careers|https://www.petrochad.com/news
3|Sahara Energy|Integrated Oil & Gas|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
4|Chad Oil & Gas|Integrated Oil & Gas|https://www.chadoilgas.com|https://www.chadoilgas.com/careers|https://www.chadoilgas.com/news
5|Nile Integrated Energy|Integrated Oil & Gas|https://www.nileintegratedenergy.com|https://www.nileintegratedenergy.com/careers|https://www.nileintegratedenergy.com/news
6|Tchad Oil Corporation|Integrated Oil & Gas|https://www.tchadoilcorporation.com|https://www.tchadoilcorporation.com/careers|https://www.tchadoilcorporation.com/news
7|Chad Basin Oil|Integrated Oil & Gas|https://www.chadbasinoil.com|https://www.chadbasinoil.com/careers|https://www.chadbasinoil.com/news
8|Trans Sahara Oil|Integrated Oil & Gas|https://www.transsaharaoil.com|https://www.transsaharaoil.com/careers|https://www.transsaharaoil.com/news
9|African Oil & Gas|Integrated Oil & Gas|https://www.africanoilandgas.com|https://www.africanoilandgas.com/careers|https://www.africanoilandgas.com/news
10|Chad Petroleum Group|Integrated Oil & Gas|https://www.chadpetroleumgroup.com|https://www.chadpetroleumgroup.com/careers|https://www.chadpetroleumgroup.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Chad Exploration|Oil & Gas Exploration & Production|https://www.chadexploration.com|https://www.chadexploration.com/careers|https://www.chadexploration.com/news
2|PetroChad Exploration|Oil & Gas Exploration & Production|https://www.petrochadexploration.com|https://www.petrochadexploration.com/careers|https://www.petrochadexploration.com/news
3|Sahara Oil & Gas|Oil & Gas Exploration & Production|https://www.saharaoilandgas.com|https://www.saharaoilandgas.com/careers|https://www.saharaoilandgas.com/news
4|Chad Petroleum Exploration|Oil & Gas Exploration & Production|https://www.chadpetroleumexploration.com|https://www.chadpetroleumexploration.com/careers|https://www.chadpetroleumexploration.com/news
5|Nile Exploration & Production|Oil & Gas Exploration & Production|https://www.nileexplorationandproduction.com|https://www.nileexplorationandproduction.com/careers|https://www.nileexplorationandproduction.com/news
6|Tchad Oil Exploration|Oil & Gas Exploration & Production|https://www.tchadoilexploration.com|https://www.tchadoilexploration.com/careers|https://www.tchadoilexploration.com/news
7|Chad Basin Exploration|Oil & Gas Exploration & Production|https://www.chadbasinexploration.com|https://www.chadbasinexploration.com/careers|https://www.chadbasinexploration.com/news
8|Trans Sahara Exploration|Oil & Gas Exploration & Production|https://www.transsaharaexploration.com|https://www.transsaharaexploration.com/careers|https://www.transsaharaexploration.com/news
