|||China
|||Energy Sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|China National Offshore Oil Corporation|Oil & Gas Drilling|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
2|Sinopec Limited|Oil & Gas Drilling|http://www.sinopec.com|http://www.sinopec.com/listco/en/careers|http://www.sinopec.com/listco/en/news
3|PetroChina Company Limited|Oil & Gas Drilling|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China National Petroleum Corporation|Oil & Gas Drilling|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
5|China Oilfield Services Limited|Oil & Gas Drilling|http://www.cosl.com.cn|http://www.cosl.com.cn/en/careers|http://www.cosl.com.cn/en/news
6|CNOOC Limited|Oil & Gas Drilling|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
7|China Petroleum Engineering & Construction Corporation|Oil & Gas Drilling|http://www.cpecc.com|http://www.cpecc.com/en/careers|http://www.cpecc.com/en/news
8|China National Chemical Corporation|Oil & Gas Drilling|http://www.chemchina.com|http://www.chemchina.com/en/careers|http://www.chemchina.com/en/news
9|Shenzhen Zhongjin Lingnan Nonfemet Company Limited|Oil & Gas Drilling|http://www.zjln.com|http://www.zjln.com/en/careers|http://www.zjln.com/en/news
10|Yantai Jereh Oilfield Services Group|Oil & Gas Drilling|http://www.jereh.com|http://www.jereh.com/en/careers|http://www.jereh.com/en/news
|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|China National Petroleum Corporation|Oil & Gas Equipment & Services|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
2|Sinopec Limited|Oil & Gas Equipment & Services|http://www.sinopec.com|http://www.sinopec.com/listco/en/careers|http://www.sinopec.com/listco/en/news
3|PetroChina Company Limited|Oil & Gas Equipment & Services|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China Oilfield Services Limited|Oil & Gas Equipment & Services|http://www.cosl.com.cn|http://www.cosl.com.cn/en/careers|http://www.cosl.com.cn/en/news
5|China National Offshore Oil Corporation|Oil & Gas Equipment & Services|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
6|Shaanxi Yanchang Petroleum (Group) Co., Ltd.|Oil & Gas Equipment & Services|http://www.ycpc.com.cn|http://www.ycpc.com.cn/en/careers|http://www.ycpc.com.cn/en/news
7|China Petroleum Engineering & Construction Corporation|Oil & Gas Equipment & Services|http://www.cpecc.com|http://www.cpecc.com/en/careers|http://www.cpecc.com/en/news
8|Jereh Oilfield Services Group|Oil & Gas Equipment & Services|http://www.jereh.com|http://www.jereh.com/en/careers|http://www.jereh.com/en/news
9|Hunan Valin Steel Co., Ltd.|Oil & Gas Equipment & Services|http://www.valin.com|http://www.valin.com/en/careers|http://www.valin.com/en/news
10|China National Chemical Corporation|Oil & Gas Equipment & Services|http://www.chemchina.com|http://www.chemchina.com/en/careers|http://www.chemchina.com/en/news
|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|China National Petroleum Corporation|Integrated Oil & Gas|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
2|Sinopec Limited|Integrated Oil & Gas|http://www.sinopec.com|http://www.sinopec.com/listco/en/careers|http://www.sinopec.com/listco/en/news
3|PetroChina Company Limited|Integrated Oil & Gas|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China National Offshore Oil Corporation|Integrated Oil & Gas|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
5|China Petroleum & Chemical Corporation|Integrated Oil & Gas|http://www.cpcc.com.cn|http://www.cpcc.com.cn/en/careers|http://www.cpcc.com.cn/en/news
6|China National Chemical Corporation|Integrated Oil & Gas|http://www.chemchina.com|http://www.chemchina.com/en/careers|http://www.chemchina.com/en/news
7|Shaanxi Yanchang Petroleum (Group) Co., Ltd.|Integrated Oil & Gas|http://www.ycpc.com.cn|http://www.ycpc.com.cn/en/careers|http://www.ycpc.com.cn/en/news
8|China National Petroleum Corporation Exploration & Development Company|Integrated Oil & Gas|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
9|CNOOC Limited|Integrated Oil & Gas|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
10|China Oilfield Services Limited|Integrated Oil & Gas|http://www.cosl.com.cn|http://www.cosl.com.cn/en/careers|http://www.cosl.com.cn/en/news
|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|China National Petroleum Corporation|Oil & Gas Exploration & Production|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
2|PetroChina Company Limited|Oil & Gas Exploration & Production|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
3|Sinopec Limited|Oil & Gas Exploration & Production|http://www.sinopec.com|http://www.sinopec.com/listco/en/careers|http://www.sinopec.com/listco/en/news
4|China National Offshore Oil Corporation|Oil & Gas Exploration & Production|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
5|China Oilfield Services Limited|Oil & Gas Exploration & Production|http://www.cosl.com.cn|http://www.cosl.com.cn/en/careers|http://www.cosl.com.cn/en/news
6|Shaanxi Yanchang Petroleum (Group) Co., Ltd.|Oil & Gas Exploration & Production|http://www.ycpc.com.cn|http://www.ycpc.com.cn/en/careers|http://www.ycpc.com.cn/en/news
7|China Petroleum & Chemical Corporation|Oil & Gas Exploration & Production|http://www.cpcc.com.cn|http://www.cpcc.com.cn/en/careers|http://www.cpcc.com.cn/en/news
8|Jereh Oilfield Services Group|Oil & Gas Exploration & Production|http://www.jereh.com|http://www.jereh.com/en/careers|http://www.jereh.com/en/news
9|China Petroleum Engineering & Construction Corporation|Oil & Gas Exploration & Production|http://www.cpecc.com|http://www.cpecc.com/en/careers|http://www.cpecc.com/en/news
10|CNOOC Limited|Oil & Gas Exploration & Production|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sinopec Limited|Oil & Gas Refining & Marketing|http://www.sinopec.com|http://www.sinopec.com/listco/en/careers|http://www.sinopec.com/listco/en/news
2|China National Petroleum Corporation|Oil & Gas Refining & Marketing|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
3|PetroChina Company Limited|Oil & Gas Refining & Marketing|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China National Offshore Oil Corporation|Oil & Gas Refining & Marketing|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
5|China Petroleum & Chemical Corporation|Oil & Gas Refining & Marketing|http://www.cpcc.com.cn|http://www.cpcc.com.cn/en/careers|http://www.cpcc.com.cn/en/news
6|Shandong Dongming Petrochemical Group|Oil & Gas Refining & Marketing|http://www.dongmingpetro.com|http://www.dongmingpetro.com/en/careers|http://www.dongmingpetro.com/en/news
7|Zhongjin Lingnan Nonfemet Company|Oil & Gas Refining & Marketing|http://www.zhongjin.com|http://www.zhongjin.com/en/careers|http://www.zhongjin.com/en/news
8|Guangxi Liuzhou Petrochemical Company|Oil & Gas Refining & Marketing|http://www.gzlzp.com|http://www.gzlzp.com/en/careers|http://www.gzlzp.com/en/news
9|Ningbo Zhongjin Lingnan Nonfemet Company|Oil & Gas Refining & Marketing|http://www.nbln.com|http://www.nbln.com/en/careers|http://www.nbln.com/en/news
10|Jiangsu Sailong Chemical|Oil & Gas Refining & Marketing|http://www.sailong.com|http://www.sailong.com/en/careers|http://www.sailong.com/en/news
|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|China National Petroleum Corporation|Oil & Gas Storage & Transportation|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
2|Sinopec Limited|Oil & Gas Storage & Transportation|http://www.sinopec.com|http://www.sinopec.com/listco/en/careers|http://www.sinopec.com/listco/en/news
3|PetroChina Company Limited|Oil & Gas Storage & Transportation|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China National Offshore Oil Corporation|Oil & Gas Storage & Transportation|http://www.cnooc.com.cn|http://www.cnooc.com.cn/en/careers|http://www.cnooc.com.cn/en/news
