|||Comoros
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Oil Exploration|Oil & Gas Drilling|https://www.comorosoil.com|https://www.comorosoil.com/careers|https://www.comorosoil.com/news
2|Comoros Energy Solutions|Oil & Gas Drilling|https://www.comorosenergy.com|https://www.comorosenergy.com/careers|https://www.comorosenergy.com/news
3|Comoros Drilling Services|Oil & Gas Drilling|https://www.comorosdrilling.com|https://www.comorosdrilling.com/careers|https://www.comorosdrilling.com/news
4|Comoros Offshore Ventures|Oil & Gas Drilling|https://www.comorosoffshore.com|https://www.comorosoffshore.com/careers|https://www.comorosoffshore.com/news
5|Comoros Petroleum Co.|Oil & Gas Drilling|https://www.comorospetroleum.com|https://www.comorospetroleum.com/careers|https://www.comorospetroleum.com/news
6|Comoros Hydrocarbon Corp.|Oil & Gas Drilling|https://www.comoroshydrocarbon.com|https://www.comoroshydrocarbon.com/careers|https://www.comoroshydrocarbon.com/news
7|Comoros Energy Resources|Oil & Gas Drilling|https://www.comorosenergyresources.com|https://www.comorosenergyresources.com/careers|https://www.comorosenergyresources.com/news
8|Comoros Rig Services|Oil & Gas Drilling|https://www.comorosrig.com|https://www.comorosrig.com/careers|https://www.comorosrig.com/news
9|Comoros Drilling Technologies|Oil & Gas Drilling|https://www.comorosdrillingtech.com|https://www.comorosdrillingtech.com/careers|https://www.comorosdrillingtech.com/news
10|Comoros Exploration Group|Oil & Gas Drilling|https://www.comorosexploration.com|https://www.comorosexploration.com/careers|https://www.comorosexploration.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Oilfield Services|Oil & Gas Equipment & Services|https://www.comorosoilfield.com|https://www.comorosoilfield.com/careers|https://www.comorosoilfield.com/news
2|Comoros Energy Equipment|Oil & Gas Equipment & Services|https://www.comorosenergyequipment.com|https://www.comorosenergyequipment.com/careers|https://www.comorosenergyequipment.com/news
3|Comoros Drilling Equipment|Oil & Gas Equipment & Services|https://www.comorosdrillingequipment.com|https://www.comorosdrillingequipment.com/careers|https://www.comorosdrillingequipment.com/news
4|Comoros Oil Services Group|Oil & Gas Equipment & Services|https://www.comorosoilservices.com|https://www.comorosoilservices.com/careers|https://www.comorosoilservices.com/news
5|Comoros Energy Solutions|Oil & Gas Equipment & Services|https://www.comorosenergysolutions.com|https://www.comorosenergysolutions.com/careers|https://www.comorosenergysolutions.com/news
6|Comoros Offshore Equipment|Oil & Gas Equipment & Services|https://www.comorosoffshoreequipment.com|https://www.comorosoffshoreequipment.com/careers|https://www.comorosoffshoreequipment.com/news
7|Comoros Rig Supply|Oil & Gas Equipment & Services|https://www.comorosrigsupply.com|https://www.comorosrigsupply.com/careers|https://www.comorosrigsupply.com/news
8|Comoros Equipment Services|Oil & Gas Equipment & Services|https://www.comorosequipmentservices.com|https://www.comorosequipmentservices.com/careers|https://www.comorosequipmentservices.com/news
9|Comoros Petroleum Services|Oil & Gas Equipment & Services|https://www.comorospetroleumservices.com|https://www.comorospetroleumservices.com/careers|https://www.comorospetroleumservices.com/news
10|Comoros Drilling Support|Oil & Gas Equipment & Services|https://www.comorosdrillingsupport.com|https://www.comorosdrillingsupport.com/careers|https://www.comorosdrillingsupport.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Integrated Energy|Integrated Oil & Gas|https://www.comorosintegratedenergy.com|https://www.comorosintegratedenergy.com/careers|https://www.comorosintegratedenergy.com/news
2|Comoros Oil & Gas Corp.|Integrated Oil & Gas|https://www.comorosoilgas.com|https://www.comorosoilgas.com/careers|https://www.comorosoilgas.com/news
3|Comoros Energy Holdings|Integrated Oil & Gas|https://www.comorosenergyholdings.com|https://www.comorosenergyholdings.com/careers|https://www.comorosenergyholdings.com/news
4|Comoros Petroleum Solutions|Integrated Oil & Gas|https://www.comorospetroleums.com|https://www.comorospetroleums.com/careers|https://www.comorospetroleums.com/news
5|Comoros Hydrocarbon Group|Integrated Oil & Gas|https://www.comoroshydrocarbon.com|https://www.comoroshydrocarbon.com/careers|https://www.comoroshydrocarbon.com/news
6|Comoros Oil Ventures|Integrated Oil & Gas|https://www.comorosoilventures.com|https://www.comorosoilventures.com/careers|https://www.comorosoilventures.com/news
7|Comoros Energy Resources|Integrated Oil & Gas|https://www.comorosenergyresources.com|https://www.comorosenergyresources.com/careers|https://www.comorosenergyresources.com/news
8|Comoros Oilfield Development|Integrated Oil & Gas|https://www.comorosoilfielddevelopment.com|https://www.comorosoilfielddevelopment.com/careers|https://www.comorosoilfielddevelopment.com/news
9|Comoros Integrated Petroleum|Integrated Oil & Gas|https://www.comorosintegratedpetroleum.com|https://www.comorosintegratedpetroleum.com/careers|https://www.comorosintegratedpetroleum.com/news
10|Comoros Energy Solutions|Integrated Oil & Gas|https://www.comorosenergysolutions.com|https://www.comorosenergysolutions.com/careers|https://www.comorosenergysolutions.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Exploration Co.|Oil & Gas Exploration & Production|https://www.comorosexploration.com|https://www.comorosexploration.com/careers|https://www.comorosexploration.com/news
2|Comoros Oil Producers|Oil & Gas Exploration & Production|https://www.comorosoilproducers.com|https://www.comorosoilproducers.com/careers|https://www.comorosoilproducers.com/news
3|Comoros Energy Exploration|Oil & Gas Exploration & Production|https://www.comorosenergyexploration.com|https://www.comorosenergyexploration.com/careers|https://www.comorosenergyexploration.com/news
4|Comoros Hydrocarbon Exploration|Oil & Gas Exploration & Production|https://www.comoroshydrocarbonexploration.com|https://www.comoroshydrocarbonexploration.com/careers|https://www.comoroshydrocarbonexploration.com/news
5|Comoros Petroleum Exploration|Oil & Gas Exploration & Production|https://www.comorospetroleumexploration.com|https://www.comorospetroleumexploration.com/careers|https://www.comorospetroleumexploration.com/news
6|Comoros Offshore Exploration|Oil & Gas Exploration & Production|https://www.comorosoffshoreexploration.com|https://www.comorosoffshoreexploration.com/careers|https://www.comorosoffshoreexploration.com/news
7|Comoros Oilfield Exploration|Oil & Gas Exploration & Production|https://www.comorosoilfieldexploration.com|https://www.comorosoilfieldexploration.com/careers|https://www.comorosoilfieldexploration.com/news
8|Comoros Integrated Exploration|Oil & Gas Exploration & Production|https://www.comorosintegratedexploration.com|https://www.comorosintegratedexploration.com/careers|https://www.comorosintegratedexploration.com/news
9|Comoros Natural Resources|Oil & Gas Exploration & Production|https://www.comorosnaturalresources.com|https://www.comorosnaturalresources.com/careers|https://www.comorosnaturalresources.com/news
10|Comoros Energy Ventures|Oil & Gas Exploration & Production|https://www.comorosenergyventures.com|https://www.comorosenergyventures.com/careers|https://www.comorosenergyventures.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Refining Co.|Oil & Gas Refining & Marketing|https://www.comorosrefining.com|https://www.comorosrefining.com/careers|https://www.comorosrefining.com/news
2|Comoros Oil Marketing|Oil & Gas Refining & Marketing|https://www.comorosoilmarketing.com|https://www.comorosoilmarketing.com/careers|https://www.comorosoilmarketing.com/news
3|Comoros Petroleum Refinery|Oil & Gas Refining & Marketing|https://www.comorospetroleumrefinery.com|https://www.comorospetroleumrefinery.com/careers|https://www.comorospetroleumrefinery.com/news
4|Comoros Energy Refining|Oil & Gas Refining & Marketing|https://www.comorosenergyrefining.com|https://www.comorosenergyrefining.com/careers|https://www.comorosenergyrefining.com/news
5|Comoros Fuel Solutions|Oil & Gas Refining & Marketing|https://www.comorosfuelsolutions.com|https://www.comorosfuelsolutions.com/careers|https://www.comorosfuelsolutions.com/news
6|Comoros Oil & Gas Refinery|Oil & Gas Refining & Marketing|https://www.comorosoilandgasrefinery.com|https://www.comorosoilandgasrefinery.com/careers|https://www.comorosoilandgasrefinery.com/news
7|Comoros Hydrocarbon Refining|Oil & Gas Refining & Marketing|https://www.comoroshydrocarbonrefining.com|https://www.comoroshydrocarbonrefining.com/careers|https://www.comoroshydrocarbonrefining.com/news
8|Comoros Integrated Refining|Oil & Gas Refining & Marketing|https://www.comorosintegratedrefining.com|https://www.comorosintegratedrefining.com/careers|https://www.comorosintegratedrefining.com/news
9|Comoros Energy Marketing|Oil & Gas Refining & Marketing|https://www.comorosenergymarketing.com|https://www.comorosenergymarketing.com/careers|https://www.comorosenergymarketing.com/news
10|Comoros Oil Distribution|Oil & Gas Refining & Marketing|https://www.comorosoildistribution.com|https://www.comorosoildistribution.com/careers|https://www.comorosoildistribution.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Storage & Transport|Oil & Gas Storage & Transportation|https://www.comorosstorage.com|https://www.comorosstorage.com/careers|https://www.comorosstorage.com/news
2|Comoros Pipeline Services|Oil & Gas Storage & Transportation|https://www.comorospipeline.com|https://www.comorospipeline.com/careers|https://www.comorospipeline.com/news
3|Comoros Fuel Transportation|Oil & Gas Storage & Transportation|https://www.comorosfueltransport.com|https://www.comorosfueltransport.com/careers|https://www.comorosfueltransport.com/news
4|Comoros Tanker Services|Oil & Gas Storage & Transportation|https://www.comorostankers.com|https://www.comorostankers.com/careers|https://www.comorostankers.com/news
5|Comoros Oil Storage Solutions|Oil & Gas Storage & Transportation|https://www.comorosoilstoragesolutions.com|https://www.comorosoilstoragesolutions.com/careers|https://www.comorosoilstoragesolutions.com/news
6|Comoros Maritime Transport|Oil & Gas Storage & Transportation|https://www.comorosmaritimetransport.com|https://www.comorosmaritimetransport.com/careers|https://www.comorosmaritimetransport.com/news
7|Comoros Bulk Transport|Oil & Gas Storage & Transportation|https://www.comorosbulktransport.com|https://www.comorosbulktransport.com/careers|https://www.comorosbulktransport.com/news
8|Comoros Energy Logistics|Oil & Gas Storage & Transportation|https://www.comorosenergylogistics.com|https://www.comorosenergylogistics.com/careers|https://www.comorosenergylogistics.com/news
9|Comoros Liquid Transport|Oil & Gas Storage & Transportation|https://www.comorosliquidtransport.com|https://www.comorosliquidtransport.com/careers|https://www.comorosliquidtransport.com/news
10|Comoros Oil & Gas Logistics|Oil & Gas Storage & Transportation|https://www.comorosoilandgaslogistics.com|https://www.comorosoilandgaslogistics.com/careers|https://www.comorosoilandgaslogistics.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Coal Co.|Coal & Consumable Fuels|https://www.comoroscoal.com|https://www.comoroscoal.com/careers|https://www.comoroscoal.com/news
2|Comoros Fuel Supplies|Coal & Consumable Fuels|https://www.comorosfuelsupplies.com|https://www.comorosfuelsupplies.com/careers|https://www.comorosfuelsupplies.com/news
3|Comoros Mining & Energy|Coal & Consumable Fuels|https://www.comorosminingenergy.com|https://www.comorosminingenergy.com/careers|https://www.comorosminingenergy.com/news
4|Comoros Anthracite Co.|Coal & Consumable Fuels|https://www.comorosanthracite.com|https://www.comorosanthracite.com/careers|https://www.comorosanthracite.com/news
5|Comoros Charcoal Production|Coal & Consumable Fuels|https://www.comoroscharcoal.com|https://www.comoroscharcoal.com/careers|https://www.comoroscharcoal.com/news
6|Comoros Energy Resources|Coal & Consumable Fuels|https://www.comorosenergyresources.com|https://www.comorosenergyresources.com/careers|https://www.comorosenergyresources.com/news
7|Comoros Coal Mining|Coal & Consumable Fuels|https://www.comoroscoalmining.com|https://www.comoroscoalmining.com/careers|https://www.comoroscoalmining.com/news
8|Comoros Fuel Solutions|Coal & Consumable Fuels|https://www.comorosfuelsolutions.com|https://www.comorosfuelsolutions.com/careers|https://www.comorosfuelsolutions.com/news
9|Comoros Energy & Coal|Coal & Consumable Fuels|https://www.comorosenergycoal.com|https://www.comorosenergycoal.com/careers|https://www.comorosenergycoal.com/news
10|Comoros Coal Traders|Coal & Consumable Fuels|https://www.comoroscoaltraders.com|https://www.comoroscoaltraders.com/careers|https://www.comoroscoaltraders.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Chemicals|Chemicals|https://www.comoroschemicals.com|https://www.comoroschemicals.com/careers|https://www.comoroschemicals.com/news
2|Comoros Fertilizers|Fertilizers|https://www.comorosfertilizers.com|https://www.comorosfertilizers.com/careers|https://www.comorosfertilizers.com/news
3|Comoros Plastics|Plastics|https://www.comorosplastics.com|https://www.comorosplastics.com/careers|https://www.comorosplastics.com/news
4|Comoros Paints|Paints|https://www.comorospaints.com|https://www.comorospaints.com/careers|https://www.comorospaints.com/news
5|Comoros Resins|Resins|https://www.comorosresins.com|https://www.comorosresins.com/careers|https://www.comorosresins.com/news
6|Comoros Adhesives|Adhesives|https://www.comorosadhesives.com|https://www.comorosadhesives.com/careers|https://www.comorosadhesives.com/news
7|Comoros Specialty Chemicals|Specialty Chemicals|https://www.comorospecialtychemicals.com|https://www.comorospecialtychemicals.com/careers|https://www.comorospecialtychemicals.com/news
8|Comoros Industrial Chemicals|Industrial Chemicals|https://www.comorosindustrialchemicals.com|https://www.comorosindustrialchemicals.com/careers|https://www.comorosindustrialchemicals.com/news
9|Comoros Chemical Trading|Chemical Trading|https://www.comoroschemicaltrading.com|https://www.comoroschemicaltrading.com/careers|https://www.comoroschemicaltrading.com/news
10|Comoros Agrochemicals|Agrochemicals|https://www.comorosagrochemicals.com|https://www.comorosagrochemicals.com/careers|https://www.comorosagrochemicals.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Commodity Chemicals|Commodity Chemicals|https://www.comoroscommoditychemicals.com|https://www.comoroscommoditychemicals.com/careers|https://www.comoroscommoditychemicals.com/news
2|Comoros Basic Chemicals|Basic Chemicals|https://www.comorosbasicchemicals.com|https://www.comorosbasicchemicals.com/careers|https://www.comorosbasicchemicals.com/news
3|Comoros Chemical Supplies|Chemical Supplies|https://www.comoroschemicalsupplies.com|https://www.comoroschemicalsupplies.com/careers|https://www.comoroschemicalsupplies.com/news
4|Comoros Petrochemicals|Petrochemicals|https://www.comorospetrochemicals.com|https://www.comorospetrochemicals.com/careers|https://www.comorospetrochemicals.com/news
5|Comoros Inorganic Chemicals|Inorganic Chemicals|https://www.comorosinorganicchemicals.com|https://www.comorosinorganicchemicals.com/careers|https://www.comorosinorganicchemicals.com/news
6|Comoros Organic Chemicals|Organic Chemicals|https://www.comorosorganicchemicals.com|https://www.comorosorganicchemicals.com/careers|https://www.comorosorganicchemicals.com/news
7|Comoros Industrial Chemicals|Industrial Chemicals|https://www.comorosindustrialchemicals.com|https://www.comorosindustrialchemicals.com/careers|https://www.comorosindustrialchemicals.com/news
8|Comoros Chemical Manufacturing|Chemical Manufacturing|https://www.comoroschemicalmanufacturing.com|https://www.comoroschemicalmanufacturing.com/careers|https://www.comoroschemicalmanufacturing.com/news
9|Comoros Chemical Distributors|Chemical Distributors|https://www.comoroschemicaldistributors.com|https://www.comoroschemicaldistributors.com/careers|https://www.comoroschemicaldistributors.com/news
10|Comoros Specialty Commodities|Specialty Commodities|https://www.comorospecialtycommodities.com|https://www.comorospecialtycommodities.com/careers|https://www.comorospecialtycommodities.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Comoros Diversified Chemicals|Diversified Chemicals|https://www.comorosdiversifiedchemicals.com|https://www.comorosdiversifiedchemicals.com/careers|https://www.comorosdiversifiedchemicals.com/news
2|Comoros Chemical Innovations|Chemical Innovations|https://www.comoroschemicalinnovations.com|https://www.comoroschemicalinnovations.com/careers|https://www.comoroschemicalinnovations.com/news
3|Comoros Advanced Chemicals|Advanced Chemicals|https://www.comorosadvancedchemicals.com|https://www.comorosadvancedchemicals.com/careers|https://www.comorosadvancedchemicals.com/news
4|Comoros Specialty Chemicals|Specialty Chemicals|https://www.comorospecialtychemicals.com|https://www.comorospecialtychemicals.com/careers|https://www.comorospecialtychemicals.com/news
5|Comoros Chemical Solutions|Chemical Solutions|https://www.comoroschemicalsolutions.com|https://www.comoroschemicalsolutions.com/careers|https://www.comoroschemicalsolutions.com/news
6|Comoros Eco-Friendly Chemicals|Eco-Friendly Chemicals|https://www.comorosecofriendlychemicals.com|https://www.comorosecofriendlychemicals.com/careers|https://www.comorosecofriendlychemicals.com/news
