Congo (Brazzaville)
|||Communication services.html
|||Communication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Congo Telecom|Communication Services|https://www.congotelecom.com|https://www.congotelecom.com/careers|https://www.congotelecom.com/news
2|MTN Congo|Communication Services|https://www.mtncongo.com|https://www.mtncongo.com/careers|https://www.mtncongo.com/news
3|Airtel Congo|Communication Services|https://www.airtel.com.cg|https://www.airtel.com.cg/careers|https://www.airtel.com.cg/news
4|Orange Congo|Communication Services|https://www.orange.cg|https://www.orange.cg/careers|https://www.orange.cg/news
5|Congo Mobile|Communication Services|https://www.congomobile.com|https://www.congomobile.com/careers|https://www.congomobile.com/news
6|Africell Congo|Communication Services|https://www.africell.com|https://www.africell.com/careers|https://www.africell.com/news
7|Zain Congo|Communication Services|https://www.zain.com|https://www.zain.com/careers|https://www.zain.com/news
8|Congo Telecom Solutions|Communication Services|https://www.congotelecomsolutions.com|https://www.congotelecomsolutions.com/careers|https://www.congotelecomsolutions.com/news
9|Telecom Congo|Communication Services|https://www.telecomcongo.com|https://www.telecomcongo.com/careers|https://www.telecomcongo.com/news
10|Global Telecom Congo|Communication Services|https://www.globaltelecomcongo.com|https://www.globaltelecomcongo.com/careers|https://www.globaltelecomcongo.com/news

|||Integrated telecommunication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Congo Telecom|Integrated Telecommunication Services|https://www.congotelecom.com|https://www.congotelecom.com/careers|https://www.congotelecom.com/news
2|MTN Congo|Integrated Telecommunication Services|https://www.mtncongo.com|https://www.mtncongo.com/careers|https://www.mtncongo.com/news
3|Airtel Congo|Integrated Telecommunication Services|https://www.airtel.com.cg|https://www.airtel.com.cg/careers|https://www.airtel.com.cg/news
4|Orange Congo|Integrated Telecommunication Services|https://www.orange.cg|https://www.orange.cg/careers|https://www.orange.cg/news
5|Congo Mobile|Integrated Telecommunication Services|https://www.congomobile.com|https://www.congomobile.com/careers|https://www.congomobile.com/news
6|Africell Congo|Integrated Telecommunication Services|https://www.africell.com|https://www.africell.com/careers|https://www.africell.com/news
7|Zain Congo|Integrated Telecommunication Services|https://www.zain.com|https://www.zain.com/careers|https://www.zain.com/news
8|Congo Telecom Solutions|Integrated Telecommunication Services|https://www.congotelecomsolutions.com|https://www.congotelecomsolutions.com/careers|https://www.congotelecomsolutions.com/news
9|Telecom Congo|Integrated Telecommunication Services|https://www.telecomcongo.com|https://www.telecomcongo.com/careers|https://www.telecomcongo.com/news
10|Global Telecom Congo|Integrated Telecommunication Services|https://www.globaltelecomcongo.com|https://www.globaltelecomcongo.com/careers|https://www.globaltelecomcongo.com/news

|||Wireless telecommunication services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|MTN Congo|Wireless Telecommunication Services|https://www.mtncongo.com|https://www.mtncongo.com/careers|https://www.mtncongo.com/news
2|Airtel Congo|Wireless Telecommunication Services|https://www.airtel.com.cg|https://www.airtel.com.cg/careers|https://www.airtel.com.cg/news
3|Orange Congo|Wireless Telecommunication Services|https://www.orange.cg|https://www.orange.cg/careers|https://www.orange.cg/news
4|Congo Mobile|Wireless Telecommunication Services|https://www.congomobile.com|https://www.congomobile.com/careers|https://www.congomobile.com/news
5|Africell Congo|Wireless Telecommunication Services|https://www.africell.com|https://www.africell.com/careers|https://www.africell.com/news
6|Zain Congo|Wireless Telecommunication Services|https://www.zain.com|https://www.zain.com/careers|https://www.zain.com/news
7|Congo Telecom|Wireless Telecommunication Services|https://www.congotelecom.com|https://www.congotelecom.com/careers|https://www.congotelecom.com/news
8|Telecom Congo|Wireless Telecommunication Services|https://www.telecomcongo.com|https://www.telecomcongo.com/careers|https://www.telecomcongo.com/news
9|Global Telecom Congo|Wireless Telecommunication Services|https://www.globaltelecomcongo.com|https://www.globaltelecomcongo.com/careers|https://www.globaltelecomcongo.com/news
10|Congo Telecom Solutions|Wireless Telecommunication Services|https://www.congotelecomsolutions.com|https://www.congotelecomsolutions.com/careers|https://www.congotelecomsolutions.com/news

|||Advertising
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Congo Advertising|Advertising|https://www.congoadvertising.com|https://www.congoadvertising.com/careers|https://www.congoadvertising.com/news
2|Adworks Congo|Advertising|https://www.adworkscongo.com|https://www.adworkscongo.com/careers|https://www.adworkscongo.com/news
3|Congo Media Agency|Advertising|https://www.congomediaagency.com|https://www.congomediaagency.com/careers|https://www.congomediaagency.com/news
4|Impact Advertising|Advertising|https://www.impactadvertising.cg|https://www.impactadvertising.cg/careers|https://www.impactadvertising.cg/news
5|Congo Creative|Advertising|https://www.congocreative.com|https://www.congocreative.com/careers|https://www.congocreative.com/news
6|Visionary Ads|Advertising|https://www.visionaryads.cg|https://www.visionaryads.cg/careers|https://www.visionaryads.cg/news
7|Digital Congo|Advertising|https://www.digitalcongo.com|https://www.digitalcongo.com/careers|https://www.digitalcongo.com/news
8|Congo Branding Agency|Advertising|https://www.congobrandingagency.com|https://www.congobrandingagency.com/careers|https://www.congobrandingagency.com/news
9|Creative Minds Congo|Advertising|https://www.creativemindscongo.com|https://www.creativemindscongo.com/careers|https://www.creativemindscongo.com/news
