|||CÃƒÂ´te d'Ivoire
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Seadrill|Oil & Gas Drilling|https://seadrill.com|https://seadrill.com/careers|https://seadrill.com/news
3|Transocean|Oil & Gas Drilling|https://transocean.com|https://transocean.com/careers|https://transocean.com/news
4|Noble Corporation|Oil & Gas Drilling|https://noblecorp.com|https://noblecorp.com/careers|https://noblecorp.com/news
5|Diamond Offshore|Oil & Gas Drilling|https://diamondoffshore.com|https://diamondoffshore.com/careers|https://diamondoffshore.com/news
6|Petrobras|Oil & Gas Drilling|https://petrobras.com|https://petrobras.com/careers|https://petrobras.com/news
7|Borr Drilling|Oil & Gas Drilling|https://borrdrilling.com|https://borrdrilling.com/careers|https://borrdrilling.com/news
8|Rowan Companies|Oil & Gas Drilling|https://rowancompanies.com|https://rowancompanies.com/careers|https://rowancompanies.com/news
9|Valaris|Oil & Gas Drilling|https://valaris.com|https://valaris.com/careers|https://valaris.com/news
10|KCA Deutag|Oil & Gas Drilling|https://kcadeutag.com|https://kcadeutag.com/careers|https://kcadeutag.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|Subsea 7|Oil & Gas Equipment & Services|https://www.subsea7.com|https://www.subsea7.com/careers|https://www.subsea7.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com|https://www.exxonmobil.com/careers|https://www.exxonmobil.com/news
4|Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
5|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/news
6|ENI|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news
7|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/careers|https://www.repsol.com/news
8|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
9|Petrobras|Integrated Oil & Gas|https://www.petrobras.com|https://www.petrobras.com/careers|https://www.petrobras.com/news
10|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron|Oil & Gas Exploration & Production|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Oil & Gas Exploration & Production|https://www.exxonmobil.com|https://www.exxonmobil.com/careers|https://www.exxonmobil.com/news
4|Côte d'Ivoire Oil & Gas|Oil & Gas Exploration & Production|https://www.ci-oilgas.com|https://www.ci-oilgas.com/careers|https://www.ci-oilgas.com/news
5|Petrobras|Oil & Gas Exploration & Production|https://www.petrobras.com|https://www.petrobras.com/careers|https://www.petrobras.com/news
6|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
7|ENI|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news
8|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
9|Sahara Energy|Oil & Gas Exploration & Production|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
10|Oranto Petroleum|Oil & Gas Exploration & Production|https://www.oranto.com|https://www.oranto.com/careers|https://www.oranto.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Oil & Gas Refining & Marketing|https://www.exxonmobil.com|https://www.exxonmobil.com/careers|https://www.exxonmobil.com/news
4|Pétroci|Oil & Gas Refining & Marketing|https://www.petroci.ci|https://www.petroci.ci/careers|https://www.petroci.ci/news
