|||Djibouti
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Dolphin Drilling|Oil & Gas Drilling|https://www.dolphindrilling.com|https://www.dolphindrilling.com/careers|https://www.dolphindrilling.com/news
2|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
3|Noble Drilling|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
4|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
5|EnscoRowan|Oil & Gas Drilling|https://www.enscorowan.com|https://www.enscorowan.com/careers|https://www.enscorowan.com/news
6|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
7|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news
8|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news
9|Shelf Drilling|Oil & Gas Drilling|https://www.shelfdrilling.com|https://www.shelfdrilling.com/careers|https://www.shelfdrilling.com/news
10|Parker Drilling|Oil & Gas Drilling|https://www.parkerdrilling.com|https://www.parkerdrilling.com/careers|https://www.parkerdrilling.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://careers.technipfmc.com|https://www.technipfmc.com/en/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmcti.com|https://www.fmcti.com/careers|https://www.fmcti.com/news
9|Cameron|Oil & Gas Equipment & Services|https://www.c-a-m.com|https://www.c-a-m.com/careers|https://www.c-a-m.com/news
10|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
3|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
4|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/media.html
5|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enipedia/en/careers.html|https://www.eni.com/enipedia/en/media.html
7|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
10|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Africa Oil Corp|Oil & Gas Exploration & Production|https://www.africaoilcorp.com|https://www.africaoilcorp.com/careers|https://www.africaoilcorp.com/news
2|Petrofac|Oil & Gas Exploration & Production|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media
3|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/media
4|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
5|Ophir Energy|Oil & Gas Exploration & Production|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news
6|Sahara Energy|Oil & Gas Exploration & Production|https://www.sahara-group.com|https://www.sahara-group.com/careers|https://www.sahara-group.com/news
7|Chariot Oil & Gas|Oil & Gas Exploration & Production|https://www.chariotoilandgas.com|https://www.chariotoilandgas.com/careers|https://www.chariotoilandgas.com/news
8|Sound Energy|Oil & Gas Exploration & Production|https://www.soundenergyplc.com|https://www.soundenergyplc.com/careers|https://www.soundenergyplc.com/news
9|DNO ASA|Oil & Gas Exploration & Production|https://www.dno.no|https://www.dno.no/careers|https://www.dno.no/news
10|FAR Ltd|Oil & Gas Exploration & Production|https://www.far.com.au|https://www.far.com.au/careers|https://www.far.com.au/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
3|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/media.html
4|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
5|ExxonMobil|Oil & Gas Refining & Marketing|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
6|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
