|||Equatorial Guinea
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Noble Energy|Oil & Gas Drilling|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
2|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
3|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
4|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
5|Pacific Drilling|Oil & Gas Drilling|https://www.pacificdrilling.com|https://www.pacificdrilling.com/careers|https://www.pacificdrilling.com/news
6|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
7|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news
8|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news
9|Rowan Companies|Oil & Gas Drilling|https://www.rowancompanies.com|https://www.rowancompanies.com/careers|https://www.rowancompanies.com/news
10|Shelf Drilling|Oil & Gas Drilling|https://www.shelfdrilling.com|https://www.shelfdrilling.com/careers|https://www.shelfdrilling.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmcti.com|https://www.fmcti.com/careers|https://www.fmcti.com/news
10|Cameron|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/en/careers|https://totalenergies.com/en/news
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
4|ENI|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media/news.html
5|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media/news/index.cshtml
6|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
7|Sinopec|Integrated Oil & Gas|http://www.sinopec.com|http://www.sinopec.com/english/careers|http://www.sinopec.com/english/news
8|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
9|CNOOC|Integrated Oil & Gas|http://www.cnooc.com.cn|http://www.cnooc.com.cn/english/careers|http://www.cnooc.com.cn/english/news
10|Occidental Petroleum|Integrated Oil & Gas|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Noble Energy|Oil & Gas Exploration & Production|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
2|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|Trident Energy|Oil & Gas Exploration & Production|https://www.tridentenergy.com|https://www.tridentenergy.com/careers|https://www.tridentenergy.com/news
4|Perenco|Oil & Gas Exploration & Production|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
5|Cobalt International Energy|Oil & Gas Exploration & Production|https://www.cobaltintl.com|https://www.cobaltintl.com/careers|https://www.cobaltintl.com/news
6|Seplat Petroleum|Oil & Gas Exploration & Production|https://www.seplatpetroleum.com|https://www.seplatpetroleum.com/careers|https://www.seplatpetroleum.com/news
7|Eland Oil & Gas|Oil & Gas Exploration & Production|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
8|Sahara Energy|Oil & Gas Exploration & Production|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
9|Afren|Oil & Gas Exploration & Production|https://www.afren.com|https://www.afren.com/careers|https://www.afren.com/news
10|Addax Petroleum|Oil & Gas Exploration & Production|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonagas|Oil & Gas Refining & Marketing|https://www.sonagas.com|https://www.sonagas.com/careers|https://www.sonagas.com/news
2|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/en/careers|https://totalenergies.com/en/news
3|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
4|ExxonMobil|Oil & Gas Refining & Marketing|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
5|ENI|Oil & Gas Refining & Marketing|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media/news.html
6|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media/news/index.cshtml
7|Petrobras|Oil & Gas Refining & Marketing|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|Sinopec|Oil & Gas Refining & Marketing|http://www.sinopec.com|http://www.sinopec.com/english/careers|http://www.sinopec.com/english/news
9|CNOOC|Oil & Gas Refining & Marketing|http://www.cnooc.com.cn|http://www.cnooc.com.cn/english/careers|http://www.cnooc.com.cn/english/news
10|Occidental Petroleum|Oil & Gas Refining & Marketing|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonagas|Oil & Gas Storage & Transportation|https://www.sonagas.com|https://www.sonagas.com/careers|https://www.sonagas.com/news
2|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/en/careers|https://totalenergies.com/en/news
3|Chevron|Oil & Gas Storage & Transportation|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
4|ExxonMobil|Oil & Gas Storage & Transportation|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
5|ENI|Oil & Gas Storage & Transportation|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media/news.html
6|Repsol|Oil & Gas Storage & Transportation|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media/news/index.cshtml
7|Petrobras|Oil & Gas Storage & Transportation|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|Sinopec|Oil & Gas Storage & Transportation|http://www.sinopec.com|http://www.sinopec.com/english/careers|http://www.sinopec.com/english/news
9|CNOOC|Oil & Gas Storage & Transportation|http://www.cnooc.com.cn|http://www.cnooc.com.cn/english/careers|http://www.cnooc.com.cn/english/news
10|Occidental Petroleum|Oil & Gas Storage & Transportation|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Equatorial Guinea Coal Company|Coal & Consumable Fuels|https://www.egcoal.com|https://www.egcoal.com/careers|https://www.egcoal.com/news
2|Glencore|Coal & Consumable Fuels|https://www.glencore.com|https://www.glencore.com/careers|https://www.glencore.com/news
3|Adaro Energy|Coal & Consumable Fuels|https://www.adaro.com|https://www.adaro.com/careers|https://www.adaro.com/news
4|BHP Billiton|Coal & Consumable Fuels|https://www.bhp.com|https://www.bhp.com/careers|https://www.bhp.com/news
5|Peabody Energy|Coal & Consumable Fuels|https://www.peabodyenergy.com|https://www.peabodyenergy.com/careers|https://www.peabodyenergy.com/news
6|Arch Resources|Coal & Consumable Fuels|https://www.archresources.com|https://www.archresources.com/careers|https://www.archresources.com/news
7|Murray Energy|Coal & Consumable Fuels|https://www.murrayenergy.com|https://www.murrayenergy.com/careers|https://www.murrayenergy.com/news
8|China Shenhua Energy|Coal & Consumable Fuels|http://www.csec.com|http://www.csec.com/careers|http://www.csec.com/news
9|Yancoal|Coal & Consumable Fuels|https://www.yancoal.com.au|https://www.yancoal.com.au/careers|https://www.yancoal.com.au/news
10|Rio Tinto|Coal & Consumable Fuels|https://www.riotinto.com|https://www.riotinto.com/careers|https://www.riotinto.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonagas|Chemicals|http://www.sonagas.gq|http://www.sonagas.gq/careers|http://www.sonagas.gq/news
2|GEPetrol|Chemicals|http://www.gepetrol.gq|http://www.gepetrol.gq/careers|http://www.gepetrol.gq/news
3|Noble Energy|Chemicals|http://www.nobleenergy.com|http://www.nobleenergy.com/careers|http://www.nobleenergy.com/news
4|EQUATORIAL GUINEA PETROLEUM|Chemicals|http://www.egpetroleum.gq|http://www.egpetroleum.gq/careers|http://www.egpetroleum.gq/news
5|Petrobras|Chemicals|http://www.petrobras.com.br|http://www.petrobras.com.br/careers|http://www.petrobras.com.br/news
6|TotalEnergies|Chemicals|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
7|Chevron|Chemicals|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
8|Repsol|Chemicals|http://www.repsol.com|http://www.repsol.com/careers|http://www.repsol.com/news
9|ExxonMobil|Chemicals|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news
10|Sahara Energy|Chemicals|http://www.saharaenergy.com|http://www.saharaenergy.com/careers|http://www.saharaenergy.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonagas|Commodity Chemicals|http://www.sonagas.gq|http://www.sonagas.gq/careers|http://www.sonagas.gq/news
2|GEPetrol|Commodity Chemicals|http://www.gepetrol.gq|http://www.gepetrol.gq/careers|http://www.gepetrol.gq/news
3|Noble Energy|Commodity Chemicals|http://www.nobleenergy.com|http://www.nobleenergy.com/careers|http://www.nobleenergy.com/news
4|EQUATORIAL GUINEA PETROLEUM|Commodity Chemicals|http://www.egpetroleum.gq|http://www.egpetroleum.gq/careers|http://www.egpetroleum.gq/news
5|Petrobras|Commodity Chemicals|http://www.petrobras.com.br|http://www.petrobras.com.br/careers|http://www.petrobras.com.br/news
6|TotalEnergies|Commodity Chemicals|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
7|Chevron|Commodity Chemicals|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
8|Repsol|Commodity Chemicals|http://www.repsol.com|http://www.repsol.com/careers|http://www.repsol.com/news
9|ExxonMobil|Commodity Chemicals|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news
10|Sahara Energy|Commodity Chemicals|http://www.saharaenergy.com|http://www.saharaenergy.com/careers|http://www.saharaenergy.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonagas|Diversified Chemicals|http://www.sonagas.gq|http://www.sonagas.gq/careers|http://www.sonagas.gq/news
2|GEPetrol|Diversified Chemicals|http://www.gepetrol.gq|http://www.gepetrol.gq/careers|http://www.gepetrol.gq/news
3|Noble Energy|Diversified Chemicals|http://www.nobleenergy.com|http://www.nobleenergy.com/careers|http://www.nobleenergy.com/news
4|EQUATORIAL GUINEA PETROLEUM|Diversified Chemicals|http://www.egpetroleum.gq|http://www.egpetroleum.gq/careers|http://www.egpetroleum.gq/news
5|Petrobras|Diversified Chemicals|http://www.petrobras.com.br|http://www.petrobras.com.br/careers|http://www.petrobras.com.br/news
6|TotalEnergies|Diversified Chemicals|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
7|Chevron|Diversified Chemicals|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
8|Repsol|Diversified Chemicals|http://www.repsol.com|http://www.repsol.com/careers|http://www.repsol.com/news
9|ExxonMobil|Diversified Chemicals|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news
10|Sahara Energy|Diversified Chemicals|http://www.saharaenergy.com|http://www.saharaenergy.com/careers|http://www.saharaenergy.com/news

|||Fertilizers & agricultural chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonagas|Fertilizers & Agricultural Chemicals|http://www.sonagas.gq|http://www.sonagas.gq/careers|http://www.sonagas.gq/news
2|GEPetrol|Fertilizers & Agricultural Chemicals|http://www.gepetrol.gq|http://www.gepetrol.gq/careers|http://www.gepetrol.gq/news
3|Noble Energy|Fertilizers & Agricultural Chemicals|http://www.nobleenergy.com|http://www.nobleenergy.com/careers|http://www.nobleenergy.com/news
4|EQUATORIAL GUINEA PETROLEUM|Fertilizers & Agricultural Chemicals|http://www.egpetroleum.gq|http://www.egpetroleum.gq/careers|http://www.egpetroleum.gq/news
5|Petrobras|Fertilizers & Agricultural Chemicals|http://www.petrobras.com.br|http://www.petrobras.com.br/careers|http://www.petrobras.com.br/news
6|TotalEnergies|Fertilizers & Agricultural Chemicals|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
