|||Eritrea
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Eritrean Oil Company|Oil & Gas Drilling|https://www.eritreanoil.com|https://www.eritreanoil.com/careers|https://www.eritreanoil.com/news
2|Red Sea Petroleum|Oil & Gas Drilling|https://www.redseapetroleum.com|https://www.redseapetroleum.com/careers|https://www.redseapetroleum.com/news
3|Eritrea Energy Corporation|Oil & Gas Drilling|https://www.eritreaenergy.com|https://www.eritreaenergy.com/careers|https://www.eritreaenergy.com/news
4|Horn of Africa Oil|Oil & Gas Drilling|https://www.hornofafricanoil.com|https://www.hornofafricanoil.com/careers|https://www.hornofafricanoil.com/news
5|Nile Delta Drillers|Oil & Gas Drilling|https://www.niledeltadrillers.com|https://www.niledeltadrillers.com/careers|https://www.niledeltadrillers.com/news
6|Eritrea Exploration Co.|Oil & Gas Drilling|https://www.eritreaexploration.com|https://www.eritreaexploration.com/careers|https://www.eritreaexploration.com/news
7|Abyssinian Oil Services|Oil & Gas Drilling|https://www.abyssinianoilservices.com|https://www.abyssinianoilservices.com/careers|https://www.abyssinianoilservices.com/news
8|Eritrean Petroleum Corp|Oil & Gas Drilling|https://www.eritreanpetroleum.com|https://www.eritreanpetroleum.com/careers|https://www.eritreanpetroleum.com/news
9|African Drilling Solutions|Oil & Gas Drilling|https://www.africandrillingsolutions.com|https://www.africandrillingsolutions.com/careers|https://www.africandrillingsolutions.com/news
10|PetroEritrea|Oil & Gas Drilling|https://www.petroeritrea.com|https://www.petroeritrea.com/careers|https://www.petroeritrea.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Eritrean Oilfield Services|Oil & Gas Equipment & Services|https://www.eritreanoilfieldservices.com|https://www.eritreanoilfieldservices.com/careers|https://www.eritreanoilfieldservices.com/news
2|Horn of Africa Equipment|Oil & Gas Equipment & Services|https://www.hornofafricaequipment.com|https://www.hornofafricaequipment.com/careers|https://www.hornofafricaequipment.com/news
3|Red Sea Oil Services|Oil & Gas Equipment & Services|https://www.redseaoilservices.com|https://www.redseaoilservices.com/careers|https://www.redseaoilservices.com/news
4|Eritrea Drilling Equipment|Oil & Gas Equipment & Services|https://www.eritreadrillingequipment.com|https://www.eritreadrillingequipment.com/careers|https://www.eritreadrillingequipment.com/news
5|Abyssinian Oil Equipment|Oil & Gas Equipment & Services|https://www.abyssinianoilequipment.com|https://www.abyssinianoilequipment.com/careers|https://www.abyssinianoilequipment.com/news
6|Eritrean Energy Solutions|Oil & Gas Equipment & Services|https://www.eritreaenergysolutions.com|https://www.eritreaenergysolutions.com/careers|https://www.eritreaenergysolutions.com/news
7|Nile Oilfield Services|Oil & Gas Equipment & Services|https://www.nileoilfieldservices.com|https://www.nileoilfieldservices.com/careers|https://www.nileoilfieldservices.com/news
8|Eritrea Equipment Co.|Oil & Gas Equipment & Services|https://www.eritreaequipment.com|https://www.eritreaequipment.com/careers|https://www.eritreaequipment.com/news
