|||Eswatini
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Company A|Oil & Gas Drilling|https://www.companya.com|https://www.companya.com/careers|https://www.companya.com/news
2|Company B|Oil & Gas Drilling|https://www.companyb.com|https://www.companyb.com/careers|https://www.companyb.com/news
3|Company C|Oil & Gas Drilling|https://www.companyc.com|https://www.companyc.com/careers|https://www.companyc.com/news
4|Company D|Oil & Gas Drilling|https://www.companyd.com|https://www.companyd.com/careers|https://www.companyd.com/news
5|Company E|Oil & Gas Drilling|https://www.companye.com|https://www.companye.com/careers|https://www.companye.com/news
6|Company F|Oil & Gas Drilling|https://www.companyf.com|https://www.companyf.com/careers|https://www.companyf.com/news
7|Company G|Oil & Gas Drilling|https://www.companyg.com|https://www.companyg.com/careers|https://www.companyg.com/news
8|Company H|Oil & Gas Drilling|https://www.companyh.com|https://www.companyh.com/careers|https://www.companyh.com/news
9|Company I|Oil & Gas Drilling|https://www.companyi.com|https://www.companyi.com/careers|https://www.companyi.com/news
10|Company J|Oil & Gas Drilling|https://www.companyj.com|https://www.companyj.com/careers|https://www.companyj.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Company K|Oil & Gas Equipment & Services|https://www.companyk.com|https://www.companyk.com/careers|https://www.companyk.com/news
2|Company L|Oil & Gas Equipment & Services|https://www.companyl.com|https://www.companyl.com/careers|https://www.companyl.com/news
3|Company M|Oil & Gas Equipment & Services|https://www.companym.com|https://www.companym.com/careers|https://www.companym.com/news
4|Company N|Oil & Gas Equipment & Services|https://www.companyn.com|https://www.companyn.com/careers|https://www.companyn.com/news
5|Company O|Oil & Gas Equipment & Services|https://www.companyo.com|https://www.companyo.com/careers|https://www.companyo.com/news
6|Company P|Oil & Gas Equipment & Services|https://www.companyp.com|https://www.companyp.com/careers|https://www.companyp.com/news
7|Company Q|Oil & Gas Equipment & Services|https://www.companyq.com|https://www.companyq.com/careers|https://www.companyq.com/news
8|Company R|Oil & Gas Equipment & Services|https://www.companyr.com|https://www.companyr.com/careers|https://www.companyr.com/news
9|Company S|Oil & Gas Equipment & Services|https://www.companys.com|https://www.companys.com/careers|https://www.companys.com/news
10|Company T|Oil & Gas Equipment & Services|https://www.companyt.com|https://www.companyt.com/careers|https://www.companyt.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Company U|Integrated Oil & Gas|https://www.companyu.com|https://www.companyu.com/careers|https://www.companyu.com/news
2|Company V|Integrated Oil & Gas|https://www.companyv.com|https://www.companyv.com/careers|https://www.companyv.com/news
3|Company W|Integrated Oil & Gas|https://www.companyw.com|https://www.companyw.com/careers|https://www.companyw.com/news
4|Company X|Integrated Oil & Gas|https://www.companyx.com|https://www.companyx.com/careers|https://www.companyx.com/news
5|Company Y|Integrated Oil & Gas|https://www.companyy.com|https://www.companyy.com/careers|https://www.companyy.com/news
6|Company Z|Integrated Oil & Gas|https://www.companyz.com|https://www.companyz.com/careers|https://www.companyz.com/news
