|||Gabon
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Oil & Gas Drilling|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|CNR International|Oil & Gas Drilling|https://www.cnrinternational.com|https://www.cnrinternational.com/careers|https://www.cnrinternational.com/news
4|Maurel & Prom|Oil & Gas Drilling|https://www.maureletprom.fr|https://www.maureletprom.fr/en/careers|https://www.maureletprom.fr/en/news
5|Seplat Petroleum|Oil & Gas Drilling|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
6|Vaalco Energy|Oil & Gas Drilling|https://www.vaalco.com|https://www.vaalco.com/careers|https://www.vaalco.com/news
7|FAR Ltd|Oil & Gas Drilling|https://www.far.com.au|https://www.far.com.au/careers|https://www.far.com.au/news
8|Kosmos Energy|Oil & Gas Drilling|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
9|Eland Oil & Gas|Oil & Gas Drilling|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
10|Ophir Energy|Oil & Gas Drilling|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/en/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/en/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
9|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Integrated Oil & Gas|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|CNR International|Integrated Oil & Gas|https://www.cnrinternational.com|https://www.cnrinternational.com/careers|https://www.cnrinternational.com/news
4|Maurel & Prom|Integrated Oil & Gas|https://www.maureletprom.fr|https://www.maureletprom.fr/en/careers|https://www.maureletprom.fr/en/news
5|Seplat Petroleum|Integrated Oil & Gas|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
6|Vaalco Energy|Integrated Oil & Gas|https://www.vaalco.com|https://www.vaalco.com/careers|https://www.vaalco.com/news
7|FAR Ltd|Integrated Oil & Gas|https://www.far.com.au|https://www.far.com.au/careers|https://www.far.com.au/news
8|Kosmos Energy|Integrated Oil & Gas|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
9|Eland Oil & Gas|Integrated Oil & Gas|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
10|Ophir Energy|Integrated Oil & Gas|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Oil & Gas Exploration & Production|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|CNR International|Oil & Gas Exploration & Production|https://www.cnrinternational.com|https://www.cnrinternational.com/careers|https://www.cnrinternational.com/news
4|Maurel & Prom|Oil & Gas Exploration & Production|https://www.maureletprom.fr|https://www.maureletprom.fr/en/careers|https://www.maureletprom.fr/en/news
5|Seplat Petroleum|Oil & Gas Exploration & Production|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
6|Vaalco Energy|Oil & Gas Exploration & Production|https://www.vaalco.com|https://www.vaalco.com/careers|https://www.vaalco.com/news
7|FAR Ltd|Oil & Gas Exploration & Production|https://www.far.com.au|https://www.far.com.au/careers|https://www.far.com.au/news
8|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
9|Eland Oil & Gas|Oil & Gas Exploration & Production|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
10|Ophir Energy|Oil & Gas Exploration & Production|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Société Gabonaise de Raffinage (SOGARA)|Oil & Gas Refining & Marketing|https://www.sogara.ga|https://www.sogara.ga/careers|https://www.sogara.ga/news
3|Perenco|Oil & Gas Refining & Marketing|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Shell Gabon|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
5|Oryx Energies|Oil & Gas Refining & Marketing|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
6|Engen|Oil & Gas Refining & Marketing|https://www.engen.co.za|https://www.engen.co.za/careers|https://www.engen.co.za/news
7|TotalEnergies Marketing Gabon|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
8|Gabon Oil Company|Oil & Gas Refining & Marketing|https://www.gabon-oil.com|https://www.gabon-oil.com/careers|https://www.gabon-oil.com/news
9|Congo Oil|Oil & Gas Refining & Marketing|https://www.congooil.com|https://www.congooil.com/careers|https://www.congooil.com/news
10|Gabonese Petroleum Company|Oil & Gas Refining & Marketing|https://www.gabonpetroleum.com|https://www.gabonpetroleum.com/careers|https://www.gabonpetroleum.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Oil & Gas Storage & Transportation|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|Société Gabonaise de Raffinage (SOGARA)|Oil & Gas Storage & Transportation|https://www.sogara.ga|https://www.sogara.ga/careers|https://www.sogara.ga/news
4|Gabon Oil Company|Oil & Gas Storage & Transportation|https://www.gabon-oil.com|https://www.gabon-oil.com/careers|https://www.gabon-oil.com/news
5|Oryx Energies|Oil & Gas Storage & Transportation|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
6|Gabonese Petroleum Company|Oil & Gas Storage & Transportation|https://www.gabonpetroleum.com|https://www.gabonpetroleum.com/careers|https://www.gabonpetroleum.com/news
7|Shell Gabon|Oil & Gas Storage & Transportation|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
8|Engen|Oil & Gas Storage & Transportation|https://www.engen.co.za|https://www.engen.co.za/careers|https://www.engen.co.za/news
9|Congo Oil|Oil & Gas Storage & Transportation|https://www.congooil.com|https://www.congooil.com/careers|https://www.congooil.com/news
10|Vivo Energy|Oil & Gas Storage & Transportation|https://www.vivoenergy.com|https://www.vivoenergy.com/careers|https://www.vivoenergy.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Gabon Mining Company|Coal & Consumable Fuels|https://www.gabonmining.com|https://www.gabonmining.com/careers|https://www.gabonmining.com/news
2|Compagnie Minière de l'Ogooué|Coal & Consumable Fuels|https://www.cmo.ga|https://www.cmo.ga/careers|https://www.cmo.ga/news
3|Société Nationale des Mines du Gabon|Coal & Consumable Fuels|https://www.snmgabon.com|https://www.snmgabon.com/careers|https://www.snmgabon.com/news
4|Gabon Oil & Gas|Coal & Consumable Fuels|https://www.gabonog.com|https://www.gabonog.com/careers|https://www.gabonog.com/news
5|Gabonese Coal Company|Coal & Consumable Fuels|https://www.gaboncoal.com|https://www.gaboncoal.com/careers|https://www.gaboncoal.com/news
6|Mines du Gabon|Coal & Consumable Fuels|https://www.minesdugabon.com|https://www.minesdugabon.com/careers|https://www.minesdugabon.com/news
7|Gabon Ferro|Coal & Consumable Fuels|https://www.gabonferro.com|https://www.gabonferro.com/careers|https://www.gabonferro.com/news
8|Société Gabonaise de Charbon|Coal & Consumable Fuels|https://www.sgcharbon.com|https://www.sgcharbon.com/careers|https://www.sgcharbon.com/news
9|Compagnie Minière de Franceville|Coal & Consumable Fuels|https://www.cmfranceville.com|https://www.cmfranceville.com/careers|https://www.cmfranceville.com/news
10|Gabon Coal Mining|Coal & Consumable Fuels|https://www.gaboncoalmining.com|https://www.gaboncoalmining.com/careers|https://www.gaboncoalmining.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Gabonaise de Raffinage|Chemicals|http://www.sogara.com|http://www.sogara.com/careers|http://www.sogara.com/news
2|Gabon Special Economic Zone|Chemicals|http://www.gaboninvest.com|http://www.gaboninvest.com/careers|http://www.gaboninvest.com/news
3|Gabon Oil Company|Chemicals|http://www.gabon-oil.com|http://www.gabon-oil.com/careers|http://www.gabon-oil.com/news
4|Gabonese Chemical Industries|Chemicals|http://www.gabochemicals.com|http://www.gabochemicals.com/careers|http://www.gabochemicals.com/news
5|Gabon Mining Company|Chemicals|http://www.gabonmining.com|http://www.gabonmining.com/careers|http://www.gabonmining.com/news
6|Cameron Gabon|Chemicals|http://www.cameron.com/gabon|http://www.cameron.com/gabon/careers|http://www.cameron.com/gabon/news
7|Gabon Fertilizers|Chemicals|http://www.gabonfertilizers.com|http://www.gabonfertilizers.com/careers|http://www.gabonfertilizers.com/news
8|Gabon Chemical Solutions|Chemicals|http://www.gabonchemicalsolutions.com|http://www.gabonchemicalsolutions.com/careers|http://www.gabonchemicalsolutions.com/news
9|Société Nationale des Hydrocarbures|Chemicals|http://www.snhgabon.com|http://www.snhgabon.com/careers|http://www.snhgabon.com/news
10|Gabonese Petrochemicals|Chemicals|http://www.gabonpetrochemicals.com|http://www.gabonpetrochemicals.com/careers|http://www.gabonpetrochemicals.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Gabonese Oil and Gas|Commodity Chemicals|http://www.gabon-oilgas.com|http://www.gabon-oilgas.com/careers|http://www.gabon-oilgas.com/news
2|Gabon Chemical Corporation|Commodity Chemicals|http://www.gabonchemcorp.com|http://www.gabonchemcorp.com/careers|http://www.gabonchemcorp.com/news
3|Société Gabonaise de Produits Chimiques|Commodity Chemicals|http://www.sgpc.com|http://www.sgpc.com/careers|http://www.sgpc.com/news
4|Gabon Fertilizer Company|Commodity Chemicals|http://www.gabonfertilizer.com|http://www.gabonfertilizer.com/careers|http://www.gabonfertilizer.com/news
5|Gabonese Petrochemical Industries|Commodity Chemicals|http://www.gabonpetrochemicals.com|http://www.gabonpetrochemicals.com/careers|http://www.gabonpetrochemicals.com/news
6|Commodities Gabon|Commodity Chemicals|http://www.commoditiesgabon.com|http://www.commoditiesgabon.com/careers|http://www.commoditiesgabon.com/news
7|Gabon Chemical Solutions|Commodity Chemicals|http://www.gabonchemicalsolutions.com|http://www.gabonchemicalsolutions.com/careers|http://www.gabonchemicalsolutions.com/news
8|Gabon Mining and Chemicals|Commodity Chemicals|http://www.gabonminingchemicals.com|http://www.gabonminingchemicals.com/careers|http://www.gabonminingchemicals.com/news
9|Gabon Commodity Chemicals|Commodity Chemicals|http://www.gaboncommoditychemicals.com|http://www.gaboncommoditychemicals.com/careers|http://www.gaboncommoditychemicals.com/news
10|Société de Chimie Gabonaise|Commodity Chemicals|http://www.scgabon.com|http://www.scgabon.com/careers|http://www.scgabon.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Gabon Diversified Chemicals|Diversified Chemicals|http://www.gabondc.com|http://www.gabondc.com/careers|http://www.gabondc.com/news
2|Société Gabonaise de Chimie|Diversified Chemicals|http://www.sgchimie.com|http://www.sgchimie.com/careers|http://www.sgchimie.com/news
3|Gabon Chemical Industries|Diversified Chemicals|http://www.gabonchemicalind.com|http://www.gabonchemicalind.com/careers|http://www.gabonchemicalind.com/news
4|Gabon Specialty Chemicals|Diversified Chemicals|http://www.gabonspecialtychem.com|http://www.gabonspecialtychem.com/careers|http://www.gabonspecialtychem.com/news
5|Société de Produits Chimiques du Gabon|Diversified Chemicals|http://www.spchgabon.com|http://www.spchgabon.com/careers|http://www.spchgabon.com/news
