|||Guinea-Bissau
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroguin|Oil & Gas Drilling|http://www.petroguin.com|http://www.petroguin.com/careers|http://www.petroguin.com/news
2|Gulf Energy|Oil & Gas Drilling|http://www.gulfenergy.com|http://www.gulfenergy.com/careers|http://www.gulfenergy.com/news
3|Sahara Energy|Oil & Gas Drilling|http://www.saharaenergy.com|http://www.saharaenergy.com/careers|http://www.saharaenergy.com/news
4|Seplat Petroleum|Oil & Gas Drilling|http://www.seplatpetroleum.com|http://www.seplatpetroleum.com/careers|http://www.seplatpetroleum.com/news
5|Cobalt International|Oil & Gas Drilling|http://www.cobaltintl.com|http://www.cobaltintl.com/careers|http://www.cobaltintl.com/news
6|Addax Petroleum|Oil & Gas Drilling|http://www.addaxpetroleum.com|http://www.addaxpetroleum.com/careers|http://www.addaxpetroleum.com/news
7|Oando|Oil & Gas Drilling|http://www.oandoplc.com|http://www.oandoplc.com/careers|http://www.oandoplc.com/news
8|TotalEnergies|Oil & Gas Drilling|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
9|Chevron|Oil & Gas Drilling|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
10|ExxonMobil|Oil & Gas Drilling|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|http://www.schlumberger.com|http://www.schlumberger.com/careers|http://www.schlumberger.com/news
2|Halliburton|Oil & Gas Equipment & Services|http://www.halliburton.com|http://www.halliburton.com/careers|http://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|http://www.nov.com|http://www.nov.com/careers|http://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|http://www.technipfmc.com|http://www.technipfmc.com/careers|http://www.technipfmc.com/news
7|KBR|Oil & Gas Equipment & Services|http://www.kbr.com|http://www.kbr.com/careers|http://www.kbr.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|http://www.akersolutions.com|http://www.akersolutions.com/careers|http://www.akersolutions.com/news
9|Saipem|Oil & Gas Equipment & Services|http://www.saipem.com|http://www.saipem.com/careers|http://www.saipem.com/news
10|FMC Technologies|Oil & Gas Equipment & Services|http://www.fmc-technologies.com|http://www.fmc-technologies.com/careers|http://www.fmc-technologies.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
2|Chevron|Integrated Oil & Gas|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news
4|BP|Integrated Oil & Gas|http://www.bp.com|http://www.bp.com/careers|http://www.bp.com/news
5|Shell|Integrated Oil & Gas|http://www.shell.com|http://www.shell.com/careers|http://www.shell.com/news
6|Eni|Integrated Oil & Gas|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news
7|ConocoPhillips|Integrated Oil & Gas|http://www.conocophillips.com|http://www.conocophillips.com/careers|http://www.conocophillips.com/news
8|Repsol|Integrated Oil & Gas|http://www.repsol.com|http://www.repsol.com/careers|http://www.repsol.com/news
9|CNOOC|Integrated Oil & Gas|http://www.cnooc.com.cn|http://www.cnooc.com.cn/careers|http://www.cnooc.com.cn/news
10|Petrobras|Integrated Oil & Gas|http://www.petrobras.com.br|http://www.petrobras.com.br/careers|http://www.petrobras.com.br/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroguin|Oil & Gas Exploration & Production|http://www.petroguin.com|http://www.petroguin.com/careers|http://www.petroguin.com/news
2|Gulf Energy|Oil & Gas Exploration & Production|http://www.gulfenergy.com|http://www.gulfenergy.com/careers|http://www.gulfenergy.com/news
3|Sahara Energy|Oil & Gas Exploration & Production|http://www.saharaenergy.com|http://www.saharaenergy.com/careers|http://www.saharaenergy.com/news
4|Seplat Petroleum|Oil & Gas Exploration & Production|http://www.seplatpetroleum.com|http://www.seplatpetroleum.com/careers|http://www.seplatpetroleum.com/news
5|Addax Petroleum|Oil & Gas Exploration & Production|http://www.addaxpetroleum.com|http://www.addaxpetroleum.com/careers|http://www.addaxpetroleum.com/news
6|Cobalt International|Oil & Gas Exploration & Production|http://www.cobaltintl.com|http://www.cobaltintl.com/careers|http://www.cobaltintl.com/news
7|Oando|Oil & Gas Exploration & Production|http://www.oandoplc.com|http://www.oandoplc.com/careers|http://www.oandoplc.com/news
8|Chevron|Oil & Gas Exploration & Production|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
9|TotalEnergies|Oil & Gas Exploration & Production|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
10|ExxonMobil|Oil & Gas Exploration & Production|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
2|Shell|Oil & Gas Refining & Marketing|http://www.shell.com|http://www.shell.com/careers|http://www.shell.com/news
3|Chevron|Oil & Gas Refining & Marketing|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
4|BP|Oil & Gas Refining & Marketing|http://www.bp.com|http://www.bp.com/careers|http://www.bp.com/news
5|ExxonMobil|Oil & Gas Refining & Marketing|http://www.exxonmobil.com|http://www.exxonmobil.com/careers|http://www.exxonmobil.com/news
6|Repsol|Oil & Gas Refining & Marketing|http://www.repsol.com|http://www.repsol.com/careers|http://www.repsol.com/news
7|Petróleos de Venezuela|Oil & Gas Refining & Marketing|http://www.pdvsa.com|http://www.pdvsa.com/careers|http://www.pdvsa.com/news
8|Marathon Petroleum|Oil & Gas Refining & Marketing|http://www.marathonpetroleum.com|http://www.marathonpetroleum.com/careers|http://www.marathonpetroleum.com/news
9|Valero Energy|Oil & Gas Refining & Marketing|http://www.valero.com|http://www.valero.com/careers|http://www.valero.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|http://www.hollyfrontier.com|http://www.hollyfrontier.com/careers|http://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonangol|Oil & Gas Storage & Transportation|http://www.sonangol.co.ao|http://www.sonangol.co.ao/careers|http://www.sonangol.co.ao/news
2|TransCanada|Oil & Gas Storage & Transportation|http://www.transcanada.com|http://www.transcanada.com/careers|http://www.transcanada.com/news
3|Enbridge|Oil & Gas Storage & Transportation|http://www.enbridge.com|http://www.enbridge.com/careers|http://www.enbridge.com/news
4|Magellan Midstream Partners|Oil & Gas Storage & Transportation|http://www.magellanlp.com|http://www.magellanlp.com/careers|http://www.magellanlp.com/news
5|Kinder Morgan|Oil & Gas Storage & Transportation|http://www.kindermorgan.com|http://www.kindermorgan.com/careers|http://www.kindermorgan.com/news
6|Williams Companies|Oil & Gas Storage & Transportation|http://www.williams.com|http://www.williams.com/careers|http://www.williams.com/news
7|Pioneer Natural Resources|Oil & Gas Storage & Transportation|http://www.pxd.com|http://www.pxd.com/careers|http://www.pxd.com/news
8|HollyFrontier|Oil & Gas Storage & Transportation|http://www.hollyfrontier.com|http://www.hollyfrontier.com/careers|http://www.hollyfrontier.com/news
9|Valero Energy|Oil & Gas Storage & Transportation|http://www.valero.com|http://www.valero.com/careers|http://www.valero.com/news
10|Oiltanking|Oil & Gas Storage & Transportation|http://www.oiltanking.com|http://www.oiltanking.com/careers|http://www.oiltanking.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Endiama|Coal & Consumable Fuels|http://www.endiama.co.ao|http://www.endiama.co.ao/careers|http://www.endiama.co.ao/news
2|Sociedade Nacional de Combustíveis|Coal & Consumable Fuels|http://www.snc.gw|http://www.snc.gw/careers|http://www.snc.gw/news
3|Guinea-Bissau Energy|Coal & Consumable Fuels|http://www.guinea-bissauenergy.com|http://www.guinea-bissauenergy.com/careers|http://www.guinea-bissauenergy.com/news
4|West African Energy|Coal & Consumable Fuels|http://www.westafricanenergy.com|http://www.westafricanenergy.com/careers|http://www.westafricanenergy.com/news
5|African Energy Corporation|Coal & Consumable Fuels|http://www.africanenergycorp.com|http://www.africanenergycorp.com/careers|http://www.africanenergycorp.com/news
6|Coal of Africa|Coal & Consumable Fuels|http://www.coalofafrica.com|http://www.coalofafrica.com/careers|http://www.coalofafrica.com/news
7|MC Mining|Coal & Consumable Fuels|http://www.mcm.co.za|http://www.mcm.co.za/careers|http://www.mcm.co.za/news
8|Universal Coal|Coal & Consumable Fuels|http://www.universalcoal.com|http://www.universalcoal.com/careers|http://www.universalcoal.com/news
9|Wescoal|Coal & Consumable Fuels|http://www.wescoal.co.za|http://www.wescoal.co.za/careers|http://www.wescoal.co.za/news
10|Keaton Energy|Coal & Consumable Fuels|http://www.keatonenergy.co.za|http://www.keatonenergy.co.za/careers|http://www.keatonenergy.co.za/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Guinea-Bissau Chemicals|Materials|https://www.gbchemicals.com|https://www.gbchemicals.com/careers|https://www.gbchemicals.com/news
2|Bissau Chemical Corp|Materials|https://www.bissauchems.com|https://www.bissauchems.com/careers|https://www.bissauchems.com/news
3|EcoChem Bissau|Materials|https://www.ecochem-bissau.com|https://www.ecochem-bissau.com/careers|https://www.ecochem-bissau.com/news
4|Bissau Fertilizers|Materials|https://www.bissaufertilizers.com|https://www.bissaufertilizers.com/careers|https://www.bissaufertilizers.com/news
5|Guinea Chemical Industries|Materials|https://www.guineachemicals.com|https://www.guineachemicals.com/careers|https://www.guineachemicals.com/news
6|Bissau Petrochemicals|Materials|https://www.bissaupetrochemicals.com|https://www.bissaupetrochemicals.com/careers|https://www.bissaupetrochemicals.com/news
7|GreenChem Bissau|Materials|https://www.greenchembissau.com|https://www.greenchembissau.com/careers|https://www.greenchembissau.com/news
8|Bissau Specialty Chemicals|Materials|https://www.bissaustech.com|https://www.bissaustech.com/careers|https://www.bissaustech.com/news
9|Guinea-Bissau Agrochemicals|Materials|https://www.gb-agrochem.com|https://www.gb-agrochem.com/careers|https://www.gb-agrochem.com/news
10|Bissau Industrial Chemicals|Materials|https://www.bissauindustrial.com|https://www.bissauindustrial.com/careers|https://www.bissauindustrial.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Bissau Commodity Chemicals|Commodity Chemicals|https://www.bissaucommodity.com|https://www.bissaucommodity.com/careers|https://www.bissaucommodity.com/news
2|Guinea-Bissau Petrochemicals|Commodity Chemicals|https://www.gbpetrochem.com|https://www.gbpetrochem.com/careers|https://www.gbpetrochem.com/news
3|Bissau Chemical Supplies|Commodity Chemicals|https://www.bissauchemsupplies.com|https://www.bissauchemsupplies.com/careers|https://www.bissauchemsupplies.com/news
4|Eco Commodity Chemicals|Commodity Chemicals|https://www.ecocommodity.com|https://www.ecocommodity.com/careers|https://www.ecocommodity.com/news
5|Bissau Industrial Chemicals|Commodity Chemicals|https://www.bissauindustrialchem.com|https://www.bissauindustrialchem.com/careers|https://www.bissauindustrialchem.com/news
6|Guinea-Bissau Fertilizers|Commodity Chemicals|https://www.gb-fertilizers.com|https://www.gb-fertilizers.com/careers|https://www.gb-fertilizers.com/news
7|Bissau Agrochemicals|Commodity Chemicals|https://www.bissauagro.com|https://www.bissauagro.com/careers|https://www.bissauagro.com/news
8|Bissau Specialty Chemicals|Commodity Chemicals|https://www.bissautech.com|https://www.bissautech.com/careers|https://www.bissautech.com/news
9|Guinea-Bissau Chemical Industries|Commodity Chemicals|https://www.gbchemicalindustries.com|https://www.gbchemicalindustries.com/careers|https://www.gbchemicalindustries.com/news
10|Bissau Chemical Solutions|Commodity Chemicals|https://www.bissauchemsolutions.com|https://www.bissauchemsolutions.com/careers|https://www.bissauchemsolutions.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Bissau Diversified Chemicals|Diversified Chemicals|https://www.bissaudiversified.com|https://www.bissaudiversified.com/careers|https://www.bissaudiversified.com/news
2|Guinea-Bissau Chemical Solutions|Diversified Chemicals|https://www.gbchemsolutions.com|https://www.gbchemsolutions.com/careers|https://www.gbchemsolutions.com/news
3|Bissau Specialty Chemicals|Diversified Chemicals|https://www.bissauspecialty.com|https://www.bissauspecialty.com/careers|https://www.bissauspecialty.com/news
4|EcoChem Guinea-Bissau|Diversified Chemicals|https://www.ecochemgb.com|https://www.ecochemgb.com/careers|https://www.ecochemgb.com/news
5|Bissau Chemical Industries|Diversified Chemicals|https://www.bissauchems.com|https://www.bissauchems.com/careers|https://www.bissauchems.com/news
6|Guinea-Bissau Agrochemicals|Diversified Chemicals|https://www.gb-agrochem.com|https://www.gb-agrochem.com/careers|https://www.gb-agrochem.com/news
7|Bissau Petrochemical Group|Diversified Chemicals|https://www.bissaupetrochem.com|https://www.bissaupetrochem.com/careers|https://www.bissaupetrochem.com/news
8|Guinea-Bissau Industrial Chemicals|Diversified Chemicals|https://www.gbindustrialchem.com|https://www.gbindustrialchem.com/careers|https://www.gbindustrialchem.com/news
9|Bissau Chemical Enterprises|Diversified Chemicals|https://www.bissauchement.com|https://www.bissauchement.com/careers|https://www.bissauchement.com/news
10|Guinea-Bissau Chemical Corp|Diversified Chemicals|https://www.gbchemicalcorp.com|https://www.gbchemicalcorp.com/careers|https://www.gbchemicalcorp.com/news

|||Fertilizers & agricultural chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Guinea-Bissau Fertilizers|Fertilizers & Agricultural Chemicals|https://www.gb-fertilizers.com|https://www.gb-fertilizers.com/careers|https://www.gb-fertilizers.com/news
2|Bissau Agrochemicals|Fertilizers & Agricultural Chemicals|https://www.bissauagro.com|https://www.bissauagro.com/careers|https://www.bissauagro.com/news
3|EcoFert Guinea-Bissau|Fertilizers & Agricultural Chemicals|https://www.ecofertgb.com|https://www.ecofertgb.com/careers|https://www.ecofertgb.com/news
4|Bissau Agricultural Chemicals|Fertilizers & Agricultural Chemicals|https://www.bissauagrochem.com|https://www.bissauagrochem.com/careers|https://www.bissauagrochem.com/news
5|Guinea-Bissau Crop Protection|Fertilizers & Agricultural Chemicals|https://www.gb-cropprotection.com|https://www.gb-cropprotection.com/careers|https://www.gb-cropprotection.com/news
6|Bissau Plant Nutrition|Fertilizers & Agricultural Chemicals|https://www.bissauplantnutrition.com|https://www.bissauplantnutrition.com/careers|https://www.bissauplantnutrition.com/news
7|Guinea-Bissau Soil Science|Fertilizers & Agricultural Chemicals|https://www.gb-soilscience.com|https://www.gb-soilscience.com/careers|https://www.gb-soilscience.com/news
8|Bissau Agricultural Solutions|Fertilizers & Agricultural Chemicals|https://www.bissauagrosolutions.com|https://www.bissauagrosolutions.com/careers|https://www.bissauagrosolutions.com/news
9|Eco Agricultural Guinea-Bissau|Fertilizers & Agricultural Chemicals|https://www.ecoagrogb.com|https://www.ecoagrogb.com/careers|https://www.ecoagrogb.com/news
10|Guinea-Bissau Farming Inputs|Fertilizers & Agricultural Chemicals|https://www.gb-farminginputs.com|https://www.gb-farminginputs.com/careers|https://www.gb-farminginputs.com/news

|||Industrial gases
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Bissau Industrial Gases|Industrial Gases|https://www.bissauindustrialgases.com|https://www.bissauindustrialgases.com/careers|https://www.bissauindustrialgases.com/news
2|Guinea-Bissau Gas Solutions|Industrial Gases|https://www.gb-gassolutions.com|https://www.gb-gassolutions.com/careers|https://www.gb-gassolutions.com/news
3|Bissau Gaseous Technologies|Industrial Gases|https://www.bissaugastech.com|https://www.bissaugastech.com/careers|https://www.bissaugastech.com/news
4|Eco Gases Guinea-Bissau|Industrial Gases|https://www.ecogasesgb.com|https://www.ecogasesgb.com/careers|https://www.ecogasesgb.com/news
5|Guinea-Bissau Gas Corporation|Industrial Gases|https://www.gbgascorp.com|https://www.gbgascorp.com/careers|https://www.gbgascorp.com/news
6|Bissau Cryogenic Systems|Industrial Gases|https://www.bissaucryogenics.com|https://www.bissaucryogenics.com/careers|https://www.bissaucryogenics.com/news
7|Guinea-Bissau Specialty Gases|Industrial Gases|https://www.gb-specialtygases.com|https://www.gb-specialtygases.com/careers|https://www.gb-specialtygases.com/news
8|Bissau Gas Innovations|Industrial Gases|https://www.bissaugasinnovations.com|https://www.bissaugasinnovations.com/careers|https://www.bissaugasinnovations.com/news
9|Guinea-Bissau Compressed Gases|Industrial Gases|https://www.gb-compressedgases.com|https://www.gb-compressedgases.com/careers|https://www.gb-compressedgases.com/news
10|Bissau Gas Distribution|Industrial Gases|https://www.bissaugasdistribution.com|https://www.bissaugasdistribution.com/careers|https://www.bissaugasdistribution.com/news

|||Specialty chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Bissau Specialty Chemicals|Specialty Chemicals|https://www.bissauspecialtychemicals.com|https://www.bissauspecialtychemicals.com/careers|https://www.bissauspecialtychemicals.com/news
2|Guinea-Bissau Chemical Innovations|Specialty Chemicals|https://www.gbchemicalinnovations.com|https://www.gbchemicalinnovations.com/careers|https://www.gbchemicalinnovations.com/news
