|||Guinea
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Kosmos Energy|Oil & Gas Drilling|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
4|Seplat Energy|Oil & Gas Drilling|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
5|Addax Petroleum|Oil & Gas Drilling|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
6|Ophir Energy|Oil & Gas Drilling|https://www.ophirenergy.com|https://www.ophirenergy.com/careers|https://www.ophirenergy.com/news
7|Cairn Energy|Oil & Gas Drilling|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
8|Eland Oil & Gas|Oil & Gas Drilling|https://www.eland-oil.co.uk|https://www.eland-oil.co.uk/careers|https://www.eland-oil.co.uk/news
9|Petrobras|Oil & Gas Drilling|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
10|Anadarko Petroleum|Oil & Gas Drilling|https://www.anadarko.com|https://www.anadarko.com/careers|https://www.anadarko.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
7|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
10|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc-tech.com|https://www.fmc-tech.com/careers|https://www.fmc-tech.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
4|Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
5|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enit/careers|https://www.eni.com/enit/media
7|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
8|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/en/news
9|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
10|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
4|Seplat Energy|Oil & Gas Exploration & Production|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
5|Addax Petroleum|Oil & Gas Exploration & Production|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
6|Ophir Energy|Oil & Gas Exploration & Production|https://www.ophirenergy.com|https://www.ophirenergy.com/careers|https://www.ophirenergy.com/news
7|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
8|Eland Oil & Gas|Oil & Gas Exploration & Production|https://www.eland-oil.co.uk|https://www.eland-oil.co.uk/careers|https://www.eland-oil.co.uk/news
9|Petrobras|Oil & Gas Exploration & Production|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
10|Anadarko Petroleum|Oil & Gas Exploration & Production|https://www.anadarko.com|https://www.anadarko.com/careers|https://www.anadarko.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
3|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
4|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|ExxonMobil|Oil & Gas Refining & Marketing|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
6|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
7|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/en/careers|https://www.valero.com/en/news
8|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
9|PBF Energy|Oil & Gas Refining & Marketing|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Shell|Oil & Gas Storage & Transportation|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
3|Chevron|Oil & Gas Storage & Transportation|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
4|ExxonMobil|Oil & Gas Storage & Transportation|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
5|BP|Oil & Gas Storage & Transportation|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
6|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
7|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
8|Williams Companies|Oil & Gas Storage & Transportation|https://www.williams.com|https://www.williams.com/careers|https://www.williams.com/news
9|Magellan Midstream Partners|Oil & Gas Storage & Transportation|https://www.magellanmidstream.com|https://www.magellanmidstream.com/careers|https://www.magellanmidstream.com/news
10|Plains All American|Oil & Gas Storage & Transportation|https://www.plainsallamerican.com|https://www.plainsallamerican.com/careers|https://www.plainsallamerican.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Compagnie des Bauxites de Guinée|Coal & Consumable Fuels|https://www.cbg-guinee.com|https://www.cbg-guinee.com/careers|https://www.cbg-guinee.com/news
2|Guinea Alumina Corporation|Coal & Consumable Fuels|https://www.guineaaluminacorp.com|https://www.guineaaluminacorp.com/careers|https://www.guineaaluminacorp.com/news
3|Société Minière de Boké|Coal & Consumable Fuels|https://www.smb-guinee.com|https://www.smb-guinee.com/careers|https://www.smb-guinee.com/news
4|Société des Mines de Fer de Guinée|Coal & Consumable Fuels|https://www.smfg-guinee.com|https://www.smfg-guinee.com/careers|https://www.smfg-guinee.com/news
5|Société de Développement des Mines de Guinée|Coal & Consumable Fuels|https://www.sdmguinee.com|https://www.sdmguinee.com/careers|https://www.sdmguinee.com/news
6|Compagnie Minière de Guinée|Coal & Consumable Fuels|https://www.cmg-guinee.com|https://www.cmg-guinee.com/careers|https://www.cmg-guinee.com/news
7|Guinée Mining Company|Coal & Consumable Fuels|https://www.guinneemining.com|https://www.guinneemining.com/careers|https://www.guinneemining.com/news
8|Société des Mines de Fer de Guinée|Coal & Consumable Fuels|https://www.smfg-guinee.com|https://www.smfg-guinee.com/careers|https://www.smfg-guinee.com/news
9|Bauxite Mining Company|Coal & Consumable Fuels|https://www.bauxiteguinee.com|https://www.bauxiteguinee.com/careers|https://www.bauxiteguinee.com/news
10|Société de Bauxite de Guinée|Coal & Consumable Fuels|https://www.bauxiteguinee.com|https://www.bauxiteguinee.com/careers|https://www.bauxiteguinee.com/news

|||Materials sector
|||Chemicals
