|||Ivory Coast
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|ENI|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media
3|Petroci|Oil & Gas Drilling|https://www.petroci.ci|https://www.petroci.ci/carrieres|https://www.petroci.ci/actualites
4|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
5|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
6|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news
7|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
8|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
9|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news
10|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en-US/careers|https://www.halliburton.com/en-US/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
9|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
10|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc-technologies.com|https://www.fmc-technologies.com/careers|https://www.fmc-technologies.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
4|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/careers.html|https://www.bp.com/en/global/news.html
5|ENI|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media
6|Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
7|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Sasol|Integrated Oil & Gas|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/media
10|CNOOC|Integrated Oil & Gas|http://www.cnooc.com.cn|http://www.cnooc.com.cn/english/careers|http://www.cnooc.com.cn/english/news

|||Oil & gas exploration & production
