|||Jamaica
|||Energy Sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrojam Limited|Oil & Gas Drilling|https://www.petrojam.com|https://www.petrojam.com/careers|https://www.petrojam.com/news
2|Jamaica Energy Partners|Oil & Gas Drilling|https://www.jamaicaenergypartners.com|https://www.jamaicaenergypartners.com/careers|https://www.jamaicaenergypartners.com/news
3|WIOC|Oil & Gas Drilling|https://www.wioc.com|https://www.wioc.com/careers|https://www.wioc.com/news
4|Essar Oil|Oil & Gas Drilling|https://www.essar.com|https://www.essar.com/careers|https://www.essar.com/news
5|Jamaica Public Service|Oil & Gas Drilling|https://www.jpsco.com|https://www.jpsco.com/careers|https://www.jpsco.com/news
6|Alpart|Oil & Gas Drilling|https://www.alpart.com|https://www.alpart.com/careers|https://www.alpart.com/news
7|Caribbean LNG|Oil & Gas Drilling|https://www.caribbeanlng.com|https://www.caribbeanlng.com/careers|https://www.caribbeanlng.com/news
8|Jamaica Gas|Oil & Gas Drilling|https://www.jamaicagas.com|https://www.jamaicagas.com/careers|https://www.jamaicagas.com/news
9|SHELL Jamaica|Oil & Gas Drilling|https://www.shell.com.jm|https://www.shell.com.jm/careers|https://www.shell.com.jm/news
10|BP Jamaica|Oil & Gas Drilling|https://www.bp.com/jamaica|https://www.bp.com/jamaica/careers|https://www.bp.com/jamaica/news
|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger Jamaica|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton Jamaica|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
8|Sperry Drilling Services|Oil & Gas Equipment & Services|https://www.sperrydrilling.com|https://www.sperrydrilling.com/careers|https://www.sperrydrilling.com/news
9|Cameron International|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrojam Limited|Integrated Oil & Gas|https://www.petrojam.com|https://www.petrojam.com/careers|https://www.petrojam.com/news
2|Jamaica Energy Partners|Integrated Oil & Gas|https://www.jamaicaenergypartners.com|https://www.jamaicaenergypartners.com/careers|https://www.jamaicaenergypartners.com/news
3|SHELL Jamaica|Integrated Oil & Gas|https://www.shell.com.jm|https://www.shell.com.jm/careers|https://www.shell.com.jm/news
4|BP Jamaica|Integrated Oil & Gas|https://www.bp.com/jamaica|https://www.bp.com/jamaica/careers|https://www.bp.com/jamaica/news
5|Texaco Jamaica|Integrated Oil & Gas|https://www.texaco.com.jm|https://www.texaco.com.jm/careers|https://www.texaco.com.jm/news
6|Total Jamaica|Integrated Oil & Gas|https://www.total.com.jm|https://www.total.com.jm/careers|https://www.total.com.jm/news
7|Jamaica Gas|Integrated Oil & Gas|https://www.jamaicagas.com|https://www.jamaicagas.com/careers|https://www.jamaicagas.com/news
8|WIOC|Integrated Oil & Gas|https://www.wioc.com|https://www.wioc.com/careers|https://www.wioc.com/news
9|Alpart|Integrated Oil & Gas|https://www.alpart.com|https://www.alpart.com/careers|https://www.alpart.com/news
10|Caribbean LNG|Integrated Oil & Gas|https://www.caribbeanlng.com|https://www.caribbeanlng.com/careers|https://www.caribbeanlng.com/news
|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrojam Limited|Oil & Gas Exploration & Production|https://www.petrojam.com|https://www.petrojam.com/careers|https://www.petrojam.com/news
2|Jamaica Oil & Gas|Oil & Gas Exploration & Production|https://www.jamaicaoilandgas.com|https://www.jamaicaoilandgas.com/careers|https://www.jamaicaoilandgas.com/news
3|BHP Billiton|Oil & Gas Exploration & Production|https://www.bhp.com|https://www.bhp.com/careers|https://www.bhp.com/news
4|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
