|||Lesotho
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Lesotho Oil Drillers|Oil & Gas Drilling|https://www.lesothooildrillers.co.ls|https://www.lesothooildrillers.co.ls/careers|https://www.lesothooildrillers.co.ls/news
2|Basotho Energy Solutions|Oil & Gas Drilling|https://www.basothoenergysolutions.co.ls|https://www.basothoenergysolutions.co.ls/careers|https://www.basothoenergysolutions.co.ls/news
3|Lesotho Exploration Co.|Oil & Gas Drilling|https://www.lesothoexploration.co.ls|https://www.lesothoexploration.co.ls/careers|https://www.lesothoexploration.co.ls/news
4|Mountain Oil Services|Oil & Gas Drilling|https://www.mountainoilservices.co.ls|https://www.mountainoilservices.co.ls/careers|https://www.mountainoilservices.co.ls/news
5|Lesotho Petroleum Corp.|Oil & Gas Drilling|https://www.lesothopetroleum.co.ls|https://www.lesothopetroleum.co.ls/careers|https://www.lesothopetroleum.co.ls/news
6|DrillTech Lesotho|Oil & Gas Drilling|https://www.drilltechlesotho.co.ls|https://www.drilltechlesotho.co.ls/careers|https://www.drilltechlesotho.co.ls/news
7|Lesotho Oil & Gas Ltd.|Oil & Gas Drilling|https://www.lesothooilandgas.co.ls|https://www.lesothooilandgas.co.ls/careers|https://www.lesothooilandgas.co.ls/news
8|Basotho Drilling Experts|Oil & Gas Drilling|https://www.basothodrillingexperts.co.ls|https://www.basothodrillingexperts.co.ls/careers|https://www.basothodrillingexperts.co.ls/news
9|Lesotho Energy Ventures|Oil & Gas Drilling|https://www.lesothoenergyventures.co.ls|https://www.lesothoenergyventures.co.ls/careers|https://www.lesothoenergyventures.co.ls/news
10|Highland Oil Services|Oil & Gas Drilling|https://www.highlandoilservices.co.ls|https://www.highlandoilservices.co.ls/careers|https://www.highlandoilservices.co.ls/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Lesotho Oilfield Services|Oil & Gas Equipment & Services|https://www.lesothooilfieldservices.co.ls|https://www.lesothooilfieldservices.co.ls/careers|https://www.lesothooilfieldservices.co.ls/news
2|Basotho Energy Equipment|Oil & Gas Equipment & Services|https://www.basothoenergyequipment.co.ls|https://www.basothoenergyequipment.co.ls/careers|https://www.basothoenergyequipment.co.ls/news
3|Lesotho Drilling Supplies|Oil & Gas Equipment & Services|https://www.lesothodrillingsupplies.co.ls|https://www.lesothodrillingsupplies.co.ls/careers|https://www.lesothodrillingsupplies.co.ls/news
4|Mountain Oil Equipment|Oil & Gas Equipment & Services|https://www.mountainoilequipment.co.ls|https://www.mountainoilequipment.co.ls/careers|https://www.mountainoilequipment.co.ls/news
