|||Madagascar
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Madagascar Oil|Oil & Gas Drilling|https://www.madagascaroil.com|https://www.madagascaroil.com/careers|https://www.madagascaroil.com/news
2|Total Madagascar|Oil & Gas Drilling|https://www.total.com|https://www.total.com/careers|https://www.total.com/news
3|Perenco|Oil & Gas Drilling|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Eni Madagascar|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media/news.html
5|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/media
6|Société Générale de Madagascar|Oil & Gas Drilling|https://www.sg-madagascar.com|https://www.sg-madagascar.com/careers|https://www.sg-madagascar.com/news
7|Madagascar Petroleum|Oil & Gas Drilling|https://www.madagascarpetroleum.com|https://www.madagascarpetroleum.com/careers|https://www.madagascarpetroleum.com/news
8|Kuwait Foreign Petroleum Exploration Company|Oil & Gas Drilling|https://www.kufpec.com|https://www.kufpec.com/careers|https://www.kufpec.com/news
9|Oryx Energies|Oil & Gas Drilling|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
10|Afreximbank|Oil & Gas Drilling|https://www.afreximbank.com|https://www.afreximbank.com/careers|https://www.afreximbank.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
2|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
8|CGG|Oil & Gas Equipment & Services|https://www.cgg.com|https://www.cgg.com/careers|https://www.cgg.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Total Madagascar|Integrated Oil & Gas|https://www.total.com|https://www.total.com/careers|https://www.total.com/news
2|Madagascar Oil|Integrated Oil & Gas|https://www.madagascaroil.com|https://www.madagascaroil.com/careers|https://www.madagascaroil.com/news
3|Perenco|Integrated Oil & Gas|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Eni Madagascar|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media/news.html
5|Tullow Oil|Integrated Oil & Gas|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/media
6|Société Générale de Madagascar|Integrated Oil & Gas|https://www.sg-madagascar.com|https://www.sg-madagascar.com/careers|https://www.sg-madagascar.com/news
7|Kuwait Foreign Petroleum Exploration Company|Integrated Oil & Gas|https://www.kufpec.com|https://www.kufpec.com/careers|https://www.kufpec.com/news
8|Oryx Energies|Integrated Oil & Gas|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
9|Madagascar Petroleum|Integrated Oil & Gas|https://www.madagascarpetroleum.com|https://www.madagascarpetroleum.com/careers|https://www.madagascarpetroleum.com/news
10|Afreximbank|Integrated Oil & Gas|https://www.afreximbank.com|https://www.afreximbank.com/careers|https://www.afreximbank.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Madagascar Oil|Oil & Gas Exploration & Production|https://www.madagascaroil.com|https://www.madagascaroil.com/careers|https://www.madagascaroil.com/news
2|Total Madagascar|Oil & Gas Exploration & Production|https://www.total.com|https://www.total.com/careers|https://www.total.com/news
3|Perenco|Oil & Gas Exploration & Production|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Eni Madagascar|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media/news.html
5|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/media
6|Société Générale de Madagascar|Oil & Gas Exploration & Production|https://www.sg-madagascar.com|https://www.sg-madagascar.com/careers|https://www.sg-madagascar.com/news
7|Kuwait Foreign Petroleum Exploration Company|Oil & Gas Exploration & Production|https://www.kufpec.com|https://www.kufpec.com/careers|https://www.kufpec.com/news
8|Oryx Energies|Oil & Gas Exploration & Production|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
