|||Malawi
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Malawi Oil Company|Oil & Gas Drilling|https://www.malawioil.com|https://www.malawioil.com/careers|https://www.malawioil.com/news
2|Petroleum Exploration Malawi|Oil & Gas Drilling|https://www.pemalawi.com|https://www.pemalawi.com/careers|https://www.pemalawi.com/news
3|Mota-Engil Malawi|Oil & Gas Drilling|https://www.mota-engil.com/mw|https://www.mota-engil.com/mw/careers|https://www.mota-engil.com/mw/news
4|Kuwait Oil Company Malawi|Oil & Gas Drilling|https://www.koc.com|https://www.koc.com/careers|https://www.koc.com/news
5|TotalEnergies Malawi|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
6|Halliburton Malawi|Oil & Gas Drilling|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
7|Schlumberger Malawi|Oil & Gas Drilling|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
8|Baker Hughes Malawi|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
9|Weatherford Malawi|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
10|Cairn Energy Malawi|Oil & Gas Drilling|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Malawi Oilfield Services|Oil & Gas Equipment & Services|https://www.malawioilfieldservices.com|https://www.malawioilfieldservices.com/careers|https://www.malawioilfieldservices.com/news
2|Energia Malawi|Oil & Gas Equipment & Services|https://www.energia.com/mw|https://www.energia.com/mw/careers|https://www.energia.com/mw/news
3|Petroserv Malawi|Oil & Gas Equipment & Services|https://www.petroserv.com|https://www.petroserv.com/careers|https://www.petroserv.com/news
4|Malawi Drilling Services|Oil & Gas Equipment & Services|https://www.malawidrilling.com|https://www.malawidrilling.com/careers|https://www.malawidrilling.com/news
5|Rig Solutions Malawi|Oil & Gas Equipment & Services|https://www.rigsolutions.com|https://www.rigsolutions.com/careers|https://www.rigsolutions.com/news
6|Atlas Copco Malawi|Oil & Gas Equipment & Services|https://www.atlascopco.com|https://www.atlascopco.com/careers|https://www.atlascopco.com/news
7|Schlumberger Equipment Services|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
8|Halliburton Equipment & Services|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
9|Baker Hughes Services|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
10|Weatherford Equipment|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroleum Corporation of Malawi|Integrated Oil & Gas|https://www.pcmalawi.com|https://www.pcmalawi.com/careers|https://www.pcmalawi.com/news
2|TotalEnergies Malawi|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Engen Malawi|Integrated Oil & Gas|https://www.engen.co.za/mw|https://www.engen.co.za/mw/careers|https://www.engen.co.za/mw/news
4|Puma Energy Malawi|Integrated Oil & Gas|https://www.pumaenergy.com/mw|https://www.pumaenergy.com/mw/careers|https://www.pumaenergy.com/mw/news
5|Vivo Energy Malawi|Integrated Oil & Gas|https://www.vivoenergy.com/mw|https://www.vivoenergy.com/mw/careers|https://www.vivoenergy.com/mw/news
6|Glencore Malawi|Integrated Oil & Gas|https://www.glencore.com|https://www.glencore.com/careers|https://www.glencore.com/news
7|Trafigura Malawi|Integrated Oil & Gas|https://www.trafigura.com|https://www.trafigura.com/careers|https://www.trafigura.com/news
8|Mitsui Malawi|Integrated Oil & Gas|https://www.mitsui.com|https://www.mitsui.com/careers|https://www.mitsui.com/news
9|Galp Energia Malawi|Integrated Oil & Gas|https://www.galpenergia.com|https://www.galpenergia.com/careers|https://www.galpenergia.com/news
10|ENI Malawi|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Malawi Oil Exploration|Oil & Gas Exploration & Production|https://www.malawioilexploration.com|https://www.malawioilexploration.com/careers|https://www.malawioilexploration.com/news
2|Petroleum Exploration Malawi|Oil & Gas Exploration & Production|https://www.pemalawi.com|https://www.pemalawi.com/careers|https://www.pemalawi.com/news
3|Sasol Malawi|Oil & Gas Exploration & Production|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/news
4|Cairn Energy Malawi|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
5|Tullow Oil Malawi|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
6|TotalEnergies Malawi|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
7|ENI Malawi|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news
8|Noble Energy Malawi|Oil & Gas Exploration & Production|https://www.nobleenergy.com|https://www.nobleenergy.com/careers|https://www.nobleenergy.com/news
9|Anadarko Petroleum Malawi|Oil & Gas Exploration & Production|https://www.anadarko.com|https://www.anadarko.com/careers|https://www.anadarko.com/news
10|Hess Corporation Malawi|Oil & Gas Exploration & Production|https://www.hess.com|https://www.hess.com/careers|https://www.hess.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Malawi Refining Company|Oil & Gas Refining & Marketing|https://www.malawirefining.com|https://www.malawirefining.com/careers|https://www.malawirefining.com/news
2|TotalEnergies Malawi|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Engen Malawi|Oil & Gas Refining & Marketing|https://www.engen.co.za/mw|https://www.engen.co.za/mw/careers|https://www.engen.co.za/mw/news
4|Puma Energy Malawi|Oil & Gas Refining & Marketing|https://www.pumaenergy.com/mw|https://www.pumaenergy.com/mw/careers|https://www.pumaenergy.com/mw/news
5|Vivo Energy Malawi|Oil & Gas Refining & Marketing|https://www.vivoenergy.com/mw|https://www.vivoenergy.com/mw/careers|https://www.vivoenergy.com/mw/news
6|Glencore Malawi|Oil & Gas Refining & Marketing|https://www.glencore.com|https://www.glencore.com/careers|https://www.glencore.com/news
7|Trafigura Malawi|Oil & Gas Refining & Marketing|https://www.trafigura.com|https://www.trafigura.com/careers|https://www.trafigura.com/news
8|Mitsui Malawi|Oil & Gas Refining & Marketing|https://www.mitsui.com|https://www.mitsui.com/careers|https://www.mitsui.com/news
9|Chevron Malawi|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
10|Shell Malawi|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Malawi Oil Storage Company|Oil & Gas Storage & Transportation|https://www.malawioilstorage.com|https://www.malawioilstorage.com/careers|https://www.malawioilstorage.com/news
2|Petroleum Transport Malawi|Oil & Gas Storage & Transportation|https://www.petroleumtransportmw.com|https://www.petroleumtransportmw.com/careers|https://www.petroleumtransportmw.com/news
3|TotalEnergies Malawi|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
4|Engen Malawi|Oil & Gas Storage & Transportation|https://www.engen.co.za/mw|https://www.engen.co.za/mw/careers|https://www.engen.co.za/mw/news
5|Puma Energy Malawi|Oil & Gas Storage & Transportation|https://www.pumaenergy.com/mw|https://www.pumaenergy.com/mw/careers|https://www.pumaenergy.com/mw/news
