|||Mauritania
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrofac|Oil & Gas Drilling|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
2|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
3|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
4|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
5|EnscoRowan|Oil & Gas Drilling|https://www.enscorowan.com|https://www.enscorowan.com/careers|https://www.enscorowan.com/news
6|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
7|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
8|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news
9|KCA Deutag|Oil & Gas Drilling|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
10|Shelf Drilling|Oil & Gas Drilling|https://www.shelfdrilling.com|https://www.shelfdrilling.com/careers|https://www.shelfdrilling.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
8|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmctechnologies.com|https://www.fmctechnologies.com/careers|https://www.fmctechnologies.com/news
10|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
3|Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases.html
4|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enipersonale|https://www.eni.com/enitoday
7|Equinor|Integrated Oil & Gas|https://www.equinor.com|https://www.equinor.com/careers|https://www.equinor.com/news/archive
8|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
9|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/press-releases
10|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
2|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|Petronas|Oil & Gas Exploration & Production|https://www.petronas.com|https://www.petronas.com/careers|https://www.petronas.com/news
4|Sahara Energy|Oil & Gas Exploration & Production|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
5|Chariot Oil & Gas|Oil & Gas Exploration & Production|https://www.chariotoilandgas.com|https://www.chariotoilandgas.com/careers|https://www.chariotoilandgas.com/news
6|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
7|Seplat Petroleum|Oil & Gas Exploration & Production|https://www.seplatpetroleum.com|https://www.seplatpetroleum.com/careers|https://www.seplatpetroleum.com/news
8|Addax Petroleum|Oil & Gas Exploration & Production|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
9|Eland Oil & Gas|Oil & Gas Exploration & Production|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
10|Anadarko Petroleum|Oil & Gas Exploration & Production|https://www.anadarko.com|https://www.anadarko.com/careers|https://www.anadarko.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
3|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases.html
4|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|ExxonMobil|Oil & Gas Refining & Marketing|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
6|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/press-releases
7|Petrobras|Oil & Gas Refining & Marketing|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|Suncor Energy|Oil & Gas Refining & Marketing|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
9|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/en/careers|https://www.valero.com/en/news
10|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|BP|Oil & Gas Storage & Transportation|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
3|Shell|Oil & Gas Storage & Transportation|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases.html
4|Chevron|Oil & Gas Storage & Transportation|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
6|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
7|TC Energy|Oil & Gas Storage & Transportation|https://www.tcenergy.com|https://www.tcenergy.com/careers|https://www.tcenergy.com/news
8|Williams Companies|Oil & Gas Storage & Transportation|https://www.williams.com|https://www.williams.com/careers|https://www.williams.com/news
9|Magellan Midstream Partners|Oil & Gas Storage & Transportation|https://www.magellanlp.com|https://www.magellanlp.com/careers|https://www.magellanlp.com/news
10|Plains All American|Oil & Gas Storage & Transportation|https://www.plainsallamerican.com|https://www.plainsallamerican.com/careers|https://www.plainsallamerican.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Nationale Industrielle et Minière (SNIM)|Coal & Consumable Fuels|https://www.snim.mr|https://www.snim.mr/en/careers|https://www.snim.mr/en/news
2|Mauritanian Mining Company (MCM)|Coal & Consumable Fuels|https://www.mcm.mr|https://www.mcm.mr/careers|https://www.mcm.mr/news
3|Glencore|Coal & Consumable Fuels|https://www.glencore.com|https://www.glencore.com/careers|https://www.glencore.com/news
4|BHP|Coal & Consumable Fuels|https://www.bhp.com|https://www.bhp.com/careers|https://www.bhp.com/news
5|Rio Tinto|Coal & Consumable Fuels|https://www.riotinto.com|https://www.riotinto.com/careers|https://www.riotinto.com/news
6|Anglo American|Coal & Consumable Fuels|https://www.angloamerican.com|https://www.angloamerican.com/careers|https://www.angloamerican.com/media
7|Yancoal|Coal & Consumable Fuels|https://www.yancoal.com.au|https://www.yancoal.com.au/careers|https://www.yancoal.com.au/media
8|Arch Resources|Coal & Consumable Fuels|https://www.archresources.com|https://www.archresources.com/careers|https://www.archresources.com/news
9|Peabody Energy|Coal & Consumable Fuels|https://www.peabodyenergy.com|https://www.peabodyenergy.com/careers|https://www.peabodyenergy.com/news
10|Alliance Resource Partners|Coal & Consumable Fuels|https://www.arlp.com|https://www.arlp.com/careers|https://www.arlp.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Mauritanienne des Engrais|Chemicals|https://www.sme.com|https://www.sme.com/careers|https://www.sme.com/news
2|Mauritanian Chemical Industries|Chemicals|https://www.mci.com|https://www.mci.com/careers|https://www.mci.com/news
3|Société de Produits Chimiques|Chemicals|https://www.spc.com|https://www.spc.com/careers|https://www.spc.com/news
4|Société Mauritanienne de Chimie|Chemicals|https://www.smc.com|https://www.smc.com/careers|https://www.smc.com/news
5|Mauritania Fertilizers|Chemicals|https://www.mauritaniafertilizers.com|https://www.mauritaniafertilizers.com/careers|https://www.mauritaniafertilizers.com/news
6|Société de Fabrication de Produits Chimiques|Chemicals|https://www.sfpc.com|https://www.sfpc.com/careers|https://www.sfpc.com/news
7|Chimie Mauritanienne|Chemicals|https://www.chimiemauritanienne.com|https://www.chimiemauritanienne.com/careers|https://www.chimiemauritanienne.com/news
8|Société des Engrais et Produits Chimiques|Chemicals|https://www.sepc.com|https://www.sepc.com/careers|https://www.sepc.com/news
9|Mauritanian Specialty Chemicals|Chemicals|https://www.msc.com|https://www.msc.com/careers|https://www.msc.com/news
10|Société des Produits Chimiques de Mauritanie|Chemicals|https://www.spcm.com|https://www.spcm.com/careers|https://www.spcm.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Mauritanienne des Produits de Base|Commodity Chemicals|https://www.smpb.com|https://www.smpb.com/careers|https://www.smpb.com/news
2|Mauritania Commodity Chemicals|Commodity Chemicals|https://www.mcc.com|https://www.mcc.com/careers|https://www.mcc.com/news
3|Société de Chimie de Mauritanie|Commodity Chemicals|https://www.scm.com|https://www.scm.com/careers|https://www.scm.com/news
4|Mauritanian Basic Chemicals|Commodity Chemicals|https://www.mbc.com|https://www.mbc.com/careers|https://www.mbc.com/news
5|Société des Produits Chimiques de Base|Commodity Chemicals|https://www.spcc.com|https://www.spcc.com/careers|https://www.spcc.com/news
6|Chimie et Commodités Mauritaniennes|Commodity Chemicals|https://www.cmc.com|https://www.cmc.com/careers|https://www.cmc.com/news
7|Société Mauritanienne des Engrais et Chimie|Commodity Chemicals|https://www.smec.com|https://www.smec.com/careers|https://www.smec.com/news
8|Mauritanian Chemical Solutions|Commodity Chemicals|https://www.mcs.com|https://www.mcs.com/careers|https://www.mcs.com/news
9|Société des Commodités Chimiques|Commodity Chemicals|https://www.scc.com|https://www.scc.com/careers|https://www.scc.com/news
10|Société de Fabrication de Produits de Base|Commodity Chemicals|https://www.sfpb.com|https://www.sfpb.com/careers|https://www.sfpb.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Mauritanienne de Chimie Diversifiée|Diversified Chemicals|https://www.smcd.com|https://www.smcd.com/careers|https://www.smcd.com/news
2|Mauritania Diversified Chemicals|Diversified Chemicals|https://www.mdc.com|https://www.mdc.com/careers|https://www.mdc.com/news
3|Société de Produits Chimiques Diversifiés|Diversified Chemicals|https://www.spcd.com|https://www.spcd.com/careers|https://www.spcd.com/news
4|Chimie Diversifiée de Mauritanie|Diversified Chemicals|https://www.cdm.com|https://www.cdm.com/careers|https://www.cdm.com/news
5|Société Mauritanienne des Solutions Chimiques|Diversified Chemicals|https://www.smsc.com|https://www.smsc.com/careers|https://www.smsc.com/news
6|Mauritanian Chemical Innovations|Diversified Chemicals|https://www.mci.com|https://www.mci.com/careers|https://www.mci.com/news
7|Société des Chimies Diversifiées|Diversified Chemicals|https://www.scd.com|https://www.scd.com/careers|https://www.scd.com/news
8|Société de Fabrication de Chimie Diversifiée|Diversified Chemicals|https://www.sfcd.com|https://www.sfcd.com/careers|https://www.sfcd.com/news
9|Mauritania Specialty and Diversified Chemicals|Diversified Chemicals|https://www.msdc.com|https://www.msdc.com/careers|https://www.msdc.com/news
10|Société des Produits Chimiques et Diversifiés|Diversified Chemicals|https://www.spqd.com|https://www.spqd.com/careers|https://www.spqd.com/news

|||Fertilizers & agricultural chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Mauritanienne des Engrais|Fertilizers & Agricultural Chemicals|https://www.sme.com|https://www.sme.com/careers|https://www.sme.com/news
2|Mauritanian Fertilizer Company|Fertilizers & Agricultural Chemicals|https://www.mfc.com|https://www.mfc.com/careers|https://www.mfc.com/news
3|Société de Produits Agricoles|Fertilizers & Agricultural Chemicals|https://www.spa.com|https://www.spa.com/careers|https://www.spa.com/news
4|Chimie et Fertilizers Mauritanie|Fertilizers & Agricultural Chemicals|https://www.cfm.com|https://www.cfm.com/careers|https://www.cfm.com/news
5|Société des Engrais de Mauritanie|Fertilizers & Agricultural Chemicals|https://www.sem.com|https://www.sem.com/careers|https://www.sem.com/news
6|Mauritania Agricultural Chemicals|Fertilizers & Agricultural Chemicals|https://www.mac.com|https://www.mac.com/careers|https://www.mac.com/news
7|Société de Fertilisation et Chimie|Fertilizers & Agricultural Chemicals|https://www.sfc.com|https://www.sfc.com/careers|https://www.sfc.com/news
