|||Mauritius
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Mauritius Oil & Gas|Oil & Gas Drilling|https://www.mauritiusoilandgas.com|https://www.mauritiusoilandgas.com/careers|https://www.mauritiusoilandgas.com/news
2|Oceanic Drillers|Oil & Gas Drilling|https://www.oceanicdrillers.mu|https://www.oceanicdrillers.mu/careers|https://www.oceanicdrillers.mu/news
3|DrillTech Mauritius|Oil & Gas Drilling|https://www.drilltech.mu|https://www.drilltech.mu/careers|https://www.drilltech.mu/news
4|PetroMauritius|Oil & Gas Drilling|https://www.petromauritius.com|https://www.petromauritius.com/careers|https://www.petromauritius.com/news
5|Mauritius Offshore Services|Oil & Gas Drilling|https://www.mauritiusoffshore.com|https://www.mauritiusoffshore.com/careers|https://www.mauritiusoffshore.com/news
6|Energy Drillers|Oil & Gas Drilling|https://www.energy-drillers.mu|https://www.energy-drillers.mu/careers|https://www.energy-drillers.mu/news
7|Blue Ocean Drilling|Oil & Gas Drilling|https://www.blueoceandrilling.mu|https://www.blueoceandrilling.mu/careers|https://www.blueoceandrilling.mu/news
8|Mauritius Energy Solutions|Oil & Gas Drilling|https://www.mauritiusenergysolutions.com|https://www.mauritiusenergysolutions.com/careers|https://www.mauritiusenergysolutions.com/news
9|GreenWave Drilling|Oil & Gas Drilling|https://www.greenwavedrilling.mu|https://www.greenwavedrilling.mu/careers|https://www.greenwavedrilling.mu/news
10|Island Energy Services|Oil & Gas Drilling|https://www.islandenergyservices.mu|https://www.islandenergyservices.mu/careers|https://www.islandenergyservices.mu/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Mauritius Oilfield Services|Oil & Gas Equipment & Services|https://www.mauritiusoilfieldservices.com|https://www.mauritiusoilfieldservices.com/careers|https://www.mauritiusoilfieldservices.com/news
2|Energy Equipment Mauritius|Oil & Gas Equipment & Services|https://www.energyequipmentmu.com|https://www.energyequipmentmu.com/careers|https://www.energyequipmentmu.com/news
3|DrillTech Equipment|Oil & Gas Equipment & Services|https://www.drilltechequipment.mu|https://www.drilltechequipment.mu/careers|https://www.drilltechequipment.mu/news
4|Petro Services Mauritius|Oil & Gas Equipment & Services|https://www.petroservices.mu|https://www.petroservices.mu/careers|https://www.petroservices.mu/news
5|Mauritius Rig Solutions|Oil & Gas Equipment & Services|https://www.mauritiusrigsolutions.com|https://www.mauritiusrigsolutions.com/careers|https://www.mauritiusrigsolutions.com/news
6|Offshore Equipment Co.|Oil & Gas Equipment & Services|https://www.offshoreequipment.mu|https://www.offshoreequipment.mu/careers|https://www.offshoreequipment.mu/news
