|||Namibia
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namcor|Oil & Gas Drilling|https://www.namcor.com.na|https://www.namcor.com.na/careers|https://www.namcor.com.na/news
2|Seaflower Pelagic|Oil & Gas Drilling|https://www.seaflower.com|https://www.seaflower.com/careers|https://www.seaflower.com/news
3|Canyon Offshore|Oil & Gas Drilling|https://www.canyonoffshore.com|https://www.canyonoffshore.com/careers|https://www.canyonoffshore.com/news
4|De Beers Marine Namibia|Oil & Gas Drilling|https://www.debeersgroup.com|https://www.debeersgroup.com/careers|https://www.debeersgroup.com/news
5|Husky Energy|Oil & Gas Drilling|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
6|Petrofac|Oil & Gas Drilling|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
7|Sasol|Oil & Gas Drilling|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/news
8|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
9|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
10|Eni|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|Oceaneering|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
10|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namcor|Integrated Oil & Gas|https://www.namcor.com.na|https://www.namcor.com.na/careers|https://www.namcor.com.na/news
2|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Shell Namibia|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
4|BP Namibia|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/news
5|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news
7|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com|https://www.exxonmobil.com/careers|https://www.exxonmobil.com/news
8|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/careers|https://www.petrobras.com.br/news
9|Sasol|Integrated Oil & Gas|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/news
10|Husky Energy|Integrated Oil & Gas|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Chariot Oil & Gas|Oil & Gas Exploration & Production|https://www.chariotoilandgas.com|https://www.chariotoilandgas.com/careers|https://www.chariotoilandgas.com/news
2|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|Eco Atlantic Oil & Gas|Oil & Gas Exploration & Production|https://www.ecooilandgas.com|https://www.ecooilandgas.com/careers|https://www.ecooilandgas.com/news
4|Tower Resources|Oil & Gas Exploration & Production|https://www.towerresources.plc.uk|https://www.towerresources.plc.uk/careers|https://www.towerresources.plc.uk/news
5|Galp Energia|Oil & Gas Exploration & Production|https://www.galp.com|https://www.galp.com/careers|https://www.galp.com/news
6|ENI Namibia|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news
7|TotalEnergies Namibia|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
8|Husky Energy Namibia|Oil & Gas Exploration & Production|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
9|Petrobras Namibia|Oil & Gas Exploration & Production|https://www.petrobras.com.br|https://www.petrobras.com.br/careers|https://www.petrobras.com.br/news
10|Sasol Namibia|Oil & Gas Exploration & Production|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namcor|Oil & Gas Refining & Marketing|https://www.namcor.com.na|https://www.namcor.com.na/careers|https://www.namcor.com.na/news
2|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Shell Namibia|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
4|BP Namibia|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/news
5|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
6|Engen|Oil & Gas Refining & Marketing|https://www.engen.co.za|https://www.engen.co.za/careers|https://www.engen.co.za/news
7|Sasol|Oil & Gas Refining & Marketing|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/news
8|Petrobras|Oil & Gas Refining & Marketing|https://www.petrobras.com.br|https://www.petrobras.com.br/careers|https://www.petrobras.com.br/news
9|Husky Energy|Oil & Gas Refining & Marketing|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
10|Oryx Energies|Oil & Gas Refining & Marketing|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namcor|Oil & Gas Storage & Transportation|https://www.namcor.com.na|https://www.namcor.com.na/careers|https://www.namcor.com.na/news
2|Engen|Oil & Gas Storage & Transportation|https://www.engen.co.za|https://www.engen.co.za/careers|https://www.engen.co.za/news
3|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
4|Shell Namibia|Oil & Gas Storage & Transportation|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
5|Oryx Energies|Oil & Gas Storage & Transportation|https://www.oryxenergies.com|https://www.oryxenergies.com/careers|https://www.oryxenergies.com/news
6|Petrofac|Oil & Gas Storage & Transportation|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
7|Sasol|Oil & Gas Storage & Transportation|https://www.sasol.com|https://www.sasol.com/careers|https://www.sasol.com/news
8|Husky Energy|Oil & Gas Storage & Transportation|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
9|Chevron|Oil & Gas Storage & Transportation|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
10|InterOil|Oil & Gas Storage & Transportation|https://www.interoil.com|https://www.interoil.com/careers|https://www.interoil.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namibia Coal Corporation|Coal & Consumable Fuels|https://www.namibiacoal.com|https://www.namibiacoal.com/careers|https://www.namibiacoal.com/news
2|Ohorongo Cement|Coal & Consumable Fuels|https://www.ohorongocement.com|https://www.ohorongocement.com/careers|https://www.ohorongocement.com/news
3|Kangongo Coal Mine|Coal & Consumable Fuels|https://www.kangongocoal.com|https://www.kangongocoal.com/careers|https://www.kangongocoal.com/news
4|Namibian Mining Corporation|Coal & Consumable Fuels|https://www.namibianmining.com|https://www.namibianmining.com/careers|https://www.namibianmining.com/news
5|Canyon Coal|Coal & Consumable Fuels|https://www.canyoncoal.com|https://www.canyoncoal.com/careers|https://www.canyoncoal.com/news
6|Sable Coal|Coal & Consumable Fuels|https://www.sablecoal.com|https://www.sablecoal.com/careers|https://www.sablecoal.com/news
7|Namibian Coal|Coal & Consumable Fuels|https://www.namibiancoal.com|https://www.namibiancoal.com/careers|https://www.namibiancoal.com/news
8|Botswana Coal|Coal & Consumable Fuels|https://www.botswanacoal.com|https://www.botswanacoal.com/careers|https://www.botswanacoal.com/news
9|African Energy Resources|Coal & Consumable Fuels|https://www.africanenergyresources.com|https://www.africanenergyresources.com/careers|https://www.africanenergyresources.com/news
10|Lemur Resources|Coal & Consumable Fuels|https://www.lemurresources.com|https://www.lemurresources.com/careers|https://www.lemurresources.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namibia Chemical Industries|Chemicals|https://www.namibiachemicals.com|https://www.namibiachemicals.com/careers|https://www.namibiachemicals.com/news
2|Ohorongo Cement|Cement|https://www.ohorongocement.com|https://www.ohorongocement.com/careers|https://www.ohorongocement.com/news
3|Namibian Fertilizer Company|Fertilizers|https://www.namibianfertilizer.com|https://www.namibianfertilizer.com/careers|https://www.namibianfertilizer.com/news
4|Windhoek Lager|Beverages|https://www.windhoeklager.com|https://www.windhoeklager.com/careers|https://www.windhoeklager.com/news
5|Namibia Polyurethane|Polyurethanes|https://www.namibiapolyurethane.com|https://www.namibiapolyurethane.com/careers|https://www.namibiapolyurethane.com/news
6|Namibia Plastics|Plastics|https://www.namibiaplastics.com|https://www.namibiaplastics.com/careers|https://www.namibiaplastics.com/news
7|Sasol Namibia|Chemicals|https://www.sasol.com/namibia|https://www.sasol.com/namibia/careers|https://www.sasol.com/namibia/news
8|Namibian Salt Company|Salt|https://www.namibiansalt.com|https://www.namibiansalt.com/careers|https://www.namibiansalt.com/news
9|African Dunes|Mining Chemicals|https://www.africandunes.com|https://www.africandunes.com/careers|https://www.africandunes.com/news
10|Namibia Oil Refinery|Oil & Gas|https://www.namibiaoil.com|https://www.namibiaoil.com/careers|https://www.namibiaoil.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namibia Chemical Industries|Commodity Chemicals|https://www.namibiachemicals.com|https://www.namibiachemicals.com/careers|https://www.namibiachemicals.com/news
2|Ohorongo Cement|Cement|https://www.ohorongocement.com|https://www.ohorongocement.com/careers|https://www.ohorongocement.com/news
3|Namibian Fertilizer Company|Fertilizers|https://www.namibianfertilizer.com|https://www.namibianfertilizer.com/careers|https://www.namibianfertilizer.com/news
4|Namibia Plastics|Plastics|https://www.namibiaplastics.com|https://www.namibiaplastics.com/careers|https://www.namibiaplastics.com/news
5|Namibian Salt Company|Salt|https://www.namibiansalt.com|https://www.namibiansalt.com/careers|https://www.namibiansalt.com/news
6|Sasol Namibia|Commodity Chemicals|https://www.sasol.com/namibia|https://www.sasol.com/namibia/careers|https://www.sasol.com/namibia/news
7|Namibia Oil Refinery|Oil & Gas|https://www.namibiaoil.com|https://www.namibiaoil.com/careers|https://www.namibiaoil.com/news
8|Namibia Polyurethane|Polyurethanes|https://www.namibiapolyurethane.com|https://www.namibiapolyurethane.com/careers|https://www.namibiapolyurethane.com/news
9|African Dunes|Mining Chemicals|https://www.africandunes.com|https://www.africandunes.com/careers|https://www.africandunes.com/news
10|Namibia Chemical Solutions|Chemical Solutions|https://www.namibiachemicalsolutions.com|https://www.namibiachemicalsolutions.com/careers|https://www.namibiachemicalsolutions.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namibia Chemical Industries|Diversified Chemicals|https://www.namibiachemicals.com|https://www.namibiachemicals.com/careers|https://www.namibiachemicals.com/news
2|Ohorongo Cement|Diversified Chemicals|https://www.ohorongocement.com|https://www.ohorongocement.com/careers|https://www.ohorongocement.com/news
3|Namibian Fertilizer Company|Diversified Chemicals|https://www.namibianfertilizer.com|https://www.namibianfertilizer.com/careers|https://www.namibianfertilizer.com/news
4|Sasol Namibia|Diversified Chemicals|https://www.sasol.com/namibia|https://www.sasol.com/namibia/careers|https://www.sasol.com/namibia/news
5|Namibia Plastics|Diversified Chemicals|https://www.namibiaplastics.com|https://www.namibiaplastics.com/careers|https://www.namibiaplastics.com/news
6|Namibian Salt Company|Diversified Chemicals|https://www.namibiansalt.com|https://www.namibiansalt.com/careers|https://www.namibiansalt.com/news
7|Namibia Oil Refinery|Diversified Chemicals|https://www.namibiaoil.com|https://www.namibiaoil.com/careers|https://www.namibiaoil.com/news
8|Namibia Polyurethane|Diversified Chemicals|https://www.namibiapolyurethane.com|https://www.namibiapolyurethane.com/careers|https://www.namibiapolyurethane.com/news
9|African Dunes|Diversified Chemicals|https://www.africandunes.com|https://www.africandunes.com/careers|https://www.africandunes.com/news
10|Namibia Chemical Solutions|Diversified Chemicals|https://www.namibiachemicalsolutions.com|https://www.namibiachemicalsolutions.com/careers|https://www.namibiachemicalsolutions.com/news

|||Fertilizers & agricultural chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Namibian Fertilizer Company|Fertilizers & Agricultural Chemicals|https://www.namibianfertilizer.com|https://www.namibianfertilizer.com/careers|https://www.namibianfertilizer.com/news
2|Ohorongo Cement|Fertilizers & Agricultural Chemicals|https://www.ohorongocement.com|https://www.ohorongocement.com/careers|https://www.ohorongocement.com/news
3|Agra Limited|Fertilizers & Agricultural Chemicals|https://www.agra.com.na|https://www.agra.com.na/careers|https://www.agra.com.na/news
4|Namibia Chemical Industries|Fertilizers & Agricultural Chemicals|https://www.namibiachemicals.com|https://www.namibiachemicals.com/careers|https://www.namibiachemicals.com/news
5|Sasol Namibia|Fertilizers & Agricultural Chemicals|https://www.sasol.com/namibia|https://www.sasol.com/namibia/careers|https://www.sasol.com/namibia/news
6|Namibia Seed Company|Fertilizers & Agricultural Chemicals|https://www.namibiaseed.com|https://www.namibiaseed.com/careers|https://www.namibiaseed.com/news
7|Namibia Agro|Fertilizers & Agricultural Chemicals|https://www.namibiaagro.com|https://www.namibiaagro.com/careers|https://www.namibiaagro.com/news
8|Kalahari Fertilizers|Fertilizers & Agricultural Chemicals|https://www.kalaharifertilizers.com|https://www.kalaharifertilizers.com/careers|https://www.kalaharifertilizers.com/news
9|Agri Namibia|Fertilizers & Agricultural Chemicals|https://www.agrinamibia.com|https://www.agrinamibia.com/careers|https://www.agrinamibia.com/news
10|Namibia Organic Fertilizers|Fertilizers & Agricultural Chemicals|https://www.namibiaorganicfertilizers.com|https://www.namibiaorganicfertilizers.com/careers|https://www.namibiaorganicfertilizers.com/news

|||Industrial gases
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Air Products Namibia|Industrial Gases|https://www.airproducts.com/namibia|https://www.airproducts.com/namibia/careers|https://www.airproducts.com/namibia/news
2|Boc Gases Namibia|Industrial Gases|https://www.boc.com.na|https://www.boc.com.na/careers|https://www.boc.com.na/news
3|Namibia Industrial Gases|Industrial Gases|https://www.namibiagases.com|https://www.namibiagases.com/careers|https://www.namibiagases.com/news
4|Gaseous Solutions|Industrial Gases|https://www.gaseoussolutions.com|https://www.gaseoussolutions.com/careers|https://www.gaseoussolutions.com/news
5|Oxygen Namibia|Industrial Gases|https://www.oxygennamibia.com|https://www.oxygennamibia.com/careers|https://www.oxygennamibia.com/news
6|Nambrew Gases|Industrial Gases|https://www.nambrew.com|https://www.nambrew.com/careers|https://www.nambrew.com/news
7|Namib Gas|Industrial Gases|https://www.namibgas.com|https://www.namibgas.com/careers|https://www.namibgas.com/news
8|Gaseous Technologies|Industrial Gases|https://www.gaseoustechnologies.com|https://www.gaseoustechnologies.com/careers|https://www.gaseoustechnologies.com/news
9|Industrial Gas Solutions|Industrial Gases|https://www.industrialgassolutions.com|https://www.industrialgassolutions.com/careers|https://www.industrialgassolutions.com/news
10|Namibia Cryogenics|Industrial Gases|https://www.namibiacryogenics.com|https://www.namibiacryogenics.com/careers|https://www.namibiacryogenics.com/news

|||Specialty chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
