|||Niger
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Seplat Petroleum|Oil & Gas Drilling|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
2|Oando PLC|Oil & Gas Drilling|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
3|CNL Petroleum|Oil & Gas Drilling|https://cnlpetroleum.com|https://cnlpetroleum.com/careers|https://cnlpetroleum.com/news
4|Niger Delta Exploration and Production|Oil & Gas Drilling|https://ndepplc.com|https://ndepplc.com/careers|https://ndepplc.com/news
5|Addax Petroleum|Oil & Gas Drilling|https://addaxpetroleum.com|https://addaxpetroleum.com/careers|https://addaxpetroleum.com/news
6|Afren|Oil & Gas Drilling|https://afren.com|https://afren.com/careers|https://afren.com/news
7|Eland Oil & Gas|Oil & Gas Drilling|https://elandog.com|https://elandog.com/careers|https://elandog.com/news
8|Heritage Oil|Oil & Gas Drilling|https://heritageoilplc.com|https://heritageoilplc.com/careers|https://heritageoilplc.com/news
9|Petrobras Nigeria|Oil & Gas Drilling|https://petrobras.com.ng|https://petrobras.com.ng/careers|https://petrobras.com.ng/news
10|TotalEnergies Nigeria|Oil & Gas Drilling|https://totalenergies.com.ng|https://totalenergies.com.ng/careers|https://totalenergies.com.ng/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron Nigeria|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
