|||Rwanda
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Rwanda Energy Group|Oil & Gas Drilling|https://www.reg.rw|https://www.reg.rw/careers|https://www.reg.rw/news
2|PetroGas Rwanda|Oil & Gas Drilling|https://www.petrogasrw.com|https://www.petrogasrw.com/careers|https://www.petrogasrw.com/news
3|Rwanda Oil & Gas|Oil & Gas Drilling|https://www.rwandaoilgas.rw|https://www.rwandaoilgas.rw/careers|https://www.rwandaoilgas.rw/news
4|Kigali Drilling Services|Oil & Gas Drilling|https://www.kigalidrilling.rw|https://www.kigalidrilling.rw/careers|https://www.kigalidrilling.rw/news
5|Rwanda Petroleum|Oil & Gas Drilling|https://www.rwandapetroleum.rw|https://www.rwandapetroleum.rw/careers|https://www.rwandapetroleum.rw/news
6|Eco-Drill Rwanda|Oil & Gas Drilling|https://www.ecodrillrw.com|https://www.ecodrillrw.com/careers|https://www.ecodrillrw.com/news
7|African Drillers|Oil & Gas Drilling|https://www.africandrillers.rw|https://www.africandrillers.rw/careers|https://www.africandrillers.rw/news
8|Kivu Oil Exploration|Oil & Gas Drilling|https://www.kivuoil.rw|https://www.kivuoil.rw/careers|https://www.kivuoil.rw/news
9|Rwanda Gas Development|Oil & Gas Drilling|https://www.rwandagasdev.rw|https://www.rwandagasdev.rw/careers|https://www.rwandagasdev.rw/news
10|DrillTech Rwanda|Oil & Gas Drilling|https://www.drilltechrw.com|https://www.drilltechrw.com/careers|https://www.drilltechrw.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Rwanda Oil Services|Oil & Gas Equipment & Services|https://www.rwandaoilservices.rw|https://www.rwandaoilservices.rw/careers|https://www.rwandaoilservices.rw/news
2|Petroleum Equipment Rwanda|Oil & Gas Equipment & Services|https://www.petroleumequipment.rw|https://www.petroleumequipment.rw/careers|https://www.petroleumequipment.rw/news
