|||Senegal
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|PetroSenegal|Oil & Gas Drilling|https://www.petrosenegal.com|https://www.petrosenegal.com/careers|https://www.petrosenegal.com/news
2|Senegal Oil Services|Oil & Gas Drilling|https://www.senegaloilservices.com|https://www.senegaloilservices.com/careers|https://www.senegaloilservices.com/news
3|SeneDrill|Oil & Gas Drilling|https://www.senedrill.com|https://www.senedrill.com/careers|https://www.senedrill.com/news
4|African Drilling Co.|Oil & Gas Drilling|https://www.africandrilling.com|https://www.africandrilling.com/careers|https://www.africandrilling.com/news
5|Senegal Petroleum|Oil & Gas Drilling|https://www.senegalpetroleum.com|https://www.senegalpetroleum.com/careers|https://www.senegalpetroleum.com/news
6|DrillTech Senegal|Oil & Gas Drilling|https://www.drilltechsenegal.com|https://www.drilltechsenegal.com/careers|https://www.drilltechsenegal.com/news
7|Senegal Energy Solutions|Oil & Gas Drilling|https://www.senegalenergysolutions.com|https://www.senegalenergysolutions.com/careers|https://www.senegalenergysolutions.com/news
8|Offshore Drilling Senegal|Oil & Gas Drilling|https://www.offshoredrilling.sn|https://www.offshoredrilling.sn/careers|https://www.offshoredrilling.sn/news
9|Petroleum Exploration Co.|Oil & Gas Drilling|https://www.petroleumexploration.sn|https://www.petroleumexploration.sn/careers|https://www.petroleumexploration.sn/news
10|Senegal Drilling Services|Oil & Gas Drilling|https://www.senegaldillingservices.com|https://www.senegaldillingservices.com/careers|https://www.senegaldillingservices.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Senegal Oilfield Services|Oil & Gas Equipment & Services|https://www.senegaloilfieldservices.com|https://www.senegaloilfieldservices.com/careers|https://www.senegaloilfieldservices.com/news
2|Energy Equipment Senegal|Oil & Gas Equipment & Services|https://www.energyequipmentsenegal.com|https://www.energyequipmentsenegal.com/careers|https://www.energyequipmentsenegal.com/news
3|PetroServices Senegal|Oil & Gas Equipment & Services|https://www.petroservicessenegal.com|https://www.petroservicessenegal.com/careers|https://www.petroservicessenegal.com/news
4|Senegal Drilling Equipment|Oil & Gas Equipment & Services|https://www.senegaldillingequipment.com|https://www.senegaldillingequipment.com/careers|https://www.senegaldillingequipment.com/news
