|||Seychelles
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Seashell Energy|Oil & Gas Drilling|https://www.seashellenergy.sc|https://www.seashellenergy.sc/careers|https://www.seashellenergy.sc/news
2|Seychelles Oil Services|Oil & Gas Drilling|https://www.seychellesoilservices.sc|https://www.seychellesoilservices.sc/careers|https://www.seychellesoilservices.sc/news
3|Seychelles Drilling Co.|Oil & Gas Drilling|https://www.seychellesdrilling.sc|https://www.seychellesdrilling.sc/careers|https://www.seychellesdrilling.sc/news
4|Ocean Blue Drilling|Oil & Gas Drilling|https://www.oceanbluedrilling.sc|https://www.oceanbluedrilling.sc/careers|https://www.oceanbluedrilling.sc/news
5|Seychelles Petroleum|Oil & Gas Drilling|https://www.seychellespetroleum.sc|https://www.seychellespetroleum.sc/careers|https://www.seychellespetroleum.sc/news
6|Coral Energy|Oil & Gas Drilling|https://www.coralenergy.sc|https://www.coralenergy.sc/careers|https://www.coralenergy.sc/news
7|Island Drilling Services|Oil & Gas Drilling|https://www.islanddrilling.sc|https://www.islanddrilling.sc/careers|https://www.islanddrilling.sc/news
8|Seychelles Offshore Drilling|Oil & Gas Drilling|https://www.seychellesoftdrilling.sc|https://www.seychellesoftdrilling.sc/careers|https://www.seychellesoftdrilling.sc/news
9|Blue Horizon Drilling|Oil & Gas Drilling|https://www.bluehorizondrilling.sc|https://www.bluehorizondrilling.sc/careers|https://www.bluehorizondrilling.sc/news
10|Tropical Energy Solutions|Oil & Gas Drilling|https://www.tropicalenergysolutions.sc|https://www.tropicalenergysolutions.sc/careers|https://www.tropicalenergysolutions.sc/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Seychelles Oilfield Services|Oil & Gas Equipment & Services|https://www.seychellesoilfieldservices.sc|https://www.seychellesoilfieldservices.sc/careers|https://www.seychellesoilfieldservices.sc/news
2|Island Equipment Solutions|Oil & Gas Equipment & Services|https://www.islandequipmentsolutions.sc|https://www.islandequipmentsolutions.sc/careers|https://www.islandequipmentsolutions.sc/news
3|Coral Equipment Services|Oil & Gas Equipment & Services|https://www.coralequipmentservices.sc|https://www.coralequipmentservices.sc/careers|https://www.coralequipmentservices.sc/news
4|Seychelles Energy Tools|Oil & Gas Equipment & Services|https://www.seychellesenerytools.sc|https://www.seychellesenerytools.sc/careers|https://www.seychellesenerytools.sc/news
5|Blue Ocean Equipment|Oil & Gas Equipment & Services|https://www.blueoceanequipment.sc|https://www.blueoceanequipment.sc/careers|https://www.blueoceanequipment.sc/news
