|||Sierra Leone
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Oil & Gas|Oil & Gas Drilling|https://www.sierraoilandgas.sl|https://www.sierraoilandgas.sl/careers|https://www.sierraoilandgas.sl/news
2|PetroLeone|Oil & Gas Drilling|https://www.petroleone.sl|https://www.petroleone.sl/careers|https://www.petroleone.sl/news
3|SL Energy Services|Oil & Gas Drilling|https://www.slenerservices.sl|https://www.slenerservices.sl/careers|https://www.slenerservices.sl/news
4|Leone Drilling|Oil & Gas Drilling|https://www.leonedrilling.sl|https://www.leonedrilling.sl/careers|https://www.leonedrilling.sl/news
5|African Offshore Services|Oil & Gas Drilling|https://www.africanoffshore.sl|https://www.africanoffshore.sl/careers|https://www.africanoffshore.sl/news
6|SL Petroleum|Oil & Gas Drilling|https://www.slpetroleum.sl|https://www.slpetroleum.sl/careers|https://www.slpetroleum.sl/news
7|Energy Resources Sierra Leone|Oil & Gas Drilling|https://www.energyresources.sl|https://www.energyresources.sl/careers|https://www.energyresources.sl/news
8|Sierra Drillers|Oil & Gas Drilling|https://www.sierradrillers.sl|https://www.sierradrillers.sl/careers|https://www.sierradrillers.sl/news
9|Marine Oil Services|Oil & Gas Drilling|https://www.marineoilservices.sl|https://www.marineoilservices.sl/careers|https://www.marineoilservices.sl/news
10|Offshore Exploration Ltd|Oil & Gas Drilling|https://www.offshoreexploration.sl|https://www.offshoreexploration.sl/careers|https://www.offshoreexploration.sl/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Oilfield Services|Oil & Gas Equipment & Services|https://www.sloilfieldservices.sl|https://www.sloilfieldservices.sl/careers|https://www.sloilfieldservices.sl/news
2|Leone Equipment|Oil & Gas Equipment & Services|https://www.leoneequipment.sl|https://www.leoneequipment.sl/careers|https://www.leoneequipment.sl/news
3|SL Energy Solutions|Oil & Gas Equipment & Services|https://www.slenenergysolutions.sl|https://www.slenenergysolutions.sl/careers|https://www.slenenergysolutions.sl/news
4|Petroleum Services Sierra Leone|Oil & Gas Equipment & Services|https://www.petroleumservicessl.com|https://www.petroleumservicessl.com/careers|https://www.petroleumservicessl.com/news
5|Marine Equipment Sierra Leone|Oil & Gas Equipment & Services|https://www.marineequipmentsl.com|https://www.marineequipmentsl.com/careers|https://www.marineequipmentsl.com/news
6|Drilling Solutions Ltd|Oil & Gas Equipment & Services|https://www.drillingsolutions.sl|https://www.drillingsolutions.sl/careers|https://www.drillingsolutions.sl/news
7|Sierra Offshore Equipment|Oil & Gas Equipment & Services|https://www.sierraoffshoreequipment.sl|https://www.sierraoffshoreequipment.sl/careers|https://www.sierraoffshoreequipment.sl/news
8|African Drilling Services|Oil & Gas Equipment & Services|https://www.africandrillingservices.sl|https://www.africandrillingservices.sl/careers|https://www.africandrillingservices.sl/news
9|SL Oilfield Equipment|Oil & Gas Equipment & Services|https://www.sloilfieldequipment.sl|https://www.sloilfieldequipment.sl/careers|https://www.sloilfieldequipment.sl/news
10|Energy Equipment Solutions|Oil & Gas Equipment & Services|https://www.energyequipmentsolutions.sl|https://www.energyequipmentsolutions.sl/careers|https://www.energyequipmentsolutions.sl/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Integrated Oil|Integrated Oil & Gas|https://www.sierraleoneintegratedoil.sl|https://www.sierraleoneintegratedoil.sl/careers|https://www.sierraleoneintegratedoil.sl/news
2|Leone Oil & Gas|Integrated Oil & Gas|https://www.leoneoilgas.sl|https://www.leoneoilgas.sl/careers|https://www.leoneoilgas.sl/news
3|SL Integrated Energy|Integrated Oil & Gas|https://www.slintegratedenergy.sl|https://www.slintegratedenergy.sl/careers|https://www.slintegratedenergy.sl/news
4|PetroLeone|Integrated Oil & Gas|https://www.petroleone.sl|https://www.petroleone.sl/careers|https://www.petroleone.sl/news
5|Sierra Oil Corporation|Integrated Oil & Gas|https://www.sierraoilcorporation.sl|https://www.sierraoilcorporation.sl/careers|https://www.sierraoilcorporation.sl/news
6|Energy Holdings Sierra Leone|Integrated Oil & Gas|https://www.energyholdings.sl|https://www.energyholdings.sl/careers|https://www.energyholdings.sl/news
7|African Oil & Gas|Integrated Oil & Gas|https://www.africanoilandgas.sl|https://www.africanoilandgas.sl/careers|https://www.africanoilandgas.sl/news
8|SL Petrochemical|Integrated Oil & Gas|https://www.slpetrochemical.sl|https://www.slpetrochemical.sl/careers|https://www.slpetrochemical.sl/news
9|Integrated Energy Solutions|Integrated Oil & Gas|https://www.integratedenergysolutions.sl|https://www.integratedenergysolutions.sl/careers|https://www.integratedenergysolutions.sl/news
10|Sierra Leone Oil Refineries|Integrated Oil & Gas|https://www.sierraoilonrefineries.sl|https://www.sierraoilonrefineries.sl/careers|https://www.sierraoilonrefineries.sl/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Exploration Co.|Oil & Gas Exploration & Production|https://www.sierraexploration.sl|https://www.sierraexploration.sl/careers|https://www.sierraexploration.sl/news
2|Leone Oil Exploration|Oil & Gas Exploration & Production|https://www.leoneoilexploration.sl|https://www.leoneoilexploration.sl/careers|https://www.leoneoilexploration.sl/news
3|SL Petroleum Exploration|Oil & Gas Exploration & Production|https://www.slpetroleumexploration.sl|https://www.slpetroleumexploration.sl/careers|https://www.slpetroleumexploration.sl/news
4|African Oil Explorers|Oil & Gas Exploration & Production|https://www.africanoilexplorers.sl|https://www.africanoilexplorers.sl/careers|https://www.africanoilexplorers.sl/news
5|Energy Exploration Sierra Leone|Oil & Gas Exploration & Production|https://www.energyexplorationsl.com|https://www.energyexplorationsl.com/careers|https://www.energyexplorationsl.com/news
6|PetroLeone Exploration|Oil & Gas Exploration & Production|https://www.petroleoneexploration.sl|https://www.petroleoneexploration.sl/careers|https://www.petroleoneexploration.sl/news
7|Sierra Offshore Exploration|Oil & Gas Exploration & Production|https://www.sierraoffshoreexploration.sl|https://www.sierraoffshoreexploration.sl/careers|https://www.sierraoffshoreexploration.sl/news
8|SL Oil & Gas Ventures|Oil & Gas Exploration & Production|https://www.sloilgasventures.sl|https://www.sloilgasventures.sl/careers|https://www.sloilgasventures.sl/news
9|Integrated Oil Explorers|Oil & Gas Exploration & Production|https://www.integratedoilexplorers.sl|https://www.integratedoilexplorers.sl/careers|https://www.integratedoilexplorers.sl/news
10|Sierra Leone Oilfields|Oil & Gas Exploration & Production|https://www.sierraleoneoilfields.sl|https://www.sierraleoneoilfields.sl/careers|https://www.sierraleoneoilfields.sl/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Refining Co.|Oil & Gas Refining & Marketing|https://www.sierraleonerefining.sl|https://www.sierraleonerefining.sl/careers|https://www.sierraleonerefining.sl/news
2|Leone Oil Refinery|Oil & Gas Refining & Marketing|https://www.leoneoilrefinery.sl|https://www.leoneoilrefinery.sl/careers|https://www.leoneoilrefinery.sl/news
3|SL Petroleum Refining|Oil & Gas Refining & Marketing|https://www.slpetroleumrefining.sl|https://www.slpetroleumrefining.sl/careers|https://www.slpetroleumrefining.sl/news
4|African Oil Refiners|Oil & Gas Refining & Marketing|https://www.africanoilrefiners.sl|https://www.africanoilrefiners.sl/careers|https://www.africanoilrefiners.sl/news
5|Energy Refining Solutions|Oil & Gas Refining & Marketing|https://www.energyrefiningsolutions.sl|https://www.energyrefiningsolutions.sl/careers|https://www.energyrefiningsolutions.sl/news
6|PetroLeone Refining|Oil & Gas Refining & Marketing|https://www.petroleonerefining.sl|https://www.petroleonerefining.sl/careers|https://www.petroleonerefining.sl/news
7|Sierra Oil Refinery|Oil & Gas Refining & Marketing|https://www.sierraoilrefinery.sl|https://www.sierraoilrefinery.sl/careers|https://www.sierraoilrefinery.sl/news
8|SL Oil & Gas Refining|Oil & Gas Refining & Marketing|https://www.sloilgasrefining.sl|https://www.sloilgasrefining.sl/careers|https://www.sloilgasrefining.sl/news
9|Integrated Oil Refining|Oil & Gas Refining & Marketing|https://www.integratedoilrefining.sl|https://www.integratedoilrefining.sl/careers|https://www.integratedoilrefining.sl/news
10|Sierra Leone Fuel Marketing|Oil & Gas Refining & Marketing|https://www.sierraleonefuelmarketing.sl|https://www.sierraleonefuelmarketing.sl/careers|https://www.sierraleonefuelmarketing.sl/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Storage & Transport|Oil & Gas Storage & Transportation|https://www.sierraleonestorage.sl|https://www.sierraleonestorage.sl/careers|https://www.sierraleonestorage.sl/news
2|Leone Oil Transport|Oil & Gas Storage & Transportation|https://www.leoneoiltransport.sl|https://www.leoneoiltransport.sl/careers|https://www.leoneoiltransport.sl/news
3|SL Gas & Oil Logistics|Oil & Gas Storage & Transportation|https://www.slgasandlogistics.sl|https://www.slgasandlogistics.sl/careers|https://www.slgasandlogistics.sl/news
4|African Oil Storage|Oil & Gas Storage & Transportation|https://www.africanoilstorage.sl|https://www.africanoilstorage.sl/careers|https://www.africanoilstorage.sl/news
5|Energy Transport Solutions|Oil & Gas Storage & Transportation|https://www.energytransportsolutions.sl|https://www.energytransportsolutions.sl/careers|https://www.energytransportsolutions.sl/news
6|PetroLeone Logistics|Oil & Gas Storage & Transportation|https://www.petroleonelogistics.sl|https://www.petroleonelogistics.sl/careers|https://www.petroleonelogistics.sl/news
7|Sierra Oil Transport|Oil & Gas Storage & Transportation|https://www.sierraoiltransport.sl|https://www.sierraoiltransport.sl/careers|https://www.sierraoiltransport.sl/news
8|SL Oil & Gas Storage|Oil & Gas Storage & Transportation|https://www.sloilgasstorage.sl|https://www.sloilgasstorage.sl/careers|https://www.sloilgasstorage.sl/news
9|Integrated Oil Transport|Oil & Gas Storage & Transportation|https://www.integratedoiltransport.sl|https://www.integratedoiltransport.sl/careers|https://www.integratedoiltransport.sl/news
10|Sierra Leone Fuel Storage|Oil & Gas Storage & Transportation|https://www.sierraleonefuelstorage.sl|https://www.sierraleonefuelstorage.sl/careers|https://www.sierraleonefuelstorage.sl/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sierra Leone Coal Co.|Coal & Consumable Fuels|https://www.sierraleonecoal.sl|https://www.sierraleonecoal.sl/careers|https://www.sierraleonecoal.sl/news
2|Leone Fuel Resources|Coal & Consumable Fuels|https://www.leonefuelresources.sl|https://www.leonefuelresources.sl/careers|https://www.leonefuelresources.sl/news
3|SL Coal Mining|Coal & Consumable Fuels|https://www.slcoalmining.sl|https://www.slcoalmining.sl/careers|https://www.slcoalmining.sl/news
4|African Coal Traders|Coal & Consumable Fuels|https://www.africancoaltraders.sl|https://www.africancoaltraders.sl/careers|https://www.africancoaltraders.sl/news
5|Energy Coal Solutions|Coal & Consumable Fuels|https://www.energycoalsolutions.sl|https://www.energycoalsolutions.sl/careers|https://www.energycoalsolutions.sl/news
6|PetroCoal Sierra Leone|Coal & Consumable Fuels|https://www.petrocoalsl.com|https://www.petrocoalsl.com/careers|https://www.petrocoalsl.com/news
7|Sierra Coal & Fuels|Coal & Consumable Fuels|https://www.sierracoalandfuels.sl|https://www.sierracoalandfuels.sl/careers|https://www.sierracoalandfuels.sl/news
8|SL Energy Resources|Coal & Consumable Fuels|https://www.slenergyresources.sl|https://www.slenergyresources.sl/careers|https://www.slenergyresources.sl/news
9|Integrated Coal Solutions|Coal & Consumable Fuels|https://www.integratedcoalsolutions.sl|https://www.integratedcoalsolutions.sl/careers|https://www.integratedcoalsolutions.sl/news
