|||Somalia
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Somalia Oil & Gas|Oil & Gas Drilling|https://www.somaliaoilgas.com|https://www.somaliaoilgas.com/careers|https://www.somaliaoilgas.com/news
2|PetroSom|Oil & Gas Drilling|https://www.petrosom.so|https://www.petrosom.so/careers|https://www.petrosom.so/news
3|Somali Energy Resources|Oil & Gas Drilling|https://www.somalienergyresources.so|https://www.somalienergyresources.so/careers|https://www.somalienergyresources.so/news
4|Horn of Africa Petroleum|Oil & Gas Drilling|https://www.hornofafricapetroleum.so|https://www.hornofafricapetroleum.so/careers|https://www.hornofafricapetroleum.so/news
5|Somalia Petroleum Company|Oil & Gas Drilling|https://www.somaliapetroleum.com|https://www.somaliapetroleum.com/careers|https://www.somaliapetroleum.com/news
6|Ocean Energy Somalia|Oil & Gas Drilling|https://www.oceanenergy.so|https://www.oceanenergy.so/careers|https://www.oceanenergy.so/news
7|Somali Oil Exploration|Oil & Gas Drilling|https://www.somalioilexploration.so|https://www.somalioilexploration.so/careers|https://www.somalioilexploration.so/news
8|East African Oil & Gas|Oil & Gas Drilling|https://www.eastafricanoilgas.so|https://www.eastafricanoilgas.so/careers|https://www.eastafricanoilgas.so/news
9|Somalia Natural Resources|Oil & Gas Drilling|https://www.somalianaturalresources.so|https://www.somalianaturalresources.so/careers|https://www.somalianaturalresources.so/news
10|Somali Gas & Oil|Oil & Gas Drilling|https://www.somaligasandoil.so|https://www.somaligasandoil.so/careers|https://www.somaligasandoil.so/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Somalia Oilfield Services|Oil & Gas Equipment & Services|https://www.somaliaoilfieldservices.com|https://www.somaliaoilfieldservices.com/careers|https://www.somaliaoilfieldservices.com/news
2|PetroServices Somalia|Oil & Gas Equipment & Services|https://www.petroservicessomalia.so|https://www.petroservicessomalia.so/careers|https://www.petroservicessomalia.so/news
3|Horn of Africa Equipment|Oil & Gas Equipment & Services|https://www.hornofafricaequipment.so|https://www.hornofafricaequipment.so/careers|https://www.hornofafricaequipment.so/news
4|Somali Drilling Solutions|Oil & Gas Equipment & Services|https://www.somalidrillingsolutions.so|https://www.somalidrillingsolutions.so/careers|https://www.somalidrillingsolutions.so/news
5|Somalia Energy Services|Oil & Gas Equipment & Services|https://www.somaliaenergyservices.com|https://www.somaliaenergyservices.com/careers|https://www.somaliaenergyservices.com/news
6|East Africa Oilfield Supplies|Oil & Gas Equipment & Services|https://www.eastafricanoilfieldsupplies.so|https://www.eastafricanoilfieldsupplies.so/careers|https://www.eastafricanoilfieldsupplies.so/news
7|Somali Oil & Gas Equipment|Oil & Gas Equipment & Services|https://www.somalioilandgasequipment.so|https://www.somalioilandgasequipment.so/careers|https://www.somalioilandgasequipment.so/news
8|Somalia Well Services|Oil & Gas Equipment & Services|https://www.somaliawellservices.so|https://www.somaliawellservices.so/careers|https://www.somaliawellservices.so/news
9|Petroleum Support Services|Oil & Gas Equipment & Services|https://www.petroleumsupportservices.so|https://www.petroleumsupportservices.so/careers|https://www.petroleumsupportservices.so/news
10|Somali Energy Solutions|Oil & Gas Equipment & Services|https://www.somalienergysolutions.so|https://www.somalienergysolutions.so/careers|https://www.somalienergysolutions.so/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Somali Integrated Oil|Integrated Oil & Gas|https://www.somaliintegratedoil.com|https://www.somaliintegratedoil.com/careers|https://www.somaliintegratedoil.com/news
2|PetroSomalia|Integrated Oil & Gas|https://www.petrosomalia.so|https://www.petrosomalia.so/careers|https://www.petrosomalia.so/news
3|Horn of Africa Oil|Integrated Oil & Gas|https://www.hornofafricaoil.so|https://www.hornofafricaoil.so/careers|https://www.hornofafricaoil.so/news
4|Somalia Energy Company|Integrated Oil & Gas|https://www.somaliaenergycompany.so|https://www.somaliaenergycompany.so/careers|https://www.somaliaenergycompany.so/news
5|East Africa Integrated Energy|Integrated Oil & Gas|https://www.eastafricaintegratedenergy.so|https://www.eastafricaintegratedenergy.so/careers|https://www.eastafricaintegratedenergy.so/news
6|Somali Oil & Gas Holdings|Integrated Oil & Gas|https://www.somalioilandgasholdings.so|https://www.somalioilandgasholdings.so/careers|https://www.somalioilandgasholdings.so/news
7|Somalia Petroleum Group|Integrated Oil & Gas|https://www.somaliapetroleumgroup.so|https://www.somaliapetroleumgroup.so/careers|https://www.somaliapetroleumgroup.so/news
8|Integrated Energy Solutions|Integrated Oil & Gas|https://www.integratedenergysolutions.so|https://www.integratedenergysolutions.so/careers|https://www.integratedenergysolutions.so/news
9|Somali Oil Ventures|Integrated Oil & Gas|https://www.somalioilventures.so|https://www.somalioilventures.so/careers|https://www.somalioilventures.so/news
10|Somali Gas & Oil|Integrated Oil & Gas|https://www.somaligasandoil.so|https://www.somaligasandoil.so/careers|https://www.somaligasandoil.so/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Somalia Exploration Co.|Oil & Gas Exploration & Production|https://www.somaliaexploration.com|https://www.somaliaexploration.com/careers|https://www.somaliaexploration.com/news
2|PetroSom Exploration|Oil & Gas Exploration & Production|https://www.petrosomexploration.so|https://www.petrosomexploration.so/careers|https://www.petrosomexploration.so/news
3|Horn of Africa Oil Exploration|Oil & Gas Exploration & Production|https://www.hornofafricaexploration.so|https://www.hornofafricaexploration.so/careers|https://www.hornofafricaexploration.so/news
4|Somali Oil Discoveries|Oil & Gas Exploration & Production|https://www.somalioildiscoveries.so|https://www.somalioildiscoveries.so/careers|https://www.somalioildiscoveries.so/news
5|East Africa Exploration Co.|Oil & Gas Exploration & Production|https://www.eastafricaexploration.so|https://www.eastafricaexploration.so/careers|https://www.eastafricaexploration.so/news
6|Somalia Petroleum Exploration|Oil & Gas Exploration & Production|https://www.somaliapetroleumexploration.so|https://www.somaliapetroleumexploration.so/careers|https://www.somaliapetroleumexploration.so/news
7|Somali Offshore Exploration|Oil & Gas Exploration & Production|https://www.somalioffshoreexploration.so|https://www.somalioffshoreexploration.so/careers|https://www.somalioffshoreexploration.so/news
8|Somali Energy Discoveries|Oil & Gas Exploration & Production|https://www.somalienergydiscoveries.so|https://www.somalienergydiscoveries.so/careers|https://www.somalienergydiscoveries.so/news
9|Petroleum Exploration Somalia|Oil & Gas Exploration & Production|https://www.petroleumexplorationsomalia.so|https://www.petroleumexplorationsomalia.so/careers|https://www.petroleumexplorationsomalia.so/news
10|Somalia Oil & Gas Ventures|Oil & Gas Exploration & Production|https://www.somaliaoilgasventures.so|https://www.somaliaoilgasventures.so/careers|https://www.somaliaoilgasventures.so/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Somalia Oil Refining|Oil & Gas Refining & Marketing|https://www.somaliaoilrefining.so|https://www.somaliaoilrefining.so/careers|https://www.somaliaoilrefining.so/news
2|PetroSom Refining|Oil & Gas Refining & Marketing|https://www.petrosomrefining.so|https://www.petrosomrefining.so/careers|https://www.petrosomrefining.so/news
3|Horn of Africa Refinery|Oil & Gas Refining & Marketing|https://www.hornofafricarefinery.so|https://www.hornofafricarefinery.so/careers|https://www.hornofafricarefinery.so/news
4|Somali Energy Refining|Oil & Gas Refining & Marketing|https://www.somalienergyrefining.so|https://www.somalienergyrefining.so/careers|https://www.somalienergyrefining.so/news
5|East Africa Oil Refining|Oil & Gas Refining & Marketing|https://www.eastafricaoilrefining.so|https://www.eastafricaoilrefining.so/careers|https://www.eastafricaoilrefining.so/news
6|Somali Petroleum Refining|Oil & Gas Refining & Marketing|https://www.somalipetroleumrefining.so|https://www.somalipetroleumrefining.so/careers|https://www.somalipetroleumrefining.so/news
7|Somalia Fuel Refining|Oil & Gas Refining & Marketing|https://www.somaliafuelrefining.so|https://www.somaliafuelrefining.so/careers|https://www.somaliafuelrefining.so/news
8|Somali Oil & Gas Marketing|Oil & Gas Refining & Marketing|https://www.somalioilandgasmarketing.so|https://www.somalioilandgasmarketing.so/careers|https://www.somalioilandgasmarketing.so/news
9|Petroleum Refining Somalia|Oil & Gas Refining & Marketing|https://www.petroleumrefiningsomalia.so|https://www.petroleumrefiningsomalia.so/careers|https://www.petroleumrefiningsomalia.so/news
10|Somali Energy Marketing|Oil & Gas Refining & Marketing|https://www.somalienergymarketing.so|https://www.somalienergymarketing.so/careers|https://www.somalienergymarketing.so/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Somalia Oil Transport|Oil & Gas Storage & Transportation|https://www.somaliaoiltransport.so|https://www.somaliaoiltransport.so/careers|https://www.somaliaoiltransport.so/news
2|PetroSom Transport|Oil & Gas Storage & Transportation|https://www.petrosomtransport.so|https://www.petrosomtransport.so/careers|https://www.petrosomtransport.so/news
3|Horn of Africa Storage|Oil & Gas Storage & Transportation|https://www.hornofafricastorage.so|https://www.hornofafricastorage.so/careers|https://www.hornofafricastorage.so/news
