|||South Sudan
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Oil Company|Oil & Gas Drilling|https://www.sudanoil.com|https://www.sudanoil.com/careers|https://www.sudanoil.com/news
2|Nile Petroleum|Oil & Gas Drilling|https://www.nilepetroleum.com|https://www.nilepetroleum.com/careers|https://www.nilepetroleum.com/news
3|PetroDar Operating Company|Oil & Gas Drilling|https://www.petrodar.com|https://www.petrodar.com/careers|https://www.petrodar.com/news
4|Sudd Petroleum Operating Company|Oil & Gas Drilling|https://www.suddpetroleum.com|https://www.suddpetroleum.com/careers|https://www.suddpetroleum.com/news
5|Greater Nile Petroleum Operating Company|Oil & Gas Drilling|https://www.gnpoc.com|https://www.gnpoc.com/careers|https://www.gnpoc.com/news
6|White Nile Petroleum Operating Company|Oil & Gas Drilling|https://www.wnpoc.com|https://www.wnpoc.com/careers|https://www.wnpoc.com/news
7|South Sudan Oil and Gas Company|Oil & Gas Drilling|https://www.southsudanoil.com|https://www.southsudanoil.com/careers|https://www.southsudanoil.com/news
8|Darfour Oil Services|Oil & Gas Drilling|https://www.darfouroil.com|https://www.darfouroil.com/careers|https://www.darfouroil.com/news
9|Al-Mahad Oil Company|Oil & Gas Drilling|https://www.almahadoil.com|https://www.almahadoil.com/careers|https://www.almahadoil.com/news
10|Sudan Petroleum Company|Oil & Gas Drilling|https://www.sudanpetroleum.com|https://www.sudanpetroleum.com/careers|https://www.sudanpetroleum.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|South Sudan Oilfield Services|Oil & Gas Equipment & Services|https://www.ssoilfieldservices.com|https://www.ssoilfieldservices.com/careers|https://www.ssoilfieldservices.com/news
2|Nile Oilfield Services|Oil & Gas Equipment & Services|https://www.nileoilfieldservices.com|https://www.nileoilfieldservices.com/careers|https://www.nileoilfieldservices.com/news
3|PetroEquipment South Sudan|Oil & Gas Equipment & Services|https://www.petroequipmentss.com|https://www.petroequipmentss.com/careers|https://www.petroequipmentss.com/news
4|Delta Oilfield Services|Oil & Gas Equipment & Services|https://www.deltaoilfieldservices.com|https://www.deltaoilfieldservices.com/careers|https://www.deltaoilfieldservices.com/news
5|Sudan Oilfield Equipment|Oil & Gas Equipment & Services|https://www.sudanoilfieldequipment.com|https://www.sudanoilfieldequipment.com/careers|https://www.sudanoilfieldequipment.com/news
6|Al-Mahad Equipment Services|Oil & Gas Equipment & Services|https://www.almahadequipment.com|https://www.almahadequipment.com/careers|https://www.almahadequipment.com/news
7|Greater Nile Equipment Services|Oil & Gas Equipment & Services|https://www.gnequipmentservices.com|https://www.gnequipmentservices.com/careers|https://www.gnequipmentservices.com/news
8|Sudd Equipment Services|Oil & Gas Equipment & Services|https://www.suddequipmentservices.com|https://www.suddequipmentservices.com/careers|https://www.suddequipmentservices.com/news
9|White Nile Oilfield Services|Oil & Gas Equipment & Services|https://www.wnoilfieldservices.com|https://www.wnoilfieldservices.com/careers|https://www.wnoilfieldservices.com/news
10|Darfour Oil Services|Oil & Gas Equipment & Services|https://www.darfouroilservices.com|https://www.darfouroilservices.com/careers|https://www.darfouroilservices.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Integrated Oil Company|Integrated Oil & Gas|https://www.sudanintegratedoil.com|https://www.sudanintegratedoil.com/careers|https://www.sudanintegratedoil.com/news
2|Nile Integrated Energy|Integrated Oil & Gas|https://www.nileintegratedenergy.com|https://www.nileintegratedenergy.com/careers|https://www.nileintegratedenergy.com/news
3|PetroDar Integrated Services|Integrated Oil & Gas|https://www.petrodarintegrated.com|https://www.petrodarintegrated.com/careers|https://www.petrodarintegrated.com/news
4|Greater Nile Oil Company|Integrated Oil & Gas|https://www.greaternileoil.com|https://www.greaternileoil.com/careers|https://www.greaternileoil.com/news
5|Sudd Integrated Oil Services|Integrated Oil & Gas|https://www.suddintegratedoil.com|https://www.suddintegratedoil.com/careers|https://www.suddintegratedoil.com/news
6|Al-Mahad Integrated Energy|Integrated Oil & Gas|https://www.almahadintegrated.com|https://www.almahadintegrated.com/careers|https://www.almahadintegrated.com/news
7|White Nile Oil & Gas|Integrated Oil & Gas|https://www.whitenileoil.com|https://www.whitenileoil.com/careers|https://www.whitenileoil.com/news
8|Nile Petroleum Company|Integrated Oil & Gas|https://www.nilepetroleum.com|https://www.nilepetroleum.com/careers|https://www.nilepetroleum.com/news
9|Darfour Integrated Oil Services|Integrated Oil & Gas|https://www.darfourintegratedoil.com|https://www.darfourintegratedoil.com/careers|https://www.darfourintegratedoil.com/news
10|South Sudan Oil and Gas|Integrated Oil & Gas|https://www.southsudanoilgas.com|https://www.southsudanoilgas.com/careers|https://www.southsudanoilgas.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Oil Exploration Company|Oil & Gas Exploration & Production|https://www.sudanexploration.com|https://www.sudanexploration.com/careers|https://www.sudanexploration.com/news
2|Nile Oil and Gas|Oil & Gas Exploration & Production|https://www.nileoilgas.com|https://www.nileoilgas.com/careers|https://www.nileoilgas.com/news
3|PetroDar Exploration|Oil & Gas Exploration & Production|https://www.petrodar.com|https://www.petrodar.com/careers|https://www.petrodar.com/news
4|Greater Nile Petroleum Company|Oil & Gas Exploration & Production|https://www.gnpoc.com|https://www.gnpoc.com/careers|https://www.gnpoc.com/news
5|Sudd Petroleum Operating Company|Oil & Gas Exploration & Production|https://www.suddpetroleum.com|https://www.suddpetroleum.com/careers|https://www.suddpetroleum.com/news
6|White Nile Oil Company|Oil & Gas Exploration & Production|https://www.whitenileoil.com|https://www.whitenileoil.com/careers|https://www.whitenileoil.com/news
7|Al-Mahad Oil Exploration|Oil & Gas Exploration & Production|https://www.almahadoilexploration.com|https://www.almahadoilexploration.com/careers|https://www.almahadoilexploration.com/news
8|Darfour Oil Exploration|Oil & Gas Exploration & Production|https://www.darfouroilexploration.com|https://www.darfouroilexploration.com/careers|https://www.darfouroilexploration.com/news
9|South Sudan Oil and Gas Exploration|Oil & Gas Exploration & Production|https://www.southsudanoilgas.com|https://www.southsudanoilgas.com/careers|https://www.southsudanoilgas.com/news
10|Nile Petroleum Exploration|Oil & Gas Exploration & Production|https://www.nilepetroleumexploration.com|https://www.nilepetroleumexploration.com/careers|https://www.nilepetroleumexploration.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|South Sudan Refinery Company|Oil & Gas Refining & Marketing|https://www.southsudanrefinery.com|https://www.southsudanrefinery.com/careers|https://www.southsudanrefinery.com/news
2|Nile Refining and Marketing|Oil & Gas Refining & Marketing|https://www.nilerefining.com|https://www.nilerefining.com/careers|https://www.nilerefining.com/news
