|||Sudan
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Petroleum Company|Oil & Gas Drilling|http://www.sudpet.com|http://www.sudpet.com/careers|http://www.sudpet.com/news
2|PetroDar Operating Company|Oil & Gas Drilling|http://www.petrodar.com|http://www.petrodar.com/careers|http://www.petrodar.com/news
3|Sudan Oil Company|Oil & Gas Drilling|http://www.sudanoil.com|http://www.sudanoil.com/careers|http://www.sudanoil.com/news
4|Greater Nile Petroleum Operating Company|Oil & Gas Drilling|http://www.gnpoc.com|http://www.gnpoc.com/careers|http://www.gnpoc.com/news
5|Sudd Petroleum Operating Company|Oil & Gas Drilling|http://www.suddpetroleum.com|http://www.suddpetroleum.com/careers|http://www.suddpetroleum.com/news
6|White Nile Petroleum Company|Oil & Gas Drilling|http://www.wnpc.com|http://www.wnpc.com/careers|http://www.wnpc.com/news
7|Sudan Energy Company|Oil & Gas Drilling|http://www.sudanenergy.com|http://www.sudanenergy.com/careers|http://www.sudanenergy.com/news
8|Nile Petroleum Company|Oil & Gas Drilling|http://www.nilepetroleum.com|http://www.nilepetroleum.com/careers|http://www.nilepetroleum.com/news
9|Al-Mahad Oil Company|Oil & Gas Drilling|http://www.almahadoil.com|http://www.almahadoil.com/careers|http://www.almahadoil.com/news
10|PetroSouth Company|Oil & Gas Drilling|http://www.petrosouth.com|http://www.petrosouth.com/careers|http://www.petrosouth.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Oilfield Services|Oil & Gas Equipment & Services|http://www.sudanofs.com|http://www.sudanofs.com/careers|http://www.sudanofs.com/news
2|Nile Oilfield Services|Oil & Gas Equipment & Services|http://www.nileofs.com|http://www.nileofs.com/careers|http://www.nileofs.com/news
3|PetroServices Sudan|Oil & Gas Equipment & Services|http://www.petrosud.com|http://www.petrosud.com/careers|http://www.petrosud.com/news
4|Sudan Drilling Company|Oil & Gas Equipment & Services|http://www.sudandrilling.com|http://www.sudandrilling.com/careers|http://www.sudandrilling.com/news
5|Sudan Engineering Services|Oil & Gas Equipment & Services|http://www.sudanengineering.com|http://www.sudanengineering.com/careers|http://www.sudanengineering.com/news
6|Al-Tadamon Oil Services|Oil & Gas Equipment & Services|http://www.tadamonoil.com|http://www.tadamonoil.com/careers|http://www.tadamonoil.com/news
7|Khartoum Oilfield Solutions|Oil & Gas Equipment & Services|http://www.khartoumoilfield.com|http://www.khartoumoilfield.com/careers|http://www.khartoumoilfield.com/news
8|Sudan Technical Services|Oil & Gas Equipment & Services|http://www.sudantech.com|http://www.sudantech.com/careers|http://www.sudantech.com/news
9|PetroAfrica Services|Oil & Gas Equipment & Services|http://www.petroafrica.com|http://www.petroafrica.com/careers|http://www.petroafrica.com/news
10|Sahara Oilfield Services|Oil & Gas Equipment & Services|http://www.saharaofs.com|http://www.saharaofs.com/careers|http://www.saharaofs.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Integrated Oil Company|Integrated Oil & Gas|http://www.sudanoil.com|http://www.sudanoil.com/careers|http://www.sudanoil.com/news
2|Greater Nile Oil Company|Integrated Oil & Gas|http://www.gnoc.com|http://www.gnoc.com/careers|http://www.gnoc.com/news
3|PetroDar Integrated Services|Integrated Oil & Gas|http://www.petrodar.com|http://www.petrodar.com/careers|http://www.petrodar.com/news
4|Sudan Oil & Gas Corporation|Integrated Oil & Gas|http://www.sudanoilgas.com|http://www.sudanoilgas.com/careers|http://www.sudanoilgas.com/news
5|Nile Petroleum Corporation|Integrated Oil & Gas|http://www.nilepetroleum.com|http://www.nilepetroleum.com/careers|http://www.nilepetroleum.com/news
6|Al-Mahad Oil Company|Integrated Oil & Gas|http://www.almahadoil.com|http://www.almahadoil.com/careers|http://www.almahadoil.com/news
7|Sudd Petroleum Operating Company|Integrated Oil & Gas|http://www.suddpetroleum.com|http://www.suddpetroleum.com/careers|http://www.suddpetroleum.com/news
8|White Nile Oil Company|Integrated Oil & Gas|http://www.wnoc.com|http://www.wnoc.com/careers|http://www.wnoc.com/news
9|Sudan Energy Services|Integrated Oil & Gas|http://www.sudanenergyservices.com|http://www.sudanenergyservices.com/careers|http://www.sudanenergyservices.com/news
10|PetroAfrica Integrated Services|Integrated Oil & Gas|http://www.petroafrica.com|http://www.petroafrica.com/careers|http://www.petroafrica.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Oil Exploration Company|Oil & Gas Exploration & Production|http://www.sudanexploration.com|http://www.sudanexploration.com/careers|http://www.sudanexploration.com/news
2|PetroDar Exploration|Oil & Gas Exploration & Production|http://www.petrodar.com|http://www.petrodar.com/careers|http://www.petrodar.com/news
3|Greater Nile Petroleum Company|Oil & Gas Exploration & Production|http://www.gnpoc.com|http://www.gnpoc.com/careers|http://www.gnpoc.com/news
4|Sudd Petroleum Operating Company|Oil & Gas Exploration & Production|http://www.suddpetroleum.com|http://www.suddpetroleum.com/careers|http://www.suddpetroleum.com/news
5|White Nile Petroleum Company|Oil & Gas Exploration & Production|http://www.wnpc.com|http://www.wnpc.com/careers|http://www.wnpc.com/news
6|Al-Mahad Oil Company|Oil & Gas Exploration & Production|http://www.almahadoil.com|http://www.almahadoil.com/careers|http://www.almahadoil.com/news
7|Sudan Energy Corporation|Oil & Gas Exploration & Production|http://www.sudanenergy.com|http://www.sudanenergy.com/careers|http://www.sudanenergy.com/news
8|Nile Petroleum Corporation|Oil & Gas Exploration & Production|http://www.nilepetroleum.com|http://www.nilepetroleum.com/careers|http://www.nilepetroleum.com/news
9|PetroAfrica Exploration|Oil & Gas Exploration & Production|http://www.petroafrica.com|http://www.petroafrica.com/careers|http://www.petroafrica.com/news
10|Sudan Oil & Gas Corporation|Oil & Gas Exploration & Production|http://www.sudanoilgas.com|http://www.sudanoilgas.com/careers|http://www.sudanoilgas.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Refining Company|Oil & Gas Refining & Marketing|http://www.sudanrefining.com|http://www.sudanrefining.com/careers|http://www.sudanrefining.com/news
2|Khartoum Oil Refinery|Oil & Gas Refining & Marketing|http://www.khartoumoilrefinery.com|http://www.khartoumoilrefinery.com/careers|http://www.khartoumoilrefinery.com/news
3|PetroDar Refining|Oil & Gas Refining & Marketing|http://www.petrodar.com|http://www.petrodar.com/careers|http://www.petrodar.com/news
4|Sudan Petroleum Refining Company|Oil & Gas Refining & Marketing|http://www.sudanpetroleumrefining.com|http://www.sudanpetroleumrefining.com/careers|http://www.sudanpetroleumrefining.com/news
5|Greater Nile Oil Refinery|Oil & Gas Refining & Marketing|http://www.greaternileoil.com|http://www.greaternileoil.com/careers|http://www.greaternileoil.com/news
6|Al-Mahad Oil Refinery|Oil & Gas Refining & Marketing|http://www.almahadoilrefinery.com|http://www.almahadoilrefinery.com/careers|http://www.almahadoilrefinery.com/news
7|White Nile Refining Company|Oil & Gas Refining & Marketing|http://www.whitenilerefining.com|http://www.whitenilerefining.com/careers|http://www.whitenilerefining.com/news
8|Sudan Energy Refining|Oil & Gas Refining & Marketing|http://www.sudanenergyrefining.com|http://www.sudanenergyrefining.com/careers|http://www.sudanenergyrefining.com/news
9|Nile Petroleum Refinery|Oil & Gas Refining & Marketing|http://www.nilepetroleumrefinery.com|http://www.nilepetroleumrefinery.com/careers|http://www.nilepetroleumrefinery.com/news
10|Al-Tadamon Oil Refining|Oil & Gas Refining & Marketing|http://www.tadamonoilrefining.com|http://www.tadamonoilrefining.com/careers|http://www.tadamonoilrefining.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sudan Oil Storage Company|Oil & Gas Storage & Transportation|http://www.sudanstorage.com|http://www.sudanstorage.com/careers|http://www.sudanstorage.com/news
2|Greater Nile Oil Pipeline|Oil & Gas Storage & Transportation|http://www.gnop.com|http://www.gnop.com/careers|http://www.gnop.com/news
3|PetroDar Transportation|Oil & Gas Storage & Transportation|http://www.petrodar.com|http://www.petrodar.com/careers|http://www.petrodar.com/news
4|Sudan Pipeline Company|Oil & Gas Storage & Transportation|http://www.sudanpipeline.com|http://www.sudanpipeline.com/careers|http://www.sudanpipeline.com/news
