|||SÃ£o TomÃ© and PrÃ­ncipe
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonangol|Oil & Gas Drilling|http://www.sonangol.co.ao|http://www.sonangol.co.ao/careers|http://www.sonangol.co.ao/news
2|Petrobras|Oil & Gas Drilling|http://www.petrobras.com.br|http://www.petrobras.com.br/en/careers|http://www.petrobras.com.br/en/news
3|Chevron|Oil & Gas Drilling|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
4|TotalEnergies|Oil & Gas Drilling|http://www.totalenergies.com|http://totalenergies.com/careers|http://totalenergies.com/news
5|Eni|Oil & Gas Drilling|http://www.eni.com|http://www.eni.com/enitraining|http://www.eni.com/enitoday
6|ExxonMobil|Oil & Gas Drilling|http://www.exxonmobil.com|http://www.exxonmobil.com/en/careers|http://www.exxonmobil.com/en/news
7|Halliburton|Oil & Gas Drilling|http://www.halliburton.com|http://www.halliburton.com/en/careers|http://www.halliburton.com/en/news
8|Schlumberger|Oil & Gas Drilling|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
9|Baker Hughes|Oil & Gas Drilling|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
10|Weatherford|Oil & Gas Drilling|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|http://www.halliburton.com|http://www.halliburton.com/en/careers|http://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
