|||Tanzania
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tanzania Petroleum Development Corporation|Oil & Gas Drilling|https://www.tpdc-tz.com|https://www.tpdc-tz.com/careers|https://www.tpdc-tz.com/news
2|Orca Exploration Group Inc.|Oil & Gas Drilling|https://www.orcaexploration.com|https://www.orcaexploration.com/careers|https://www.orcaexploration.com/news
3|Maurel & Prom|Oil & Gas Drilling|https://www.maureletprom.fr|https://www.maureletprom.fr/en/careers|https://www.maureletprom.fr/en/news
4|Aminex PLC|Oil & Gas Drilling|https://www.aminex-plc.com|https://www.aminex-plc.com/careers|https://www.aminex-plc.com/news
5|PanAfrican Energy|Oil & Gas Drilling|https://www.panafricanenergy.com|https://www.panafricanenergy.com/careers|https://www.panafricanenergy.com/news
6|Tanzania Gas|Oil & Gas Drilling|https://www.tanzaniagas.com|https://www.tanzaniagas.com/careers|https://www.tanzaniagas.com/news
7|Sirius Petroleum|Oil & Gas Drilling|https://www.siriuspetroleum.com|https://www.siriuspetroleum.com/careers|https://www.siriuspetroleum.com/news
8|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
9|Eland Oil & Gas|Oil & Gas Drilling|https://www.eland-oil.com|https://www.eland-oil.com/careers|https://www.eland-oil.com/news
10|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|KCA Deutag|Oil & Gas Equipment & Services|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
7|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|Seadrill|Oil & Gas Equipment & Services|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
10|Transocean|Oil & Gas Equipment & Services|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tanzania Petroleum Development Corporation|Integrated Oil & Gas|https://www.tpdc-tz.com|https://www.tpdc-tz.com/careers|https://www.tpdc-tz.com/news
2|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Equinor|Integrated Oil & Gas|https://www.equinor.com|https://www.equinor.com/careers|https://www.equinor.com/news
4|Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
