|||Uganda
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies Uganda|Oil & Gas Drilling|https://totalenergies.com.ug|https://totalenergies.com.ug/careers|https://totalenergies.com.ug/news
2|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|Heritage Oil|Oil & Gas Drilling|https://www.heritageoilltd.com|https://www.heritageoilltd.com/careers|https://www.heritageoilltd.com/news
4|CNOOC Uganda|Oil & Gas Drilling|http://www.cnoocug.com|http://www.cnoocug.com/careers|http://www.cnoocug.com/news
5|Oranto Petroleum|Oil & Gas Drilling|https://www.orantopetroleum.com|https://www.orantopetroleum.com/careers|https://www.orantopetroleum.com/news
6|Mogul Energy|Oil & Gas Drilling|https://www.mogulenergy.com|https://www.mogulenergy.com/careers|https://www.mogulenergy.com/news
7|Dewhurst|Oil & Gas Drilling|https://www.dewhurst.com|https://www.dewhurst.com/careers|https://www.dewhurst.com/news
8|Apex Oil|Oil & Gas Drilling|https://www.apexoil.com|https://www.apexoil.com/careers|https://www.apexoil.com/news
9|Petrocam|Oil & Gas Drilling|https://www.petrocam.com|https://www.petrocam.com/careers|https://www.petrocam.com/news
10|Lake Albert Oil|Oil & Gas Drilling|https://www.lakealbertoil.com|https://www.lakealbertoil.com/careers|https://www.lakealbertoil.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
8|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
9|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
10|CGG|Oil & Gas Equipment & Services|https://www.cgg.com|https://www.cgg.com/careers|https://www.cgg.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Tullow Oil|Integrated Oil & Gas|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|CNOOC Uganda|Integrated Oil & Gas|http://www.cnoocug.com|http://www.cnoocug.com/careers|http://www.cnoocug.com/news
4|Heritage Oil|Integrated Oil & Gas|https://www.heritageoilltd.com|https://www.heritageoilltd.com/careers|https://www.heritageoilltd.com/news
5|Oranto Petroleum|Integrated Oil & Gas|https://www.orantopetroleum.com|https://www.orantopetroleum.com/careers|https://www.orantopetroleum.com/news
6|Mogul Energy|Integrated Oil & Gas|https://www.mogulenergy.com|https://www.mogulenergy.com/careers|https://www.mogulenergy.com/news
7|Petrocam|Integrated Oil & Gas|https://www.petrocam.com|https://www.petrocam.com/careers|https://www.petrocam.com/news
8|Lake Albert Oil|Integrated Oil & Gas|https://www.lakealbertoil.com|https://www.lakealbertoil.com/careers|https://www.lakealbertoil.com/news
9|Apex Oil|Integrated Oil & Gas|https://www.apexoil.com|https://www.apexoil.com/careers|https://www.apexoil.com/news
10|Dewhurst|Integrated Oil & Gas|https://www.dewhurst.com|https://www.dewhurst.com/careers|https://www.dewhurst.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
2|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|CNOOC Uganda|Oil & Gas Exploration & Production|http://www.cnoocug.com|http://www.cnoocug.com/careers|http://www.cnoocug.com/news
4|Heritage Oil|Oil & Gas Exploration & Production|https://www.heritageoilltd.com|https://www.heritageoilltd.com/careers|https://www.heritageoilltd.com/news
5|Oranto Petroleum|Oil & Gas Exploration & Production|https://www.orantopetroleum.com|https://www.orantopetroleum.com/careers|https://www.orantopetroleum.com/news
6|Mogul Energy|Oil & Gas Exploration & Production|https://www.mogulenergy.com|https://www.mogulenergy.com/careers|https://www.mogulenergy.com/news
7|Lake Albert Oil|Oil & Gas Exploration & Production|https://www.lakealbertoil.com|https://www.lakealbertoil.com/careers|https://www.lakealbertoil.com/news
8|Petrocam|Oil & Gas Exploration & Production|https://www.petrocam.com|https://www.petrocam.com/careers|https://www.petrocam.com/news
