|||Zambia
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Zambia Drilling Company|Oil & Gas Drilling|https://www.zambiadrilling.com|https://www.zambiadrilling.com/careers|https://www.zambiadrilling.com/news
2|Zambian Oil Explorers|Oil & Gas Drilling|https://www.zambianoilexplorers.com|https://www.zambianoilexplorers.com/careers|https://www.zambianoilexplorers.com/news
3|Energy Solutions Zambia|Oil & Gas Drilling|https://www.energysolutionszambia.com|https://www.energysolutionszambia.com/careers|https://www.energysolutionszambia.com/news
4|Zambia Petroleum Services|Oil & Gas Drilling|https://www.zambiapetroleumservices.com|https://www.zambiapetroleumservices.com/careers|https://www.zambiapetroleumservices.com/news
5|Zambian Energy Works|Oil & Gas Drilling|https://www.zambianenergyworks.com|https://www.zambianenergyworks.com/careers|https://www.zambianenergyworks.com/news
6|DrillTech Zambia|Oil & Gas Drilling|https://www.drilltechzambia.com|https://www.drilltechzambia.com/careers|https://www.drilltechzambia.com/news
7|Zambia Hydrocarbon Services|Oil & Gas Drilling|https://www.zambiahydrocarbonservices.com|https://www.zambiahydrocarbonservices.com/careers|https://www.zambiahydrocarbonservices.com/news
8|PetroZed|Oil & Gas Drilling|https://www.petrozed.com|https://www.petrozed.com/careers|https://www.petrozed.com/news
9|Zambia Energy Exploration|Oil & Gas Drilling|https://www.zambiaenergyexploration.com|https://www.zambiaenergyexploration.com/careers|https://www.zambiaenergyexploration.com/news
10|Zambian Natural Resources|Oil & Gas Drilling|https://www.zambiannaturalresources.com|https://www.zambiannaturalresources.com/careers|https://www.zambiannaturalresources.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Zambia Oilfield Services|Oil & Gas Equipment & Services|https://www.zambiaoilfieldservices.com|https://www.zambiaoilfieldservices.com/careers|https://www.zambiaoilfieldservices.com/news
2|Zambian Energy Equipment|Oil & Gas Equipment & Services|https://www.zambianenergyequipment.com|https://www.zambianenergyequipment.com/careers|https://www.zambianenergyequipment.com/news
3|DrillPro Zambia|Oil & Gas Equipment & Services|https://www.drillprozambia.com|https://www.drillprozambia.com/careers|https://www.drillprozambia.com/news
4|Zambia Well Services|Oil & Gas Equipment & Services|https://www.zambiawellservices.com|https://www.zambiawellservices.com/careers|https://www.zambiawellservices.com/news
5|Petroleum Equipment Zambia|Oil & Gas Equipment & Services|https://www.petroleumequipmentzambia.com|https://www.petroleumequipmentzambia.com/careers|https://www.petroleumequipmentzambia.com/news
6|Zambia Oilfield Technologies|Oil & Gas Equipment & Services|https://www.zambiaoilfieldtechnologies.com|https://www.zambiaoilfieldtechnologies.com/careers|https://www.zambiaoilfieldtechnologies.com/news
7|Energy Services Zambia|Oil & Gas Equipment & Services|https://www.energyserviceszambia.com|https://www.energyserviceszambia.com/careers|https://www.energyserviceszambia.com/news
8|Zambia Rig Solutions|Oil & Gas Equipment & Services|https://www.zambiarigsolutions.com|https://www.zambiarigsolutions.com/careers|https://www.zambiarigsolutions.com/news
9|Zambian Drilling Equipment|Oil & Gas Equipment & Services|https://www.zambiandrillingequipment.com|https://www.zambiandrillingequipment.com/careers|https://www.zambiandrillingequipment.com/news
10|Zambia Oil & Gas Services|Oil & Gas Equipment & Services|https://www.zambiaoilgasservices.com|https://www.zambiaoilgasservices.com/careers|https://www.zambiaoilgasservices.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
