|||Zimbabwe
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sinopec Zimbabwe|Oil & Gas Drilling|https://www.sinopec.com|https://www.sinopec.com/careers|https://www.sinopec.com/news
2|Total Zimbabwe|Oil & Gas Drilling|https://www.total.com|https://www.total.com/careers|https://www.total.com/news
3|Shell Zimbabwe|Oil & Gas Drilling|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
4|Engen Zimbabwe|Oil & Gas Drilling|https://www.engen.co.zw|https://www.engen.co.zw/careers|https://www.engen.co.zw/news
5|Tullow Oil Zimbabwe|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
6|ExxonMobil Zimbabwe|Oil & Gas Drilling|https://www.exxonmobil.com|https://www.exxonmobil.com/careers|https://www.exxonmobil.com/news
7|Zimplats|Oil & Gas Drilling|https://www.zimplats.com|https://www.zimplats.com/careers|https://www.zimplats.com/news
8|African Exploration|Oil & Gas Drilling|https://www.aem.co.zw|https://www.aem.co.zw/careers|https://www.aem.co.zw/news
9|NOC Zimbabwe|Oil & Gas Drilling|https://www.noc.co.zw|https://www.noc.co.zw/careers|https://www.noc.co.zw/news
10|Petrotrade|Oil & Gas Drilling|https://www.petrotrade.co.zw|https://www.petrotrade.co.zw/careers|https://www.petrotrade.co.zw/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger Zimbabwe|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton Zimbabwe|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes Zimbabwe|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford Zimbabwe|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions Zimbabwe|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|Petrofac Zimbabwe|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
8|Saipem Zimbabwe|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|Kentz|Oil & Gas Equipment & Services|https://www.kentz.com|https://www.kentz.com/careers|https://www.kentz.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|ZimOil|Integrated Oil & Gas|https://www.zimoil.co.zw|https://www.zimoil.co.zw/careers|https://www.zimoil.co.zw/news
