|||Congo (Brazzaville)
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Eni|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media
3|Perenco|Oil & Gas Drilling|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Cairn Energy|Oil & Gas Drilling|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
5|Vaalco Energy|Oil & Gas Drilling|https://www.vaalco.com|https://www.vaalco.com/careers|https://www.vaalco.com/news
6|FAR Ltd|Oil & Gas Drilling|https://www.far.com.au|https://www.far.com.au/careers|https://www.far.com.au/news
7|Seplat Energy|Oil & Gas Drilling|https://seplatenergy.com|https://seplatenergy.com/careers|https://seplatenergy.com/news
8|Kosmos Energy|Oil & Gas Drilling|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
9|Anadarko Petroleum|Oil & Gas Drilling|https://www.anadarko.com|https://www.anadarko.com/careers|https://www.anadarko.com/news
10|Noble Energy|Oil & Gas Drilling|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
7|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
3|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
4|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
5|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media
6|Cairn Energy|Integrated Oil & Gas|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
7|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
9|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
10|Oxy|Integrated Oil & Gas|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news

|||Oil & gas exploration & production
