|||Burundi
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Burundi Oil Exploration|Oil & Gas Drilling|https://www.burundioilexploration.bi|https://www.burundioilexploration.bi/careers|https://www.burundioilexploration.bi/news
2|Burundi Drilling Services|Oil & Gas Drilling|https://www.burundidrilling.bi|https://www.burundidrilling.bi/careers|https://www.burundidrilling.bi/news
3|Burundi Energy Solutions|Oil & Gas Drilling|https://www.burundienergysolutions.bi|https://www.burundienergysolutions.bi/careers|https://www.burundienergysolutions.bi/news
4|Great Lakes Drilling|Oil & Gas Drilling|https://www.greatlakesdrilling.bi|https://www.greatlakesdrilling.bi/careers|https://www.greatlakesdrilling.bi/news
5|Burundi Petroleum Services|Oil & Gas Drilling|https://www.burundipetroleum.bi|https://www.burundipetroleum.bi/careers|https://www.burundipetroleum.bi/news
6|Eco Drillers Burundi|Oil & Gas Drilling|https://www.ecodrillers.bi|https://www.ecodrillers.bi/careers|https://www.ecodrillers.bi/news
7|Burundi Hydrocarbon Ventures|Oil & Gas Drilling|https://www.burundihydrocarbonventures.bi|https://www.burundihydrocarbonventures.bi/careers|https://www.burundihydrocarbonventures.bi/news
8|African Drilling Company|Oil & Gas Drilling|https://www.africandrilling.bi|https://www.africandrilling.bi/careers|https://www.africandrilling.bi/news
9|Burundi Oilfield Services|Oil & Gas Drilling|https://www.burundioilfieldservices.bi|https://www.burundioilfieldservices.bi/careers|https://www.burundioilfieldservices.bi/news
10|Burundi Energy Corp|Oil & Gas Drilling|https://www.burundienergycorp.bi|https://www.burundienergycorp.bi/careers|https://www.burundienergycorp.bi/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Burundi Oilfield Equipment|Oil & Gas Equipment & Services|https://www.burundioilfieldequipment.bi|https://www.burundioilfieldequipment.bi/careers|https://www.burundioilfieldequipment.bi/news
2|Burundi Energy Services|Oil & Gas Equipment & Services|https://www.burundienergyservices.bi|https://www.burundienergyservices.bi/careers|https://www.burundienergyservices.bi/news
3|Great Lakes Equipment|Oil & Gas Equipment & Services|https://www.greatlakesequipment.bi|https://www.greatlakesequipment.bi/careers|https://www.greatlakesequipment.bi/news
4|Burundi Drilling Equipment|Oil & Gas Equipment & Services|https://www.burundidrillingequipment.bi|https://www.burundidrillingequipment.bi/careers|https://www.burundidrillingequipment.bi/news
5|Eco Energy Solutions|Oil & Gas Equipment & Services|https://www.ecoenergysolutions.bi|https://www.ecoenergysolutions.bi/careers|https://www.ecoenergysolutions.bi/news
6|Burundi Oil Services|Oil & Gas Equipment & Services|https://www.burundioilservices.bi|https://www.burundioilservices.bi/careers|https://www.burundioilservices.bi/news
7|African Energy Equipment|Oil & Gas Equipment & Services|https://www.africanenergyequipment.bi|https://www.africanenergyequipment.bi/careers|https://www.africanenergyequipment.bi/news
8|Burundi Petroleum Equipment|Oil & Gas Equipment & Services|https://www.burundipetroleumequipment.bi|https://www.burundipetroleumequipment.bi/careers|https://www.burundipetroleumequipment.bi/news
9|Burundi Well Services|Oil & Gas Equipment & Services|https://www.burundiwellservices.bi|https://www.burundiwellservices.bi/careers|https://www.burundiwellservices.bi/news
10|Burundi Energy Equipment|Oil & Gas Equipment & Services|https://www.burundienergyequipment.bi|https://www.burundienergyequipment.bi/careers|https://www.burundienergyequipment.bi/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Burundi Integrated Oil|Integrated Oil & Gas|https://www.burundiintegratedoil.bi|https://www.burundiintegratedoil.bi/careers|https://www.burundiintegratedoil.bi/news
2|Burundi Oil & Gas Corp|Integrated Oil & Gas|https://www.burundioilandgas.bi|https://www.burundioilandgas.bi/careers|https://www.burundioilandgas.bi/news
3|Great Lakes Oil|Integrated Oil & Gas|https://www.greatlakesoil.bi|https://www.greatlakesoil.bi/careers|https://www.greatlakesoil.bi/news
4|Burundi Energy Holdings|Integrated Oil & Gas|https://www.burundienergyholdings.bi|https://www.burundienergyholdings.bi/careers|https://www.burundienergyholdings.bi/news
5|Burundi Petroleum Group|Integrated Oil & Gas|https://www.burundipetroleumgroup.bi|https://www.burundipetroleumgroup.bi/careers|https://www.burundipetroleumgroup.bi/news
6|African Integrated Energy|Integrated Oil & Gas|https://www.africanintegratedenergy.bi|https://www.africanintegratedenergy.bi/careers|https://www.africanintegratedenergy.bi/news
7|Burundi Oil Refinery|Integrated Oil & Gas|https://www.burundioilrefinery.bi|https://www.burundioilrefinery.bi/careers|https://www.burundioilrefinery.bi/news
8|Burundi Gas & Oil|Integrated Oil & Gas|https://www.burundigasandoil.bi|https://www.burundigasandoil.bi/careers|https://www.burundigasandoil.bi/news
9|Burundi Energy Solutions|Integrated Oil & Gas|https://www.burundienergysolutions.bi|https://www.burundienergysolutions.bi/careers|https://www.burundienergysolutions.bi/news
10|Burundi Oil Ventures|Integrated Oil & Gas|https://www.burundioilventures.bi|https://www.burundioilventures.bi/careers|https://www.burundioilventures.bi/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Burundi Oil Exploration|Oil & Gas Exploration & Production|https://www.burundioilexploration.bi|https://www.burundioilexploration.bi/careers|https://www.burundioilexploration.bi/news
2|Burundi Petroleum Exploration|Oil & Gas Exploration & Production|https://www.burundipetroleumexploration.bi|https://www.burundipetroleumexploration.bi/careers|https://www.burundipetroleumexploration.bi/news
3|Great Lakes Exploration|Oil & Gas Exploration & Production|https://www.greatlakesexploration.bi|https://www.greatlakesexploration.bi/careers|https://www.greatlakesexploration.bi/news
4|Burundi Energy Exploration|Oil & Gas Exploration & Production|https://www.burundienergyexploration.bi|https://www.burundienergyexploration.bi/careers|https://www.burundienergyexploration.bi/news
