|||Cameroon
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Perenco|Oil & Gas Drilling|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
2|Société Nationale des Hydrocarbures (SNH)|Oil & Gas Drilling|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
3|Addax Petroleum|Oil & Gas Drilling|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
4|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
5|Cameron LNG|Oil & Gas Drilling|https://www.cameronlng.com|https://www.cameronlng.com/careers|https://www.cameronlng.com/news
6|Niger Delta Petroleum Resources|Oil & Gas Drilling|http://www.ndpr.com.ng|http://www.ndpr.com.ng/careers|http://www.ndpr.com.ng/news
7|Seplat Petroleum|Oil & Gas Drilling|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
8|Eland Oil & Gas|Oil & Gas Drilling|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news
9|Oando|Oil & Gas Drilling|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
10|Heritage Oil|Oil & Gas Drilling|http://www.heritageoilltd.com|http://www.heritageoilltd.com/careers|http://www.heritageoilltd.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Société Nationale des Hydrocarbures (SNH)|Integrated Oil & Gas|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
3|Perenco|Integrated Oil & Gas|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Addax Petroleum|Integrated Oil & Gas|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
5|Oando|Integrated Oil & Gas|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
6|Seplat Petroleum|Integrated Oil & Gas|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
7|Heritage Oil|Integrated Oil & Gas|http://www.heritageoilltd.com|http://www.heritageoilltd.com/careers|http://www.heritageoilltd.com/news
8|Niger Delta Petroleum Resources|Integrated Oil & Gas|http://www.ndpr.com.ng|http://www.ndpr.com.ng/careers|http://www.ndpr.com.ng/news
9|Cameron LNG|Integrated Oil & Gas|https://www.cameronlng.com|https://www.cameronlng.com/careers|https://www.cameronlng.com/news
10|Eland Oil & Gas|Integrated Oil & Gas|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Perenco|Oil & Gas Exploration & Production|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
2|Société Nationale des Hydrocarbures (SNH)|Oil & Gas Exploration & Production|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
3|Addax Petroleum|Oil & Gas Exploration & Production|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
4|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
5|Niger Delta Petroleum Resources|Oil & Gas Exploration & Production|http://www.ndpr.com.ng|http://www.ndpr.com.ng/careers|http://www.ndpr.com.ng/news
6|Seplat Petroleum|Oil & Gas Exploration & Production|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
7|Heritage Oil|Oil & Gas Exploration & Production|http://www.heritageoilltd.com|http://www.heritageoilltd.com/careers|http://www.heritageoilltd.com/news
8|Oando|Oil & Gas Exploration & Production|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
9|Cameron LNG|Oil & Gas Exploration & Production|https://www.cameronlng.com|https://www.cameronlng.com/careers|https://www.cameronlng.com/news
10|Eland Oil & Gas|Oil & Gas Exploration & Production|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonara|Oil & Gas Refining & Marketing|http://www.sonara.cm|http://www.sonara.cm/careers|http://www.sonara.cm/news
2|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Oando|Oil & Gas Refining & Marketing|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
4|Perenco|Oil & Gas Refining & Marketing|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
5|Addax Petroleum|Oil & Gas Refining & Marketing|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
6|Niger Delta Petroleum Resources|Oil & Gas Refining & Marketing|http://www.ndpr.com.ng|http://www.ndpr.com.ng/careers|http://www.ndpr.com.ng/news
7|Seplat Petroleum|Oil & Gas Refining & Marketing|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
8|Heritage Oil|Oil & Gas Refining & Marketing|http://www.heritageoilltd.com|http://www.heritageoilltd.com/careers|http://www.heritageoilltd.com/news
9|Cameron LNG|Oil & Gas Refining & Marketing|https://www.cameronlng.com|https://www.cameronlng.com/careers|https://www.cameronlng.com/news
10|Eland Oil & Gas|Oil & Gas Refining & Marketing|https://www.elandog.com|https://www.elandog.com/careers|https://www.elandog.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Nationale des Hydrocarbures (SNH)|Oil & Gas Storage & Transportation|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
2|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Perenco|Oil & Gas Storage & Transportation|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Oando|Oil & Gas Storage & Transportation|https://oandoplc.com|https://oandoplc.com/careers|https://oandoplc.com/news
5|Addax Petroleum|Oil & Gas Storage & Transportation|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
6|Niger Delta Petroleum Resources|Oil & Gas Storage & Transportation|http://www.ndpr.com.ng|http://www.ndpr.com.ng/careers|http://www.ndpr.com.ng/news
7|Seplat Petroleum|Oil & Gas Storage & Transportation|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
8|Heritage Oil|Oil & Gas Storage & Transportation|http://www.heritageoilltd.com|http://www.heritageoilltd.com/careers|http://www.heritageoilltd.com/news
