|||Jamaica
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrojam Limited|Oil & Gas Drilling|https://www.petrojam.com|https://www.petrojam.com/careers|https://www.petrojam.com/news
2|Jamaica Oil Refining Company|Oil & Gas Drilling|https://www.jorc.com|https://www.jorc.com/careers|https://www.jorc.com/news
3|National Oil Company of Jamaica|Oil & Gas Drilling|https://www.nocjamaica.com|https://www.nocjamaica.com/careers|https://www.nocjamaica.com/news
4|Jamaica Gasoline Retailers Association|Oil & Gas Drilling|https://www.jgra.com|https://www.jgra.com/careers|https://www.jgra.com/news
5|Total Jamaica|Oil & Gas Drilling|https://www.total.com.jm|https://www.total.com.jm/careers|https://www.total.com.jm/news
6|Texaco Jamaica|Oil & Gas Drilling|https://www.texaco.com.jm|https://www.texaco.com.jm/careers|https://www.texaco.com.jm/news
7|Shell Jamaica|Oil & Gas Drilling|https://www.shell.com.jm|https://www.shell.com.jm/careers|https://www.shell.com.jm/news
8|Jamaica Energy Partners|Oil & Gas Drilling|https://www.jamaicaenergypartners.com|https://www.jamaicaenergypartners.com/careers|https://www.jamaicaenergypartners.com/news
9|Caribbean Energy|Oil & Gas Drilling|https://www.caribbeanenergy.com|https://www.caribbeanenergy.com/careers|https://www.caribbeanenergy.com/news
10|WIOC (West Indies Oil Company)|Oil & Gas Drilling|https://www.wioc.com|https://www.wioc.com/careers|https://www.wioc.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Jamaica Oilfield Services|Oil & Gas Equipment & Services|https://www.jamaicaoilfieldservices.com|https://www.jamaicaoilfieldservices.com/careers|https://www.jamaicaoilfieldservices.com/news
2|Caribbean Equipment|Oil & Gas Equipment & Services|https://www.caribbeanequipment.com|https://www.caribbeanequipment.com/careers|https://www.caribbeanequipment.com/news
3|Petroservices Jamaica|Oil & Gas Equipment & Services|https://www.petroservicesjamaica.com|https://www.petroservicesjamaica.com/careers|https://www.petroservicesjamaica.com/news
4|Jamaica Drilling Company|Oil & Gas Equipment & Services|https://www.jamaicadrilling.com|https://www.jamaicadrilling.com/careers|https://www.jamaicadrilling.com/news
5|Energy Solutions Jamaica|Oil & Gas Equipment & Services|https://www.energysolutionsjamaica.com|https://www.energysolutionsjamaica.com/careers|https://www.energysolutionsjamaica.com/news
6|Jamaica Rig Services|Oil & Gas Equipment & Services|https://www.jamaicarigservices.com|https://www.jamaicarigservices.com/careers|https://www.jamaicarigservices.com/news
7|Offshore Equipment Jamaica|Oil & Gas Equipment & Services|https://www.offshoreequipmentjamaica.com|https://www.offshoreequipmentjamaica.com/careers|https://www.offshoreequipmentjamaica.com/news
8|Jamaica Well Services|Oil & Gas Equipment & Services|https://www.jamaicawellservices.com|https://www.jamaicawellservices.com/careers|https://www.jamaicawellservices.com/news
9|DrillTech Jamaica|Oil & Gas Equipment & Services|https://www.drilltechjamaica.com|https://www.drilltechjamaica.com/careers|https://www.drilltechjamaica.com/news
10|Jamaica Energy Equipment|Oil & Gas Equipment & Services|https://www.jamaicaenergyequipment.com|https://www.jamaicaenergyequipment.com/careers|https://www.jamaicaenergyequipment.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrojam Limited|Integrated Oil & Gas|https://www.petrojam.com|https://www.petrojam.com/careers|https://www.petrojam.com/news
2|Jamaica Oil Refining Company|Integrated Oil & Gas|https://www.jorc.com|https://www.jorc.com/careers|https://www.jorc.com/news
3|National Oil Company of Jamaica|Integrated Oil & Gas|https://www.nocjamaica.com|https://www.nocjamaica.com/careers|https://www.nocjamaica.com/news
4|Total Jamaica|Integrated Oil & Gas|https://www.total.com.jm|https://www.total.com.jm/careers|https://www.total.com.jm/news
5|Texaco Jamaica|Integrated Oil & Gas|https://www.texaco.com.jm|https://www.texaco.com.jm/careers|https://www.texaco.com.jm/news
6|Shell Jamaica|Integrated Oil & Gas|https://www.shell.com.jm|https://www.shell.com.jm/careers|https://www.shell.com.jm/news
7|Jamaica Gasoline Retailers Association|Integrated Oil & Gas|https://www.jgra.com|https://www.jgra.com/careers|https://www.jgra.com/news
8|WIOC (West Indies Oil Company)|Integrated Oil & Gas|https://www.wioc.com|https://www.wioc.com/careers|https://www.wioc.com/news
9|Jamaica Energy Partners|Integrated Oil & Gas|https://www.jamaicaenergypartners.com|https://www.jamaicaenergypartners.com/careers|https://www.jamaicaenergypartners.com/news
10|Caribbean Energy|Integrated Oil & Gas|https://www.caribbeanenergy.com|https://www.caribbeanenergy.com/careers|https://www.caribbeanenergy.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrojam Limited|Oil & Gas Exploration & Production|https://www.petrojam.com|https://www.petrojam.com/careers|https://www.petrojam.com/news
