|||Panama
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroamazonas|Oil & Gas Drilling|https://www.petroamazonas.com|https://www.petroamazonas.com/careers|https://www.petroamazonas.com/news
2|OXY|Oil & Gas Drilling|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news
3|Repsol|Oil & Gas Drilling|https://www.repsol.com|https://www.repsol.com/careers|https://www.repsol.com/en/media/news
4|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
5|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
6|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
7|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
8|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
9|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
10|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|Cameron|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://news.exxonmobil.com
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
3|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases
4|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
5|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/sustainability/news
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enipedia/en/careers.html|https://www.eni.com/en-IT/media.html
7|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media/news
9|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
10|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroamazonas|Oil & Gas Exploration & Production|https://www.petroamazonas.com|https://www.petroamazonas.com/careers|https://www.petroamazonas.com/news
2|OXY|Oil & Gas Exploration & Production|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news
3|Repsol|Oil & Gas Exploration & Production|https://www.repsol.com|https://www.repsol.com/careers|https://www.repsol.com/en/media/news
4|Petrobras|Oil & Gas Exploration & Production|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
5|Ecopetrol|Oil & Gas Exploration & Production|https://www.ecopetrol.com.co|https://www.ecopetrol.com.co/en/careers|https://www.ecopetrol.com.co/en/news
6|Gran Tierra Energy|Oil & Gas Exploration & Production|https://www.grantierra.com|https://www.grantierra.com/careers|https://www.grantierra.com/news
7|Frontera Energy|Oil & Gas Exploration & Production|https://www.fronteraenergy.ca|https://www.fronteraenergy.ca/careers|https://www.fronteraenergy.ca/news
8|Pacific Exploration & Production|Oil & Gas Exploration & Production|https://www.pacificenergy.ca|https://www.pacificenergy.ca/careers|https://www.pacificenergy.ca/news
9|Canacol Energy|Oil & Gas Exploration & Production|https://www.canacolenergy.com|https://www.canacolenergy.com/careers|https://www.canacolenergy.com/news
10|Copa Energy|Oil & Gas Exploration & Production|https://www.copaenergy.com|https://www.copaenergy.com/careers|https://www.copaenergy.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Panama Refining Company|Oil & Gas Refining & Marketing|https://www.panamarefining.com|https://www.panamarefining.com/careers|https://www.panamarefining.com/news
2|Petrobras|Oil & Gas Refining & Marketing|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
3|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/careers|https://www.repsol.com/en/media/news
4|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
5|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media/news-and-media-releases
6|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/sustainability/news
7|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/en/careers|https://www.valero.com/en/news
8|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
9|PBF Energy|Oil & Gas Refining & Marketing|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TransCanada|Oil & Gas Storage & Transportation|https://www.transcanada.com|https://www.transcanada.com/careers|https://www.transcanada.com/news
2|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
3|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
4|Magellan Midstream Partners|Oil & Gas Storage & Transportation|https://www.magellanlp.com|https://www.magellanlp.com/careers|https://www.magellanlp.com/news
5|Plains All American|Oil & Gas Storage & Transportation|https://www.plainsallamerican.com|https://www.plainsallamerican.com/careers|https://www.plainsallamerican.com/news
6|Williams Companies|Oil & Gas Storage & Transportation|https://www.williams.com|https://www.williams.com/careers|https://www.williams.com/news
7|ONEOK|Oil & Gas Storage & Transportation|https://www.oneok.com|https://www.oneok.com/careers|https://www.oneok.com/news
8|TC Energy|Oil & Gas Storage & Transportation|https://www.tcenergy.com|https://www.tcenergy.com/careers|https://www.tcenergy.com/news
9|Buckeye Partners|Oil & Gas Storage & Transportation|https://www.buckeye.com|https://www.buckeye.com/careers|https://www.buckeye.com/news
10|Crestwood Equity Partners|Oil & Gas Storage & Transportation|https://www.crestwoodlp.com|https://www.crestwoodlp.com/careers|https://www.crestwoodlp.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cerro Colorado|Coal & Consumable Fuels|https://www.cerrocolorado.com|https://www.cerrocolorado.com/careers|https://www.cerrocolorado.com/news
2|Minera Panama|Coal & Consumable Fuels|https://www.minerapanama.com|https://www.minerapanama.com/careers|https://www.minerapanama.com/news
3|Panama Coal Company|Coal & Consumable Fuels|https://www.panamacoal.com|https://www.panamacoal.com/careers|https://www.panamacoal.com/news
4|Carbones de la Jagua|Coal & Consumable Fuels|https://www.carbonesdelajagua.com|https://www.carbonesdelajagua.com/careers|https://www.carbonesdelajagua.com/news
5|Cia. Minera del Caribe|Coal & Consumable Fuels|https://www.ciamineradelcaribe.com|https://www.ciamineradelcaribe.com/careers|https://www.ciamineradelcaribe.com/news
6|Coal Panama|Coal & Consumable Fuels|https://www.coalpanama.com|https://www.coalpanama.com/careers|https://www.coalpanama.com/news
7|Minas de Oro|Coal & Consumable Fuels|https://www.minasdeoro.com|https://www.minasdeoro.com/careers|https://www.minasdeoro.com/news
8|Panama Coal Mining|Coal & Consumable Fuels|https://www.panamacoalmining.com|https://www.panamacoalmining.com/careers|https://www.panamacoalmining.com/news
9|Carbones de Panama|Coal & Consumable Fuels|https://www.carbonesdepanama.com|https://www.carbonesdepanama.com/careers|https://www.carbonesdepanama.com/news
10|Grupo Minero|Coal & Consumable Fuels|https://www.grupominero.com|https://www.grupominero.com/careers|https://www.grupominero.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Industrias Químicas de Panamá|Chemicals|https://www.iqpanama.com|https://www.iqpanama.com/careers|https://www.iqpanama.com/news
2|Química del Istmo|Chemicals|https://www.quimicadelistmo.com|https://www.quimicadelistmo.com/careers|https://www.quimicadelistmo.com/news
3|Panama Chemical Company|Chemicals|https://www.panamachemical.com|https://www.panamachemical.com/careers|https://www.panamachemical.com/news
4|Productos Químicos de Panamá|Chemicals|https://www.productosquimicos.com|https://www.productosquimicos.com/careers|https://www.productosquimicos.com/news
5|Química y Plásticos|Chemicals|https://www.quimicayplasticos.com|https://www.quimicayplasticos.com/careers|https://www.quimicayplasticos.com/news
6|Fertilizantes de Panamá|Chemicals|https://www.fertilizantespanama.com|https://www.fertilizantespanama.com/careers|https://www.fertilizantespanama.com/news
7|Soluciones Químicas|Chemicals|https://www.solucionesquimicas.com|https://www.solucionesquimicas.com/careers|https://www.solucionesquimicas.com/news
8|Química del Caribe|Chemicals|https://www.quimicadelcaribe.com|https://www.quimicadelcaribe.com/careers|https://www.quimicadelcaribe.com/news
9|Innovaciones Químicas|Chemicals|https://www.innovacionesquimicas.com|https://www.innovacionesquimicas.com/careers|https://www.innovacionesquimicas.com/news
10|Grupo Químico|Chemicals|https://www.grupoquimico.com|https://www.grupoquimico.com/careers|https://www.grupoquimico.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Compañía Química de Panamá|Commodity Chemicals|https://www.cqp.com.pa|https://www.cqp.com.pa/careers|https://www.cqp.com.pa/news
2|Panama Commodities|Commodity Chemicals|https://www.panamacommodities.com|https://www.panamacommodities.com/careers|https://www.panamacommodities.com/news
3|Químicos del Istmo|Commodity Chemicals|https://www.quimicosdelistmo.com|https://www.quimicosdelistmo.com/careers|https://www.quimicosdelistmo.com/news
4|Fertilizantes y Químicos|Commodity Chemicals|https://www.fertilizantesyquimicos.com|https://www.fertilizantesyquimicos.com/careers|https://www.fertilizantesyquimicos.com/news
5|Industrias Químicas de Panamá|Commodity Chemicals|https://www.iqpanama.com|https://www.iqpanama.com/careers|https://www.iqpanama.com/news
6|Química y Fertilizantes|Commodity Chemicals|https://www.quimicayfertilizantes.com|https://www.quimicayfertilizantes.com/careers|https://www.quimicayfertilizantes.com/news
7|Soluciones Químicas de Panamá|Commodity Chemicals|https://www.solucionesquimicas.com|https://www.solucionesquimicas.com/careers|https://www.solucionesquimicas.com/news
8|Grupo Químico de Panamá|Commodity Chemicals|https://www.grupoquimicopanama.com|https://www.grupoquimicopanama.com/careers|https://www.grupoquimicopanama.com/news
9|Química del Caribe|Commodity Chemicals|https://www.quimicadelcaribe.com|https://www.quimicadelcaribe.com/careers|https://www.quimicadelcaribe.com/news
10|Panama Chemical Solutions|Commodity Chemicals|https://www.panamachemicalsolutions.com|https://www.panamachemicalsolutions.com/careers|https://www.panamachemicalsolutions.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Químicos Diversificados de Panamá|Diversified Chemicals|https://www.qdp.com.pa|https://www.qdp.com.pa/careers|https://www.qdp.com.pa/news
2|Industrias Químicas Diversificadas|Diversified Chemicals|https://www.iqd.com.pa|https://www.iqd.com.pa/careers|https://www.iqd.com.pa/news
3|Soluciones Químicas Integrales|Diversified Chemicals|https://www.sqi.com.pa|https://www.sqi.com.pa/careers|https://www.sqi.com.pa/news
4|Grupo Químico Diversificado|Diversified Chemicals|https://www.gqd.com.pa|https://www.gqd.com.pa/careers|https://www.gqd.com.pa/news
5|Panama Chemical Innovations|Diversified Chemicals|https://www.pci.com.pa|https://www.pci.com.pa/careers|https://www.pci.com.pa/news
6|Química y Soluciones|Diversified Chemicals|https://www.qys.com.pa|https://www.qys.com.pa/careers|https://www.qys.com.pa/news
7|Fertilizantes y Químicos Diversificados|Diversified Chemicals|https://www.fqd.com.pa|https://www.fqd.com.pa/careers|https://www.fqd.com.pa/news
8|Compañía Química Diversificada|Diversified Chemicals|https://www.cqd.com.pa|https://www.cqd.com.pa/careers|https://www.cqd.com.pa/news
9|Innovaciones Químicas|Diversified Chemicals|https://www.innovacionesquimicas.com.pa|https://www.innovacionesquimicas.com.pa/careers|https://www.innovacionesquimicas.com.pa/news
10|Química del Istmo Diversificada|Diversified Chemicals|https://www.qid.com.pa|https://www.qid.com.pa/careers|https://www.qid.com.pa/news

|||Fertilizers & agricultural chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Fertilizantes de Panamá|Fertilizers & Agricultural Chemicals|https://www.fertilizantespanama.com|https://www.fertilizantespanama.com/careers|https://www.fertilizantespanama.com/news
