|||ghana
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
2|Kosmos Energy|Oil & Gas Drilling|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|GNPC|Oil & Gas Drilling|https://www.gnpcghana.com|https://www.gnpcghana.com/careers|https://www.gnpcghana.com/news
4|PetroSA|Oil & Gas Drilling|https://www.petrosa.com|https://www.petrosa.com/careers|https://www.petrosa.com/news
5|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
6|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
7|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
8|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
9|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
10|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
8|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Ghana National Petroleum Corporation|Integrated Oil & Gas|https://www.gnpcghana.com|https://www.gnpcghana.com/careers|https://www.gnpcghana.com/news
2|Tullow Oil|Integrated Oil & Gas|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
3|Kosmos Energy|Integrated Oil & Gas|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
4|Eni Ghana|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en-IT/careers|https://www.eni.com/en-IT/media
5|PetroSA|Integrated Oil & Gas|https://www.petrosa.com|https://www.petrosa.com/careers|https://www.petrosa.com/news
6|Vivo Energy|Integrated Oil & Gas|https://www.vivoenergy.com|https://www.vivoenergy.com/careers|https://www.vivoenergy.com/news
7|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
8|Oando|Integrated Oil & Gas|https://www.oandoplc.com|https://www.oandoplc.com/careers|https://www.oandoplc.com/news
9|Shell Ghana|Integrated Oil & Gas|https://www.shell.com.gh|https://www.shell.com.gh/careers|https://www.shell.com.gh/news
10|Aker Energy|Integrated Oil & Gas|https://www.akerenergy.com|https://www.akerenergy.com/careers|https://www.akerenergy.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
2|Kosmos Energy|Oil & Gas Exploration & Production|https://www.kosmosenergy.com|https://www.kosmosenergy.com/careers|https://www.kosmosenergy.com/news
3|Ghana National Petroleum Corporation|Oil & Gas Exploration & Production|https://www.gnpcghana.com|https://www.gnpcghana.com/careers|https://www.gnpcghana.com/news
4|Eni Ghana|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/en-IT/careers|https://www.eni.com/en-IT/media
5|Aker Energy|Oil & Gas Exploration & Production|https://www.akerenergy.com|https://www.akerenergy.com/careers|https://www.akerenergy.com/news
6|PetroSA|Oil & Gas Exploration & Production|https://www.petrosa.com|https://www.petrosa.com/careers|https://www.petrosa.com/news
7|Vivo Energy|Oil & Gas Exploration & Production|https://www.vivoenergy.com|https://www.vivoenergy.com/careers|https://www.vivoenergy.com/news
8|Oando|Oil & Gas Exploration & Production|https://www.oandoplc.com|https://www.oandoplc.com/careers|https://www.oandoplc.com/news
