|||Cameroon
|||Energy Sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Oil & Gas Drilling|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|Addax Petroleum|Oil & Gas Drilling|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
4|Niger Delta Petroleum Resources|Oil & Gas Drilling|http://www.ndpr.com|http://www.ndpr.com/careers|http://www.ndpr.com/news
5|Société Nationale des Hydrocarbures|Oil & Gas Drilling|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
6|Cameroon Oil Transportation Company|Oil & Gas Drilling|http://www.cotco.cm|http://www.cotco.cm/careers|http://www.cotco.cm/news
7|Eland Oil & Gas|Oil & Gas Drilling|http://www.elandog.com|http://www.elandog.com/careers|http://www.elandog.com/news
8|Seplat Petroleum|Oil & Gas Drilling|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
9|Cobalt International Energy|Oil & Gas Drilling|http://www.cobaltintl.com|http://www.cobaltintl.com/careers|http://www.cobaltintl.com/news
10|Heritage Oil|Oil & Gas Drilling|http://www.heritageoilplc.com|http://www.heritageoilplc.com/careers|http://www.heritageoilplc.com/news
|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
9|Kentz|Oil & Gas Equipment & Services|https://www.kentz.com|https://www.kentz.com/careers|https://www.kentz.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Integrated Oil & Gas|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|Addax Petroleum|Integrated Oil & Gas|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
4|Société Nationale des Hydrocarbures|Integrated Oil & Gas|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
5|Cameroon Oil Transportation Company|Integrated Oil & Gas|http://www.cotco.cm|http://www.cotco.cm/careers|http://www.cotco.cm/news
6|Astra Oil|Integrated Oil & Gas|http://www.astraoil.com|http://www.astraoil.com/careers|http://www.astraoil.com/news
7|Niger Delta Petroleum Resources|Integrated Oil & Gas|http://www.ndpr.com|http://www.ndpr.com/careers|http://www.ndpr.com/news
8|Eland Oil & Gas|Integrated Oil & Gas|http://www.elandog.com|http://www.elandog.com/careers|http://www.elandog.com/news
9|Heritage Oil|Integrated Oil & Gas|http://www.heritageoilplc.com|http://www.heritageoilplc.com/careers|http://www.heritageoilplc.com/news
10|Seplat Petroleum|Integrated Oil & Gas|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Perenco|Oil & Gas Exploration & Production|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
3|Addax Petroleum|Oil & Gas Exploration & Production|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
4|Société Nationale des Hydrocarbures|Oil & Gas Exploration & Production|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
5|Niger Delta Petroleum Resources|Oil & Gas Exploration & Production|http://www.ndpr.com|http://www.ndpr.com/careers|http://www.ndpr.com/news
6|Cameroon Oil Transportation Company|Oil & Gas Exploration & Production|http://www.cotco.cm|http://www.cotco.cm/careers|http://www.cotco.cm/news
7|Eland Oil & Gas|Oil & Gas Exploration & Production|http://www.elandog.com|http://www.elandog.com/careers|http://www.elandog.com/news
8|Heritage Oil|Oil & Gas Exploration & Production|http://www.heritageoilplc.com|http://www.heritageoilplc.com/careers|http://www.heritageoilplc.com/news
9|Seplat Petroleum|Oil & Gas Exploration & Production|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
10|Astra Oil|Oil & Gas Exploration & Production|http://www.astraoil.com|http://www.astraoil.com/careers|http://www.astraoil.com/news
|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Sonara|Oil & Gas Refining & Marketing|http://www.sonara.cm|http://www.sonara.cm/careers|http://www.sonara.cm/news
2|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Perenco|Oil & Gas Refining & Marketing|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Socap|Oil & Gas Refining & Marketing|http://www.socap.cm|http://www.socap.cm/careers|http://www.socap.cm/news
5|Astra Oil|Oil & Gas Refining & Marketing|http://www.astraoil.com|http://www.astraoil.com/careers|http://www.astraoil.com/news
6|Cameroon Oil Transportation Company|Oil & Gas Refining & Marketing|http://www.cotco.cm|http://www.cotco.cm/careers|http://www.cotco.cm/news
7|Niger Delta Petroleum Resources|Oil & Gas Refining & Marketing|http://www.ndpr.com|http://www.ndpr.com/careers|http://www.ndpr.com/news
8|Heritage Oil|Oil & Gas Refining & Marketing|http://www.heritageoilplc.com|http://www.heritageoilplc.com/careers|http://www.heritageoilplc.com/news
9|Seplat Petroleum|Oil & Gas Refining & Marketing|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
10|Addax Petroleum|Oil & Gas Refining & Marketing|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cameroon Oil Transportation Company|Oil & Gas Storage & Transportation|http://www.cotco.cm|http://www.cotco.cm/careers|http://www.cotco.cm/news
2|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
3|Perenco|Oil & Gas Storage & Transportation|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Société Nationale des Hydrocarbures|Oil & Gas Storage & Transportation|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
5|Astra Oil|Oil & Gas Storage & Transportation|http://www.astraoil.com|http://www.astraoil.com/careers|http://www.astraoil.com/news
6|Niger Delta Petroleum Resources|Oil & Gas Storage & Transportation|http://www.ndpr.com|http://www.ndpr.com/careers|http://www.ndpr.com/news
7|Heritage Oil|Oil & Gas Storage & Transportation|http://www.heritageoilplc.com|http://www.heritageoilplc.com/careers|http://www.heritageoilplc.com/news
8|Seplat Petroleum|Oil & Gas Storage & Transportation|https://seplatpetroleum.com|https://seplatpetroleum.com/careers|https://seplatpetroleum.com/news
9|Addax Petroleum|Oil & Gas Storage & Transportation|https://www.addaxpetroleum.com|https://www.addaxpetroleum.com/careers|https://www.addaxpetroleum.com/news
10|Cameroon Development Corporation|Oil & Gas Storage & Transportation|http://www.cdc-cm.com|http://www.cdc-cm.com/careers|http://www.cdc-cm.com/news
|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Cameroon Development Corporation|Coal & Consumable Fuels|http://www.cdc-cm.com|http://www.cdc-cm.com/careers|http://www.cdc-cm.com/news
2|Société Nationale des Hydrocarbures|Coal & Consumable Fuels|http://www.snh.cm|http://www.snh.cm/careers|http://www.snh.cm/news
3|Société Minière de Bétaré Oya|Coal & Consumable Fuels|http://www.smbocm.com|http://www.smbocm.com/careers|http://www.smbocm.com/news
4|Société des Mines de Fer de Guinée|Coal & Consumable Fuels|http://www.smfg.com|http://www.smfg.com/careers|http://www.smfg.com/news
5|Société Générale de Mines|Coal & Consumable Fuels|http://www.sogem.com|http://www.sogem.com/careers|http://www.sogem.com/news
6|Camerounaise des Mines|Coal & Consumable Fuels|http://www.cammines.cm|http://www.cammines.cm/careers|http://www.cammines.cm/news
7|Compagnie Minière de l'Afrique|Coal & Consumable Fuels|http://www.cma.cm|http://www.cma.cm/careers|http://www.cma.cm/news
8|Compagnie des Mines de l'Adamaoua|Coal & Consumable Fuels|http://www.cmad.com|http://www.cmad.com/careers|http://www.cmad.com/news
9|Société d'Exploitation du Fer de Mbalam|Coal & Consumable Fuels|http://www.sefm.com|http://www.sefm.com/careers|http://www.sefm.com/news
10|Compagnie Minière du Cameroun|Coal & Consumable Fuels|http://www.cmc.com|http://www.cmc.com/careers|http://www.cmc.com/news
|||Materials Sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Nationale des Hydrocarbures|Chemicals|https://www.snh.cm|https://www.snh.cm/careers|https://www.snh.cm/news
2|Cameroon Development Corporation|Chemicals|https://www.cdc-cameroon.com|https://www.cdc-cameroon.com/careers|https://www.cdc-cameroon.com/news
3|Société de Développement du Coton|Chemicals|https://www.sodecoton.cm|https://www.sodecoton.cm/careers|https://www.sodecoton.cm/news
4|Coton-Cameroon|Chemicals|https://www.coton-cm.com|https://www.coton-cm.com/careers|https://www.coton-cm.com/news
5|Société Camerounaise de Produits Chimiques|Chemicals|https://www.scpc.cm|https://www.scpc.cm/careers|https://www.scpc.cm/news
6|Société des Produits Chimiques du Cameroun|Chemicals|https://www.spcc.cm|https://www.spcc.cm/careers|https://www.spcc.cm/news
7|Société de Transformation de Produits Agricoles|Chemicals|https://www.stpa.cm|https://www.stpa.cm/careers|https://www.stpa.cm/news
8|Cameroon Chemical Industries|Chemicals|https://www.cci.cm|https://www.cci.cm/careers|https://www.cci.cm/news
9|Société des Engrais du Cameroun|Chemicals|https://www.sec.cm|https://www.sec.cm/careers|https://www.sec.cm/news
10|Industries Chimiques du Cameroun|Chemicals|https://www.icc.cm|https://www.icc.cm/careers|https://www.icc.cm/news
|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société des Produits Chimiques du Cameroun|Commodity Chemicals|https://www.spcc.cm|https://www.spcc.cm/careers|https://www.spcc.cm/news
2|Cameroon Chemical Industries|Commodity Chemicals|https://www.cci.cm|https://www.cci.cm/careers|https://www.cci.cm/news
3|Société Nationale des Hydrocarbures|Commodity Chemicals|https://www.snh.cm|https://www.snh.cm/careers|https://www.snh.cm/news
4|Société de Développement du Coton|Commodity Chemicals|https://www.sodecoton.cm|https://www.sodecoton.cm/careers|https://www.sodecoton.cm/news
5|Coton-Cameroon|Commodity Chemicals|https://www.coton-cm.com|https://www.coton-cm.com/careers|https://www.coton-cm.com/news
6|Société Camerounaise de Produits Chimiques|Commodity Chemicals|https://www.scpc.cm|https://www.scpc.cm/careers|https://www.scpc.cm/news
7|Société des Engrais du Cameroun|Commodity Chemicals|https://www.sec.cm|https://www.sec.cm/careers|https://www.sec.cm/news
8|Industries Chimiques du Cameroun|Commodity Chemicals|https://www.icc.cm|https://www.icc.cm/careers|https://www.icc.cm/news
9|Société de Transformation de Produits Agricoles|Commodity Chemicals|https://www.stpa.cm|https://www.stpa.cm/careers|https://www.stpa.cm/news
10|Cameroon Development Corporation|Commodity Chemicals|https://www.cdc-cameroon.com|https://www.cdc-cameroon.com/careers|https://www.cdc-cameroon.com/news
|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société des Produits Chimiques du Cameroun|Diversified Chemicals|https://www.spcc.cm|https://www.spcc.cm/careers|https://www.spcc.cm/news
2|Cameroon Chemical Industries|Diversified Chemicals|https://www.cci.cm|https://www.cci.cm/careers|https://www.cci.cm/news
3|Société Nationale des Hydrocarbures|Diversified Chemicals|https://www.snh.cm|https://www.snh.cm/careers|https://www.snh.cm/news
4|Société de Développement du Coton|Diversified Chemicals|https://www.sodecoton.cm|https://www.sodecoton.cm/careers|https://www.sodecoton.cm/news
5|Coton-Cameroon|Diversified Chemicals|https://www.coton-cm.com|https://www.coton-cm.com/careers|https://www.coton-cm.com/news
6|Société Camerounaise de Produits Chimiques|Diversified Chemicals|https://www.scpc.cm|https://www.scpc.cm/careers|https://www.scpc.cm/news
7|Société des Engrais du Cameroun|Diversified Chemicals|https://www.sec.cm|https://www.sec.cm/careers|https://www.sec.cm/news
8|Industries Chimiques du Cameroun|Diversified Chemicals|https://www.icc.cm|https://www.icc.cm/careers|https://www.icc.cm/news
