|||Austria
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|OMV AG|Oil & Gas Drilling|https://www.omv.com|https://www.omv.com/en/careers|https://www.omv.com/en/news
2|Petrochem|Oil & Gas Drilling|https://www.petrochem.com|https://www.petrochem.com/careers|https://www.petrochem.com/news
3|Borealis AG|Oil & Gas Drilling|https://www.borealisgroup.com|https://www.borealisgroup.com/careers|https://www.borealisgroup.com/news
4|RAG Austria AG|Oil & Gas Drilling|https://www.rag-austria.at|https://www.rag-austria.at/en/careers|https://www.rag-austria.at/en/news
5|Strabag SE|Oil & Gas Drilling|https://www.strabag.com|https://www.strabag.com/en/careers|https://www.strabag.com/en/news
6|Wienerberger AG|Oil & Gas Drilling|https://www.wienerberger.com|https://www.wienerberger.com/en/careers|https://www.wienerberger.com/en/news
7|Kuwait Energy|Oil & Gas Drilling|https://www.kuwaitenergy.com|https://www.kuwaitenergy.com/careers|https://www.kuwaitenergy.com/news
8|SABIC|Oil & Gas Drilling|https://www.sabic.com|https://www.sabic.com/en/careers|https://www.sabic.com/en/news
9|Energie Steiermark AG|Oil & Gas Drilling|https://www.e-steiermark.com|https://www.e-steiermark.com/en/careers|https://www.e-steiermark.com/en/news
10|Verbund AG|Oil & Gas Drilling|https://www.verbund.com|https://www.verbund.com/en/careers|https://www.verbund.com/en/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/en/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc-technologies.com|https://www.fmc-technologies.com/careers|https://www.fmc-technologies.com/news
8|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/news
9|KCA Deutag|Oil & Gas Equipment & Services|https://www.kcadeutag.com|https://www.kcadeutag.com/careers|https://www.kcadeutag.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|OMV AG|Integrated Oil & Gas|https://www.omv.com|https://www.omv.com/en/careers|https://www.omv.com/en/news
2|BP Austria|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
