|||Bahamas
|||Energy sector
|||Oil & gas drilling
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|BPC Bahamas|Oil & Gas Drilling|https://www.bpcbahamas.com|https://www.bpcbahamas.com/careers|https://www.bpcbahamas.com/news
2|Bahamas Petroleum Company|Oil & Gas Drilling|https://www.bahamaspetroleum.com|https://www.bahamaspetroleum.com/careers|https://www.bahamaspetroleum.com/news
3|Petrocaribe Bahamas|Oil & Gas Drilling|https://www.petrocaribebahamas.com|https://www.petrocaribebahamas.com/careers|https://www.petrocaribebahamas.com/news
4|Seadrill Bahamas|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
5|Transocean Bahamas|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
6|Noble Drilling|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
7|EnscoRowan|Oil & Gas Drilling|https://www.enscorowan.com|https://www.enscorowan.com/careers|https://www.enscorowan.com/news
8|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
9|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
10|Parker Drilling|Oil & Gas Drilling|https://www.parkerdrilling.com|https://www.parkerdrilling.com/careers|https://www.parkerdrilling.com/news

|||Oil & gas equipment & services
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
9|Superior Energy Services|Oil & Gas Equipment & Services|https://www.superiorenergy.com|https://www.superiorenergy.com/careers|https://www.superiorenergy.com/news
10|Cameron International|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news

|||Integrated oil & gas
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Shell Bahamas|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
2|ExxonMobil Bahamas|Integrated Oil & Gas|https://www.exxonmobil.com|https://www.exxonmobil.com/careers|https://www.exxonmobil.com/news
3|BP Bahamas|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/news
4|Chevron Bahamas|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|TotalEnergies Bahamas|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
6|Repsol Bahamas|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/careers|https://www.repsol.com/news
7|Eni Bahamas|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/careers|https://www.eni.com/news
8|Petrobras Bahamas|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/careers|https://www.petrobras.com.br/news
9|ConocoPhillips Bahamas|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
10|CNOOC Bahamas|Integrated Oil & Gas|https://www.cnooc.com.cn|https://www.cnooc.com.cn/careers|https://www.cnooc.com.cn/news

|||Oil & gas exploration & production
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
