|||Canada
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Precision Drilling Corporation|Oil & Gas Drilling|https://www.precisiondrilling.com|https://www.precisiondrilling.com/careers|https://www.precisiondrilling.com/news
2|Ensign Energy Services Inc.|Oil & Gas Drilling|https://www.ensignenergy.com|https://www.ensignenergy.com/careers|https://www.ensignenergy.com/news
3|Calfrac Well Services Ltd.|Oil & Gas Drilling|https://www.calfrac.com|https://www.calfrac.com/careers|https://www.calfrac.com/news
4|Trican Well Service Ltd.|Oil & Gas Drilling|https://www.trican.ca|https://www.trican.ca/careers|https://www.trican.ca/news
5|CWC Energy Services Corp.|Oil & Gas Drilling|https://www.cwcenergyservices.com|https://www.cwcenergyservices.com/careers|https://www.cwcenergyservices.com/news
6|Savanna Energy Services Corp.|Oil & Gas Drilling|https://www.savannaenergy.com|https://www.savannaenergy.com/careers|https://www.savannaenergy.com/news
7|High Arctic Energy Services Inc.|Oil & Gas Drilling|https://www.haes.ca|https://www.haes.ca/careers|https://www.haes.ca/news
8|Crescent Point Energy Corp.|Oil & Gas Drilling|https://www.crescentpointenergy.com|https://www.crescentpointenergy.com/careers|https://www.crescentpointenergy.com/news
9|CNRL (Canadian Natural Resources Limited)|Oil & Gas Drilling|https://www.cnrl.com|https://www.cnrl.com/careers|https://www.cnrl.com/news
10|Husky Energy Inc.|Oil & Gas Drilling|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Weatherford International|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
2|Schlumberger Limited|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
3|Halliburton Company|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
4|TechnipFMC plc|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
5|Cameron International Corporation|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news
6|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|KBR, Inc.|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Baker Hughes Company|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
10|Fluor Corporation|Oil & Gas Equipment & Services|https://www.fluor.com|https://www.fluor.com/careers|https://www.fluor.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Suncor Energy Inc.|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
2|Canadian Natural Resources Limited|Integrated Oil & Gas|https://www.cnrl.com|https://www.cnrl.com/careers|https://www.cnrl.com/news
3|Imperial Oil Limited|Integrated Oil & Gas|https://www.imperialoil.ca|https://www.imperialoil.ca/en/careers|https://www.imperialoil.ca/en/news
4|Husky Energy Inc.|Integrated Oil & Gas|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
5|Enbridge Inc.|Integrated Oil & Gas|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
6|Cenovus Energy Inc.|Integrated Oil & Gas|https://www.cenovus.com|https://www.cenovus.com/careers|https://www.cenovus.com/news
7|Petro-Canada|Integrated Oil & Gas|https://www.petro-canada.ca|https://www.petro-canada.ca/en/careers|https://www.petro-canada.ca/en/news
8|TransCanada Corporation|Integrated Oil & Gas|https://www.tcenergy.com|https://www.tcenergy.com/careers|https://www.tcenergy.com/news
9|Alberta Oilsands Inc.|Integrated Oil & Gas|https://www.albertaoilsands.com|https://www.albertaoilsands.com/careers|https://www.albertaoilsands.com/news
10|Nexen Energy ULC|Integrated Oil & Gas|https://www.nexenenergy.com|https://www.nexenenergy.com/careers|https://www.nexenenergy.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Canadian Natural Resources Limited|Oil & Gas Exploration & Production|https://www.cnrl.com|https://www.cnrl.com/careers|https://www.cnrl.com/news
2|Suncor Energy Inc.|Oil & Gas Exploration & Production|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
3|Cenovus Energy Inc.|Oil & Gas Exploration & Production|https://www.cenovus.com|https://www.cenovus.com/careers|https://www.cenovus.com/news
4|Husky Energy Inc.|Oil & Gas Exploration & Production|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
5|Imperial Oil Limited|Oil & Gas Exploration & Production|https://www.imperialoil.ca|https://www.imperialoil.ca/en/careers|https://www.imperialoil.ca/en/news
6|Whitecap Resources Inc.|Oil & Gas Exploration & Production|https://www.whitecapresources.ca|https://www.whitecapresources.ca/careers|https://www.whitecapresources.ca/news
7|Baytex Energy Corp.|Oil & Gas Exploration & Production|https://www.baytexenergy.com|https://www.baytexenergy.com/careers|https://www.baytexenergy.com/news
