Central African Republic
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Eni|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media.html
3|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
4|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
5|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
6|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
7|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://careers.weatherford.com|https://www.weatherford.com/en/news
8|Petrobras|Oil & Gas Drilling|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
9|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
10|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://careers.weatherford.com|https://www.weatherford.com/en/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
4|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
5|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/media.html
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media.html
7|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
8|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
9|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
10|Hess Corporation|Integrated Oil & Gas|https://www.hess.com|https://www.hess.com/careers|https://www.hess.com/news
|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Eni|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media.html
3|ExxonMobil|Oil & Gas Exploration & Production|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
4|Chevron|Oil & Gas Exploration & Production|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
6|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
7|Anadarko Petroleum|Oil & Gas Exploration & Production|https://www.anadarko.com|https://www.anadarko.com/careers|https://www.anadarko.com/news
8|Hess Corporation|Oil & Gas Exploration & Production|https://www.hess.com|https://www.hess.com/careers|https://www.hess.com/news
9|Petrobras|Oil & Gas Exploration & Production|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
10|Noble Energy|Oil & Gas Exploration & Production|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
3|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/media.html
4|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|ExxonMobil|Oil & Gas Refining & Marketing|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
6|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
7|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/en/careers|https://www.valero.com/en/news
8|PBF Energy|Oil & Gas Refining & Marketing|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
9|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news
10|Phillips 6|Oil & Gas Refining & Marketing|https://www.phillips66.com|https://www.phillips66.com/careers|https://www.phillips66.com/news
|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Eni|Oil & Gas Storage & Transportation|https://www.eni.com|https://www.eni.com/en_IT/careers|https://www.eni.com/en_IT/media.html
3|Royal Dutch Shell|Oil & Gas Storage & Transportation|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
4|Chevron|Oil & Gas Storage & Transportation|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|ExxonMobil|Oil & Gas Storage & Transportation|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
6|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
7|Williams Companies|Oil & Gas Storage & Transportation|https://www.williams.com|https://www.williams.com/careers|https://www.williams.com/news
8|Magellan Midstream Partners|Oil & Gas Storage & Transportation|https://www.magellanlp.com|https://www.magellanlp.com/careers|https://www.magellanlp.com/news
9|PBF Logistics|Oil & Gas Storage & Transportation|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
10|Targa Resources|Oil & Gas Storage & Transportation|https://www.targaresources.com|https://www.targaresources.com/careers|https://www.targaresources.com/news
|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Glencore|Coal & Consumable Fuels|https://www.glencore.com|https://www.glencore.com/careers|https://www.glencore.com/news
2|Peabody Energy|Coal & Consumable Fuels|https://www.peabodyenergy.com|https://www.peabodyenergy.com/careers|https://www.peabodyenergy.com/news
3|Arch Resources|Coal & Consumable Fuels|https://www.archresources.com|https://www.archresources.com/careers|https://www.archresources.com/news
4|Murray Energy|Coal & Consumable Fuels|https://www.murrayenergy.com|https://www.murrayenergy.com/careers|https://www.murrayenergy.com/news
5|Alliance Resource Partners|Coal & Consumable Fuels|https://www.arlp.com|https://www.arlp.com/careers|https://www.arlp.com/news
6|Foresight Energy|Coal & Consumable Fuels|https://www.foresightenergy.com|https://www.foresightenergy.com/careers|https://www.foresightenergy.com/news
