|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrobel|Oil & Gas Drilling|http://www.petrobel.com.eg|http://www.petrobel.com.eg/careers|http://www.petrobel.com.eg/news
2|Eni Egypt|Oil & Gas Drilling|http://www.eni.com/en-IT/locations/egypt.html|http://www.eni.com/en-IT/careers.html|http://www.eni.com/en-IT/media.html
3|Egyptian Drilling Company|Oil & Gas Drilling|http://www.edc-eg.com|http://www.edc-eg.com/careers|http://www.edc-eg.com/news
4|Ganope|Oil & Gas Drilling|http://www.ganope.com|http://www.ganope.com/careers|http://www.ganope.com/news
5|Transocean|Oil & Gas Drilling|http://www.deepwater.com|http://www.deepwater.com/careers|http://www.deepwater.com/news
6|Seadrill|Oil & Gas Drilling|http://www.seadrill.com|http://www.seadrill.com/careers|http://www.seadrill.com/news
7|Maersk Drilling|Oil & Gas Drilling|http://www.maerskdrilling.com|http://www.maerskdrilling.com/careers|http://www.maerskdrilling.com/news
8|Schlumberger|Oil & Gas Drilling|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
9|Weatherford|Oil & Gas Drilling|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
10|Halliburton|Oil & Gas Drilling|http://www.halliburton.com|http://www.halliburton.com/careers|http://www.halliburton.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|http://www.halliburton.com|http://www.halliburton.com/careers|http://www.halliburton.com/news
3|Weatherford|Oil & Gas Equipment & Services|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
4|Baker Hughes|Oil & Gas Equipment & Services|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|http://www.nov.com|http://www.nov.com/careers|http://www.nov.com/news
6|Kentz|Oil & Gas Equipment & Services|http://www.kentz.com|http://www.kentz.com/careers|http://www.kentz.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|http://www.akersolutions.com|http://www.akersolutions.com/careers|http://www.akersolutions.com/news
8|TechnipFMC|Oil & Gas Equipment & Services|http://www.technipfmc.com|http://www.technipfmc.com/careers|http://www.technipfmc.com/news
9|Petrofac|Oil & Gas Equipment & Services|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news
10|Emerson|Oil & Gas Equipment & Services|http://www.emerson.com|http://www.emerson.com/careers|http://www.emerson.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Egyptian General Petroleum Corporation|Integrated Oil & Gas|http://www.egpc.com.eg|http://www.egpc.com.eg/careers|http://www.egpc.com.eg/news
2|Petrobel|Integrated Oil & Gas|http://www.petrobel.com.eg|http://www.petrobel.com.eg/careers|http://www.petrobel.com.eg/news
3|Eni Egypt|Integrated Oil & Gas|http://www.eni.com/en-IT/locations/egypt.html|http://www.eni.com/en-IT/careers.html|http://www.eni.com/en-IT/media.html
4|Ganope|Integrated Oil & Gas|http://www.ganope.com|http://www.ganope.com/careers|http://www.ganope.com/news
5|Shell Egypt|Integrated Oil & Gas|http://www.shell.com.eg|http://www.shell.com.eg/careers|http://www.shell.com.eg/media
6|BP Egypt|Integrated Oil & Gas|http://www.bp.com/en_eg/egypt.html|http://www.bp.com/en_eg/egypt/careers.html|http://www.bp.com/en_eg/egypt/media.html
7|TotalEnergies Egypt|Integrated Oil & Gas|http://www.totalenergies.com.eg|http://www.totalenergies.com.eg/careers|http://www.totalenergies.com.eg/news
8|Kuwait Energy|Integrated Oil & Gas|http://www.kuwaitenergy.com|http://www.kuwaitenergy.com/careers|http://www.kuwaitenergy.com/news
9|Dana Gas|Integrated Oil & Gas|http://www.danagas.com|http://www.danagas.com/careers|http://www.danagas.com/news
10|Orascom Construction|Integrated Oil & Gas|http://www.orascom.com|http://www.orascom.com/careers|http://www.orascom.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Egyptian General Petroleum Corporation|Oil & Gas Exploration & Production|http://www.egpc.com.eg|http://www.egpc.com.eg/careers|http://www.egpc.com.eg/news
2|Petrobel|Oil & Gas Exploration & Production|http://www.petrobel.com.eg|http://www.petrobel.com.eg/careers|http://www.petrobel.com.eg/news
3|Eni Egypt|Oil & Gas Exploration & Production|http://www.eni.com/en-IT/locations/egypt.html|http://www.eni.com/en-IT/careers.html|http://www.eni.com/en-IT/media.html
4|Ganope|Oil & Gas Exploration & Production|http://www.ganope.com|http://www.ganope.com/careers|http://www.ganope.com/news
5|BP Egypt|Oil & Gas Exploration & Production|http://www.bp.com/en_eg/egypt.html|http://www.bp.com/en_eg/egypt/careers.html|http://www.bp.com/en_eg/egypt/media.html
6|Shell Egypt|Oil & Gas Exploration & Production|http://www.shell.com.eg|http://www.shell.com.eg/careers|http://www.shell.com.eg/media
7|TotalEnergies Egypt|Oil & Gas Exploration & Production|http://www.totalenergies.com.eg|http://www.totalenergies.com.eg/careers|http://www.totalenergies.com.eg/news
8|Kuwait Energy|Oil & Gas Exploration & Production|http://www.kuwaitenergy.com|http://www.kuwaitenergy.com/careers|http://www.kuwaitenergy.com/news
9|Dana Gas|Oil & Gas Exploration & Production|http://www.danagas.com|http://www.danagas.com/careers|http://www.danagas.com/news
10|Apache Corporation|Oil & Gas Exploration & Production|http://www.apachecorp.com|http://www.apachecorp.com/careers|http://www.apachecorp.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Egyptian General Petroleum Corporation|Oil & Gas Refining & Marketing|http://www.egpc.com.eg|http://www.egpc.com.eg/careers|http://www.egpc.com.eg/news
2|Alexandria Petroleum Company|Oil & Gas Refining & Marketing|http://www.apc.com.eg|http://www.apc.com.eg/careers|http://www.apc.com.eg/news
3|Cairo Oil Refining Company|Oil & Gas Refining & Marketing|http://www.corc.com.eg|http://www.corc.com.eg/careers|http://www.corc.com.eg/news
4|Suez Oil Processing Company|Oil & Gas Refining & Marketing|http://www.suez-oil.com|http://www.suez-oil.com/careers|http://www.suez-oil.com/news
5|Midland Oil Company|Oil & Gas Refining & Marketing|http://www.midlandoil.com|http://www.midlandoil.com/careers|http://www.midlandoil.com/news
6|Assiut Oil Refining Company|Oil & Gas Refining & Marketing|http://www.aorc.com.eg|http://www.aorc.com.eg/careers|http://www.aorc.com.eg/news
7|Egyptian Refining Company|Oil & Gas Refining & Marketing|http://www.erc-eg.com|http://www.erc-eg.com/careers|http://www.erc-eg.com/news
8|Petrochemical Holding Company|Oil & Gas Refining & Marketing|http://www.petrochem.com.eg|http://www.petrochem.com.eg/careers|http://www.petrochem.com.eg/news
9|Gulf of Suez Petroleum Company|Oil & Gas Refining & Marketing|http://www.gupco.com|http://www.gupco.com/careers|http://www.gupco.com/news
10|National Petroleum Company|Oil & Gas Refining & Marketing|http://www.npc.com.eg|http://www.npc.com.eg/careers|http://www.npc.com.eg/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
