|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Ethiopian Oil and Gas Corporation|Oil & Gas Drilling|https://www.eogc.gov.et|https://www.eogc.gov.et/careers|https://www.eogc.gov.et/news
2|PetroTrans Ethiopia|Oil & Gas Drilling|https://www.petrotrans.com.et|https://www.petrotrans.com.et/careers|https://www.petrotrans.com.et/news
3|Moges Gas and Oil|Oil & Gas Drilling|https://www.mogesgasandoil.com|https://www.mogesgasandoil.com/careers|https://www.mogesgasandoil.com/news
4|Ethiopian Petroleum Supply Enterprise|Oil & Gas Drilling|https://www.epset.com|https://www.epset.com/careers|https://www.epset.com/news
5|Kebron Oil and Gas|Oil & Gas Drilling|https://www.kebronoil.com|https://www.kebronoil.com/careers|https://www.kebronoil.com/news
6|Ethiopian Energy and Mining Corporation|Oil & Gas Drilling|https://www.eemc.gov.et|https://www.eemc.gov.et/careers|https://www.eemc.gov.et/news
7|Dagmawi Oil and Gas|Oil & Gas Drilling|https://www.dagmawioil.com|https://www.dagmawioil.com/careers|https://www.dagmawioil.com/news
8|Abyssinia Oil and Gas|Oil & Gas Drilling|https://www.abyssiniaoil.com|https://www.abyssiniaoil.com/careers|https://www.abyssiniaoil.com/news
9|Tena Oil and Gas|Oil & Gas Drilling|https://www.tenaoil.com|https://www.tenaoil.com/careers|https://www.tenaoil.com/news
10|Horn of Africa Oil and Gas|Oil & Gas Drilling|https://www.hornofafricagas.com|https://www.hornofafricagas.com/careers|https://www.hornofafricagas.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Ethiopian Oilfield Services|Oil & Gas Equipment & Services|https://www.eoservices.et|https://www.eoservices.et/careers|https://www.eoservices.et/news
2|Horn of Africa Oil Services|Oil & Gas Equipment & Services|https://www.hornofafricaoilservices.com|https://www.hornofafricaoilservices.com/careers|https://www.hornofafricaoilservices.com/news
3|Ethiopian Drilling Company|Oil & Gas Equipment & Services|https://www.edc.et|https://www.edc.et/careers|https://www.edc.et/news
4|Petro Equipment Ethiopia|Oil & Gas Equipment & Services|https://www.petroequipmentet.com|https://www.petroequipmentet.com/careers|https://www.petroequipmentet.com/news
5|Addis Oilfield Services|Oil & Gas Equipment & Services|https://www.addisoilfieldservices.com|https://www.addisoilfieldservices.com/careers|https://www.addisoilfieldservices.com/news
6|Ethiopian Energy Services|Oil & Gas Equipment & Services|https://www.eeservices.et|https://www.eeservices.et/careers|https://www.eeservices.et/news
7|Kebron Oilfield Equipment|Oil & Gas Equipment & Services|https://www.kebronoilfield.com|https://www.kebronoilfield.com/careers|https://www.kebronoilfield.com/news
8|Moges Oil Services|Oil & Gas Equipment & Services|https://www.mogesoilservices.com|https://www.mogesoilservices.com/careers|https://www.mogesoilservices.com/news
