|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
3|TechnipFMC|Oil & Gas Drilling|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
4|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
5|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
6|CGG|Oil & Gas Drilling|https://www.cgg.com|https://www.cgg.com/careers|https://www.cgg.com/news
7|Saipem|Oil & Gas Drilling|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
8|KBR|Oil & Gas Drilling|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
10|Petrofac|Oil & Gas Drilling|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
5|CGG|Oil & Gas Equipment & Services|https://www.cgg.com|https://www.cgg.com/careers|https://www.cgg.com/news
6|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
7|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
8|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
10|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Engie|Integrated Oil & Gas|https://www.engie.com|https://www.engie.com/en/careers|https://www.engie.com/en/news
3|Perenco|Integrated Oil & Gas|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Cairn Energy|Integrated Oil & Gas|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
5|Zeg Oil|Integrated Oil & Gas|https://www.zegoil.com|https://www.zegoil.com/careers|https://www.zegoil.com/news
6|Vitol|Integrated Oil & Gas|https://www.vitol.com|https://www.vitol.com/careers|https://www.vitol.com/news
7|Rubis|Integrated Oil & Gas|https://www.rubis.fr|https://www.rubis.fr/en/careers|https://www.rubis.fr/en/news
8|Société Générale|Integrated Oil & Gas|https://www.societegenerale.com|https://careers.societegenerale.com|https://www.societegenerale.com/en/news
9|Euronav|Integrated Oil & Gas|https://www.euronav.com|https://www.euronav.com/careers|https://www.euronav.com/news
10|Geoservices|Integrated Oil & Gas|https://www.geoservices.com|https://www.geoservices.com/careers|https://www.geoservices.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Engie|Oil & Gas Exploration & Production|https://www.engie.com|https://www.engie.com/en/careers|https://www.engie.com/en/news
3|Perenco|Oil & Gas Exploration & Production|https://www.perenco.com|https://www.perenco.com/careers|https://www.perenco.com/news
4|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
5|Vermilion Energy|Oil & Gas Exploration & Production|https://www.vermilionenergy.com|https://www.vermilionenergy.com/careers|https://www.vermilionenergy.com/news
6|Euronav|Oil & Gas Exploration & Production|https://www.euronav.com|https://www.euronav.com/careers|https://www.euronav.com/news
7|Ophir Energy|Oil & Gas Exploration & Production|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news
8|Zeg Oil|Oil & Gas Exploration & Production|https://www.zegoil.com|https://www.zegoil.com/careers|https://www.zegoil.com/news
9|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
10|Société Générale|Oil & Gas Exploration & Production|https://www.societegenerale.com|https://careers.societegenerale.com|https://www.societegenerale.com/en/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
2|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/news
