|||Italy
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Eni S.p.A.|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/en-IT/careers|https://www.eni.com/en-IT/media
2|Saipem S.p.A.|Oil & Gas Drilling|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
3|Snam S.p.A.|Oil & Gas Drilling|https://www.snam.it|https://www.snam.it/en/careers|https://www.snam.it/en/media
4|TechnipFMC|Oil & Gas Drilling|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/media
5|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news
6|Petrolvalves|Oil & Gas Drilling|https://www.petrolvalves.com|https://www.petrolvalves.com/careers|https://www.petrolvalves.com/news
7|Cameron|Oil & Gas Drilling|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news
8|KBR, Inc.|Oil & Gas Drilling|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
10|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Saipem S.p.A.|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/en/careers|https://www.saipem.com/en/media
2|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
5|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/media
7|KBR, Inc.|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
8|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
9|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media
10|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
