|||Mexico
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroleos Mexicanos|Oil & Gas Drilling|https://www.pemex.com|https://www.pemex.com/careers|https://www.pemex.com/news
2|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
3|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
4|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
5|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
6|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
7|Nabors Industries|Oil & Gas Drilling|https://www.nabors.com|https://www.nabors.com/careers|https://www.nabors.com/news
8|Eni|Oil & Gas Drilling|https://www.eni.com|https://www.eni.com/en-IT/work-with-us|https://www.eni.com/en-IT/media
9|Oceaneering|Oil & Gas Drilling|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news
10|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
2|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
7|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
8|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
9|Cameron|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news
10|Parker Hannifin|Oil & Gas Equipment & Services|https://www.parker.com|https://www.parker.com/careers|https://www.parker.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroleos Mexicanos|Integrated Oil & Gas|https://www.pemex.com|https://www.pemex.com/careers|https://www.pemex.com/news
2|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://news.exxonmobil.com
3|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
4|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/media.html
5|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability
6|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/media
7|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en-IT/work-with-us|https://www.eni.com/en-IT/media
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Equinor|Integrated Oil & Gas|https://www.equinor.com|https://www.equinor.com/careers|https://www.equinor.com/news/archive
10|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroleos Mexicanos|Oil & Gas Exploration & Production|https://www.pemex.com|https://www.pemex.com/careers|https://www.pemex.com/news
2|Talos Energy|Oil & Gas Exploration & Production|https://www.talosenergy.com|https://www.talosenergy.com/careers|https://www.talosenergy.com/news
3|Marathon Oil|Oil & Gas Exploration & Production|https://www.marathonoil.com|https://www.marathonoil.com/careers|https://www.marathonoil.com/news
4|Husky Energy|Oil & Gas Exploration & Production|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
5|CNOOC|Oil & Gas Exploration & Production|http://www.cnooc.com.cn|http://www.cnooc.com.cn/english/careers|http://www.cnooc.com.cn/english/news
6|Eni|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/en-IT/work-with-us|https://www.eni.com/en-IT/media
7|Petrofac|Oil & Gas Exploration & Production|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media
8|Talos Energy|Oil & Gas Exploration & Production|https://www.talosenergy.com|https://www.talosenergy.com/careers|https://www.talosenergy.com/news
9|Sierra Oil & Gas|Oil & Gas Exploration & Production|https://www.sierraoil.com|https://www.sierraoil.com/careers|https://www.sierraoil.com/news
10|Iberoamericana de Hidrocarburos|Oil & Gas Exploration & Production|https://www.ihid.com.mx|https://www.ihid.com.mx/careers|https://www.ihid.com.mx/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroleos Mexicanos|Oil & Gas Refining & Marketing|https://www.pemex.com|https://www.pemex.com/careers|https://www.pemex.com/news
2|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/careers|https://www.valero.com/news
3|Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
4|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability
5|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/media
6|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/media.html
7|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
8|Petróleos de Venezuela|Oil & Gas Refining & Marketing|http://www.pdvsa.com|http://www.pdvsa.com/careers|http://www.pdvsa.com/news
9|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroleos Mexicanos|Oil & Gas Storage & Transportation|https://www.pemex.com|https://www.pemex.com/careers|https://www.pemex.com/news
2|TransCanada|Oil & Gas Storage & Transportation|https://www.tcenergy.com|https://www.tcenergy.com/careers|https://www.tcenergy.com/news
3|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
4|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
5|Magellan Midstream Partners|Oil & Gas Storage & Transportation|https://www.magellanlp.com|https://www.magellanlp.com/careers|https://www.magellanlp.com/news
6|Plains All American|Oil & Gas Storage & Transportation|https://www.plainsallamerican.com|https://www.plainsallamerican.com/careers|https://www.plainsallamerican.com/news
7|NuStar Energy|Oil & Gas Storage & Transportation|https://www.nustarenergy.com|https://www.nustarenergy.com/careers|https://www.nustarenergy.com/news
8|Buckeye Partners|Oil & Gas Storage & Transportation|https://www.buckeyepartners.com|https://www.buckeyepartners.com/careers|https://www.buckeyepartners.com/news
9|Targa Resources|Oil & Gas Storage & Transportation|https://www.targaresources.com|https://www.targaresources.com/careers|https://www.targaresources.com/news
10|Western Midstream Partners|Oil & Gas Storage & Transportation|https://www.westernmidstream.com|https://www.westernmidstream.com/careers|https://www.westernmidstream.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Minera del Norte|Coal & Consumable Fuels|https://www.mineradelnorte.com|https://www.mineradelnorte.com/careers|https://www.mineradelnorte.com/news
2|Carbonífera de Sabinas|Coal & Consumable Fuels|http://www.carboniferadesabinas.com|http://www.carboniferadesabinas.com/careers|http://www.carboniferadesabinas.com/news
3|Coque de México|Coal & Consumable Fuels|http://www.coquedemexico.com|http://www.coquedemexico.com/careers|http://www.coquedemexico.com/news
4|Grupo México|Coal & Consumable Fuels|https://www.gmexico.com|https://www.gmexico.com/careers|https://www.gmexico.com/news
