|||Panama
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petroamazonas|Oil & Gas Drilling|https://www.petroamazonas.com|https://www.petroamazonas.com/careers|https://www.petroamazonas.com/news
2|OXY|Oil & Gas Drilling|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news
3|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
4|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
5|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
6|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
7|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
8|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news
9|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
10|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://careers.slb.com|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://jobs.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Transocean|Oil & Gas Equipment & Services|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
7|Noble Corporation|Oil & Gas Equipment & Services|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/press-releases
2|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
3|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
4|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
5|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enit/careers.html|https://www.eni.com/enit/media.html
7|Petrobras|Integrated Oil & Gas|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
8|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
9|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
10|Marathon Oil|Integrated Oil & Gas|https://www.marathonoil.com|https://www.marathonoil.com/careers|https://www.marathonoil.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Petrobras|Oil & Gas Exploration & Production|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
2|OXY|Oil & Gas Exploration & Production|https://www.oxy.com|https://www.oxy.com/careers|https://www.oxy.com/news
3|ExxonMobil|Oil & Gas Exploration & Production|https://www.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
4|Chevron|Oil & Gas Exploration & Production|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
5|Repsol|Oil & Gas Exploration & Production|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/press-releases
6|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
7|ConocoPhillips|Oil & Gas Exploration & Production|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
8|Marathon Oil|Oil & Gas Exploration & Production|https://www.marathonoil.com|https://www.marathonoil.com/careers|https://www.marathonoil.com/news
9|Suncor Energy|Oil & Gas Exploration & Production|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
10|Hess Corporation|Oil & Gas Exploration & Production|https://www.hess.com|https://www.hess.com/careers|https://www.hess.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/news
2|ExxonMobil|Oil & Gas Refining & Marketing|https://www.exxonmobil.com|https://corporate.exxonmobil.com/en/careers|https://corporate.exxonmobil.com/en/news-releases
3|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/corporate/careers.html|https://www.bp.com/en/global/corporate/news-and-insights.html
4|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
5|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/press-releases
6|Valero|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/en/careers|https://www.valero.com/en/news
7|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
8|Phillips 6|Oil & Gas Refining & Marketing|https://www.phillips66.com|https://www.phillips66.com/careers|https://www.phillips66.com/news
9|PBF Energy|Oil & Gas Refining & Marketing|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|TransCanada|Oil & Gas Storage & Transportation|https://www.tcenergy.com|https://www.tcenergy.com/careers|https://www.tcenergy.com/news
2|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
3|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
4|Magellan Midstream|Oil & Gas Storage & Transportation|https://www.magellanmidstream.com|https://www.magellanmidstream.com/careers|https://www.magellanmidstream.com/news
5|Plains All American|Oil & Gas Storage & Transportation|https://www.plainsallamerican.com|https://www.plainsallamerican.com/careers|https://www.plainsallamerican.com/news
6|Buckeye Partners|Oil & Gas Storage & Transportation|https://www.buckeye.com|https://www.buckeye.com/careers|https://www.buckeye.com/news
7|OneMain|Oil & Gas Storage & Transportation|https://www.onemainenergy.com|https://www.onemainenergy.com/careers|https://www.onemainenergy.com/news
8|Crestwood Equity Partners|Oil & Gas Storage & Transportation|https://www.crestwoodlp.com|https://www.crestwoodlp.com/careers|https://www.crestwoodlp.com/news
9|Targa Resources|Oil & Gas Storage & Transportation|https://www.targaresources.com|https://www.targaresources.com/careers|https://www.targaresources.com/news
10|Western Midstream|Oil & Gas Storage & Transportation|https://www.westernmidstream.com|https://www.westernmidstream.com/careers|https://www.westernmidstream.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Peabody Energy|Coal & Consumable Fuels|https://www.peabodyenergy.com|https://www.peabodyenergy.com/careers|https://www.peabodyenergy.com/news
2|Arch Resources|Coal & Consumable Fuels|https://www.archresources.com|https://www.archresources.com/careers|https://www.archresources.com/news
3|Murray Energy|Coal & Consumable Fuels|https://www.murrayenergycorp.com|https://www.murrayenergycorp.com/careers|https://www.murrayenergycorp.com/news
4|Alliance Resource Partners|Coal & Consumable Fuels|https://www.arlp.com|https://www.arlp.com/careers|https://www.arlp.com/news
5|Foresight Energy|Coal & Consumable Fuels|https://www.foresightenergy.com|https://www.foresightenergy.com/careers|https://www.foresightenergy.com/news
6|CONSOL Energy|Coal & Consumable Fuels|https://www.consolenergy.com|https://www.consolenergy.com/careers|https://www.consolenergy.com/news
7|Corsa Coal|Coal & Consumable Fuels|https://www.corsacoal.com|https://www.corsacoal.com/careers|https://www.corsacoal.com/news
8|Cleveland-Cliffs|Coal & Consumable Fuels|https://www.clevelandcliffs.com|https://www.clevelandcliffs.com/careers|https://www.clevelandcliffs.com/news
9|Ramaco Resources|Coal & Consumable Fuels|https://www.ramacoresources.com|https://www.ramacoresources.com/careers|https://www.ramacoresources.com/news
10|Blackhawk Mining|Coal & Consumable Fuels|https://www.blackhawkmining.com|https://www.blackhawkmining.com/careers|https://www.blackhawkmining.com/news

|||Panama
|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Química Panamá|Chemicals|https://www.quimicapana.com|https://www.quimicapana.com/careers|https://www.quimicapana.com/news
2|Industrias Nacientes|Chemicals|https://www.industriasnacientes.com|https://www.industriasnacientes.com/careers|https://www.industriasnacientes.com/news
3|Grupo Gildemeister|Chemicals|https://www.gildemeister.com.pa|https://www.gildemeister.com.pa/careers|https://www.gildemeister.com.pa/news
4|Panamá Chemicals|Chemicals|https://www.panamachemicals.com|https://www.panamachemicals.com/careers|https://www.panamachemicals.com/news
5|Fertilizantes del Caribe|Chemicals|https://www.fertilizantescaribe.com|https://www.fertilizantescaribe.com/careers|https://www.fertilizantescaribe.com/news
6|Químicos y Derivados|Chemicals|https://www.quimicosyderivados.com|https://www.quimicosyderivados.com/careers|https://www.quimicosyderivados.com/news
7|Productos Químicos Panameños|Chemicals|https://www.productosquimicos.com|https://www.productosquimicos.com/careers|https://www.productosquimicos.com/news
8|Soluciones Químicas|Chemicals|https://www.solucionesquimicas.com|https://www.solucionesquimicas.com/careers|https://www.solucionesquimicas.com/news
9|Chemicals de Panamá|Chemicals|https://www.chemicalsdepanama.com|https://www.chemicalsdepanama.com/careers|https://www.chemicalsdepanama.com/news
10|Innovación Química|Chemicals|https://www.innovacionquimica.com|https://www.innovacionquimica.com/careers|https://www.innovacionquimica.com/news

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Commodities de Panamá|Commodity Chemicals|https://www.commoditiespanama.com|https://www.commoditiespanama.com/careers|https://www.commoditiespanama.com/news
2|Química y Commodities|Commodity Chemicals|https://www.quimicaycommodities.com|https://www.quimicaycommodities.com/careers|https://www.quimicaycommodities.com/news
3|Panamá Commodities|Commodity Chemicals|https://www.panamacommodities.com|https://www.panamacommodities.com/careers|https://www.panamacommodities.com/news
4|Industrias Químicas|Commodity Chemicals|https://www.industriasquimicas.com|https://www.industriasquimicas.com/careers|https://www.industriasquimicas.com/news
5|Compañía Química|Commodity Chemicals|https://www.compquimica.com|https://www.compquimica.com/careers|https://www.compquimica.com/news
6|Químicos y Commodities|Commodity Chemicals|https://www.quimicosycommodities.com|https://www.quimicosycommodities.com/careers|https://www.quimicosycommodities.com/news
7|Soluciones en Commodities|Commodity Chemicals|https://www.solucionesencommodities.com|https://www.solucionesencommodities.com/careers|https://www.solucionesencommodities.com/news
8|Commodities y Más|Commodity Chemicals|https://www.commoditiesymas.com|https://www.commoditiesymas.com/careers|https://www.commoditiesymas.com/news
9|Fertilizantes y Commodities|Commodity Chemicals|https://www.fertilizantesycommodities.com|https://www.fertilizantesycommodities.com/careers|https://www.fertilizantesycommodities.com/news
10|Grupo Commodities|Commodity Chemicals|https://www.grupocommodities.com|https://www.grupocommodities.com/careers|https://www.grupocommodities.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Química Diversificada|Diversified Chemicals|https://www.quimicadiversificada.com|https://www.quimicadiversificada.com/careers|https://www.quimicadiversificada.com/news
2|Grupo Químico|Diversified Chemicals|https://www.grupoquimico.com|https://www.grupoquimico.com/careers|https://www.grupoquimico.com/news
3|Industrias Diversificadas|Diversified Chemicals|https://www.industriasdiversificadas.com|https://www.industriasdiversificadas.com/careers|https://www.industriasdiversificadas.com/news
4|Soluciones Químicas|Diversified Chemicals|https://www.solucionesquimicas.com|https://www.solucionesquimicas.com/careers|https://www.solucionesquimicas.com/news
5|Compañía Química Diversificada|Diversified Chemicals|https://www.compaquimicadiversificada.com|https://www.compaquimicadiversificada.com/careers|https://www.compaquimicadiversificada.com/news
6|Panamá Química|Diversified Chemicals|https://www.panamaquimica.com|https://www.panamaquimica.com/careers|https://www.panamaquimica.com/news
7|Químicos y Soluciones|Diversified Chemicals|https://www.quimicosysoluciones.com|https://www.quimicosysoluciones.com/careers|https://www.quimicosysoluciones.com/news
8|Innovaciones Químicas|Diversified Chemicals|https://www.innovacionesquimicas.com|https://www.innovacionesquimicas.com/careers|https://www.innovacionesquimicas.com/news
9|Diversified Chemical Group|Diversified Chemicals|https://www.diversifiedchemicalgroup.com|https://www.diversifiedchemicalgroup.com/careers|https://www.diversifiedchemicalgroup.com/news
10|Químicos Integrales|Diversified Chemicals|https://www.quimicosintegrales.com|https://www.quimicosintegrales.com/careers|https://www.quimicosintegrales.com/news

|||Fertilizers & agricultural chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Fertilizantes de Panamá|Fertilizers & Agricultural Chemicals|https://www.fertilizantespanama.com|https://www.fertilizantespanama.com/careers|https://www.fertilizantespanama.com/news
2|Agroquímicos Panamá|Fertilizers & Agricultural Chemicals|https://www.agroquimicospanama.com|https://www.agroquimicospanama.com/careers|https://www.agroquimicospanama.com/news
