|||Energy sector
|||Oil & gas drilling
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|ETAP|Oil & Gas Drilling|http://www.etap.com.tn|http://www.etap.com.tn/careers|http://www.etap.com.tn/news
2|Tunisian Company of Petroleum Activities (CTAP)|Oil & Gas Drilling|http://www.ctap.com.tn|http://www.ctap.com.tn/careers|http://www.ctap.com.tn/news
3|SEREPT|Oil & Gas Drilling|http://www.serept.com.tn|http://www.serept.com.tn/careers|http://www.serept.com.tn/news
4|Mediterranean Oil & Gas|Oil & Gas Drilling|http://www.mediterraneanoilandgas.com|http://www.mediterraneanoilandgas.com/careers|http://www.mediterraneanoilandgas.com/news
5|Petrofac|Oil & Gas Drilling|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news
6|Schlumberger|Oil & Gas Drilling|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
7|Halliburton|Oil & Gas Drilling|http://www.halliburton.com|http://www.halliburton.com/careers|http://www.halliburton.com/news
8|Baker Hughes|Oil & Gas Drilling|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
9|Weatherford|Oil & Gas Drilling|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
10|Eni|Oil & Gas Drilling|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news

|||Oil & gas equipment & services
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Tunisian Company of Petroleum Equipment (CTEP)|Oil & Gas Equipment & Services|http://www.ctep.com.tn|http://www.ctep.com.tn/careers|http://www.ctep.com.tn/news
2|Société Tunisienne de Forage (STF)|Oil & Gas Equipment & Services|http://www.stf.com.tn|http://www.stf.com.tn/careers|http://www.stf.com.tn/news
3|SEREPT|Oil & Gas Equipment & Services|http://www.serept.com.tn|http://www.serept.com.tn/careers|http://www.serept.com.tn/news
4|Société de Services et de Maintenance Pétrolière (SSMP)|Oil & Gas Equipment & Services|http://www.ssmp.com.tn|http://www.ssmp.com.tn/careers|http://www.ssmp.com.tn/news
5|Schlumberger|Oil & Gas Equipment & Services|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
6|Halliburton|Oil & Gas Equipment & Services|http://www.halliburton.com|http://www.halliburton.com/careers|http://www.halliburton.com/news
7|Baker Hughes|Oil & Gas Equipment & Services|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
8|Weatherford|Oil & Gas Equipment & Services|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
9|Petrofac|Oil & Gas Equipment & Services|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news
10|Eni|Oil & Gas Equipment & Services|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news

|||Integrated oil & gas
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|ETAP|Integrated Oil & Gas|http://www.etap.com.tn|http://www.etap.com.tn/careers|http://www.etap.com.tn/news
2|Tunisian Company of Petroleum Activities (CTAP)|Integrated Oil & Gas|http://www.ctap.com.tn|http://www.ctap.com.tn/careers|http://www.ctap.com.tn/news
3|Société Tunisienne de Raffinage (STAR)|Integrated Oil & Gas|http://www.star.com.tn|http://www.star.com.tn/careers|http://www.star.com.tn/news
4|Tunisian Company of Oil and Gas (CTG)|Integrated Oil & Gas|http://www.ctg.com.tn|http://www.ctg.com.tn/careers|http://www.ctg.com.tn/news
5|Société de Distribution des Produits Pétroliers (SDPP)|Integrated Oil & Gas|http://www.sdpp.com.tn|http://www.sdpp.com.tn/careers|http://www.sdpp.com.tn/news
6|Shell Tunisia|Integrated Oil & Gas|http://www.shell.tn|http://www.shell.tn/careers|http://www.shell.tn/news
7|Total Tunisia|Integrated Oil & Gas|http://www.total.tn|http://www.total.tn/careers|http://www.total.tn/news
8|Eni|Integrated Oil & Gas|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news
9|Baker Hughes|Integrated Oil & Gas|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
10|Petrofac|Integrated Oil & Gas|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news

|||Oil & gas exploration & production
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|ETAP|Oil & Gas Exploration & Production|http://www.etap.com.tn|http://www.etap.com.tn/careers|http://www.etap.com.tn/news
2|Tunisian Company of Petroleum Activities (CTAP)|Oil & Gas Exploration & Production|http://www.ctap.com.tn|http://www.ctap.com.tn/careers|http://www.ctap.com.tn/news
3|Société Tunisienne de Forage (STF)|Oil & Gas Exploration & Production|http://www.stf.com.tn|http://www.stf.com.tn/careers|http://www.stf.com.tn/news
4|Mediterranean Oil & Gas|Oil & Gas Exploration & Production|http://www.mediterraneanoilandgas.com|http://www.mediterraneanoilandgas.com/careers|http://www.mediterraneanoilandgas.com/news
5|Société de Recherche et d'Exploitation Pétrolière (SREP)|Oil & Gas Exploration & Production|http://www.srep.com.tn|http://www.srep.com.tn/careers|http://www.srep.com.tn/news
6|Petrofac|Oil & Gas Exploration & Production|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news
7|Baker Hughes|Oil & Gas Exploration & Production|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
8|Halliburton|Oil & Gas Exploration & Production|http://www.halliburton.com|http://www.halliburton.com/careers|http://www.halliburton.com/news
9|Eni|Oil & Gas Exploration & Production|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news
10|Schlumberger|Oil & Gas Exploration & Production|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news

|||Oil & gas refining & marketing
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de Raffinage (STAR)|Oil & Gas Refining & Marketing|http://www.star.com.tn|http://www.star.com.tn/careers|http://www.star.com.tn/news
2|ETAP|Oil & Gas Refining & Marketing|http://www.etap.com.tn|http://www.etap.com.tn/careers|http://www.etap.com.tn/news
3|Tunisian Company of Petroleum Activities (CTAP)|Oil & Gas Refining & Marketing|http://www.ctap.com.tn|http://www.ctap.com.tn/careers|http://www.ctap.com.tn/news
4|Société de Distribution des Produits Pétroliers (SDPP)|Oil & Gas Refining & Marketing|http://www.sdpp.com.tn|http://www.sdpp.com.tn/careers|http://www.sdpp.com.tn/news
5|Shell Tunisia|Oil & Gas Refining & Marketing|http://www.shell.tn|http://www.shell.tn/careers|http://www.shell.tn/news
6|Total Tunisia|Oil & Gas Refining & Marketing|http://www.total.tn|http://www.total.tn/careers|http://www.total.tn/news
7|Eni|Oil & Gas Refining & Marketing|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news
8|Baker Hughes|Oil & Gas Refining & Marketing|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
9|Petrofac|Oil & Gas Refining & Marketing|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news
10|OMV Tunisia|Oil & Gas Refining & Marketing|http://www.omv.com|http://www.omv.com/careers|http://www.omv.com/news

|||Oil & gas storage & transportation
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de Transport des Hydrocarbures (STTH)|Oil & Gas Storage & Transportation|http://www.stth.com.tn|http://www.stth.com.tn/careers|http://www.stth.com.tn/news
2|Société de Transport des Produits Pétroliers (STPP)|Oil & Gas Storage & Transportation|http://www.stpp.com.tn|http://www.stpp.com.tn/careers|http://www.stpp.com.tn/news
3|Tunisian Company of Petroleum Activities (CTAP)|Oil & Gas Storage & Transportation|http://www.ctap.com.tn|http://www.ctap.com.tn/careers|http://www.ctap.com.tn/news
4|ETAP|Oil & Gas Storage & Transportation|http://www.etap.com.tn|http://www.etap.com.tn/careers|http://www.etap.com.tn/news
5|Société de Distribution des Produits Pétroliers (SDPP)|Oil & Gas Storage & Transportation|http://www.sdpp.com.tn|http://www.sdpp.com.tn/careers|http://www.sdpp.com.tn/news
6|Shell Tunisia|Oil & Gas Storage & Transportation|http://www.shell.tn|http://www.shell.tn/careers|http://www.shell.tn/news
7|Total Tunisia|Oil & Gas Storage & Transportation|http://www.total.tn|http://www.total.tn/careers|http://www.total.tn/news
8|Baker Hughes|Oil & Gas Storage & Transportation|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
9|Eni|Oil & Gas Storage & Transportation|http://www.eni.com|http://www.eni.com/careers|http://www.eni.com/news
10|Petrofac|Oil & Gas Storage & Transportation|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news

|||Coal & consumable fuels
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne des Industries de Carbone (STIC)|Coal & Consumable Fuels|http://www.stic.com.tn|http://www.stic.com.tn/careers|http://www.stic.com.tn/news
2|Carbone de Tunisie|Coal & Consumable Fuels|http://www.carbontunisie.com|http://www.carbontunisie.com/careers|http://www.carbontunisie.com/news
3|Société Tunisienne de Charbon (STC)|Coal & Consumable Fuels|http://www.stc.com.tn|http://www.stc.com.tn/careers|http://www.stc.com.tn/news
4|Société de Distribution des Combustibles (SDC)|Coal & Consumable Fuels|http://www.sdc.com.tn|http://www.sdc.com.tn/careers|http://www.sdc.com.tn/news
5|Société des Carburants et Lubrifiants (SCL)|Coal & Consumable Fuels|http://www.scl.com.tn|http://www.scl.com.tn/careers|http://www.scl.com.tn/news
6|Tunisian Company of Coal|Coal & Consumable Fuels|http://www.tunisiancoal.com|http://www.tunisiancoal.com/careers|http://www.tunisiancoal.com/news
7|Compagnie des Charbonnages de Tunisie|Coal & Consumable Fuels|http://www.cct.com.tn|http://www.cct.com.tn/careers|http://www.cct.com.tn/news
8|Société Tunisienne d'Energie|Coal & Consumable Fuels|http://www.ste.com.tn|http://www.ste.com.tn/careers|http://www.ste.com.tn/news
9|Société de Distribution de Charbon|Coal & Consumable Fuels|http://www.sdc.com.tn|http://www.sdc.com.tn/careers|http://www.sdc.com.tn/news
10|Société Tunisienne de Combustibles|Coal & Consumable Fuels|http://www.stc.com.tn|http://www.stc.com.tn/careers|http://www.stc.com.tn/news

|||Materials sector
|||Chemicals
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne des Industries de Raffinage|Chemicals|http://www.stir.com.tn|http://www.stir.com.tn/careers|http://www.stir.com.tn/news
2|Société Tunisienne des Engrais|Fertilizers|http://www.ste.com.tn|http://www.ste.com.tn/careers|http://www.ste.com.tn/news
3|Société des Produits Chimiques de Tunis|Specialty Chemicals|http://www.spct.com.tn|http://www.spct.com.tn/careers|http://www.spct.com.tn/news
4|Société Tunisienne de Fabrication de Produits Chimiques|Chemicals|http://www.stfpc.com.tn|http://www.stfpc.com.tn/careers|http://www.stfpc.com.tn/news
5|Société Chimique de Gabès|Chemicals|http://www.scg.com.tn|http://www.scg.com.tn/careers|http://www.scg.com.tn/news
6|Société Tunisienne des Acides|Chemicals|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
7|Société de Fabrication de Produits Chimiques|Chemicals|http://www.sfpc.com.tn|http://www.sfpc.com.tn/careers|http://www.sfpc.com.tn/news
8|Société de Distribution des Produits Chimiques|Chemicals|http://www.sdpc.com.tn|http://www.sdpc.com.tn/careers|http://www.sdpc.com.tn/news
9|Société des Produits Chimiques de Bizerte|Chemicals|http://www.spcb.com.tn|http://www.spcb.com.tn/careers|http://www.spcb.com.tn/news
10|Société Tunisienne des Produits Chimiques|Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news

|||Commodity chemicals
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de l'Acide Sulfurique|Commodity Chemicals|http://www.stas.com.tn|http://www.stas.com.tn/careers|http://www.stas.com.tn/news
2|Société Tunisienne des Produits Chimiques|Commodity Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news
3|Société des Engrais de Tunis|Commodity Chemicals|http://www.set.com.tn|http://www.set.com.tn/careers|http://www.set.com.tn/news
4|Société Chimique de Gabès|Commodity Chemicals|http://www.scg.com.tn|http://www.scg.com.tn/careers|http://www.scg.com.tn/news
5|Société Tunisienne de Fabrication de Produits Chimiques|Commodity Chemicals|http://www.stfpc.com.tn|http://www.stfpc.com.tn/careers|http://www.stfpc.com.tn/news
6|Société Tunisienne des Acides|Commodity Chemicals|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
7|Société des Produits Chimiques de Bizerte|Commodity Chemicals|http://www.spcb.com.tn|http://www.spcb.com.tn/careers|http://www.spcb.com.tn/news
8|Société de Fabrication de Produits Chimiques|Commodity Chemicals|http://www.sfpc.com.tn|http://www.sfpc.com.tn/careers|http://www.sfpc.com.tn/news
9|Société Tunisienne de l'Engrais|Commodity Chemicals|http://www.ste.com.tn|http://www.ste.com.tn/careers|http://www.ste.com.tn/news
10|Société de Distribution des Produits Chimiques|Commodity Chemicals|http://www.sdpc.com.tn|http://www.sdpc.com.tn/careers|http://www.sdpc.com.tn/news

|||Diversified chemicals
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de Produits Chimiques|Diversified Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news
2|Société des Produits Chimiques de Tunis|Diversified Chemicals|http://www.spct.com.tn|http://www.spct.com.tn/careers|http://www.spct.com.tn/news
3|Société Tunisienne de Fabrication de Produits Chimiques|Diversified Chemicals|http://www.stfpc.com.tn|http://www.stfpc.com.tn/careers|http://www.stfpc.com.tn/news
4|Société Chimique de Gabès|Diversified Chemicals|http://www.scg.com.tn|http://www.scg.com.tn/careers|http://www.scg.com.tn/news
5|Société Tunisienne des Acides|Diversified Chemicals|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
6|Société Tunisienne de l'Acide Sulfurique|Diversified Chemicals|http://www.stas.com.tn|http://www.stas.com.tn/careers|http://www.stas.com.tn/news
7|Société des Engrais de Tunis|Diversified Chemicals|http://www.set.com.tn|http://www.set.com.tn/careers|http://www.set.com.tn/news
8|Société de Fabrication de Produits Chimiques|Diversified Chemicals|http://www.sfpc.com.tn|http://www.sfpc.com.tn/careers|http://www.sfpc.com.tn/news
9|Société Tunisienne des Produits Chimiques|Diversified Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news
10|Société de Distribution des Produits Chimiques|Diversified Chemicals|http://www.sdpc.com.tn|http://www.sdpc.com.tn/careers|http://www.sdpc.com.tn/news

|||Fertilizers & agricultural chemicals
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne des Engrais|Fertilizers & Agricultural Chemicals|http://www.ste.com.tn|http://www.ste.com.tn/careers|http://www.ste.com.tn/news
2|Société des Engrais de Tunis|Fertilizers & Agricultural Chemicals|http://www.set.com.tn|http://www.set.com.tn/careers|http://www.set.com.tn/news
3|Société Tunisienne de Fabrication de Produits Chimiques|Fertilizers & Agricultural Chemicals|http://www.stfpc.com.tn|http://www.stfpc.com.tn/careers|http://www.stfpc.com.tn/news
4|Société Chimique de Gabès|Fertilizers & Agricultural Chemicals|http://www.scg.com.tn|http://www.scg.com.tn/careers|http://www.scg.com.tn/news
5|Société Tunisienne de l'Acide Sulfurique|Fertilizers & Agricultural Chemicals|http://www.stas.com.tn|http://www.stas.com.tn/careers|http://www.stas.com.tn/news
6|Société de Fabrication de Produits Chimiques|Fertilizers & Agricultural Chemicals|http://www.sfpc.com.tn|http://www.sfpc.com.tn/careers|http://www.sfpc.com.tn/news
7|Société Tunisienne des Produits Chimiques|Fertilizers & Agricultural Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news
8|Société de Distribution des Produits Chimiques|Fertilizers & Agricultural Chemicals|http://www.sdpc.com.tn|http://www.sdpc.com.tn/careers|http://www.sdpc.com.tn/news
9|Société Tunisienne des Acides|Fertilizers & Agricultural Chemicals|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
10|Société des Produits Chimiques de Tunis|Fertilizers & Agricultural Chemicals|http://www.spct.com.tn|http://www.spct.com.tn/careers|http://www.spct.com.tn/news

|||Industrial gases
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne des Gaz|Industrial Gases|http://www.stg.com.tn|http://www.stg.com.tn/careers|http://www.stg.com.tn/news
2|Air Liquide Tunisia|Industrial Gases|http://www.airliquide.com.tn|http://www.airliquide.com.tn/careers|http://www.airliquide.com.tn/news
3|Société des Gaz de Pétrole|Industrial Gases|http://www.sgp.com.tn|http://www.sgp.com.tn/careers|http://www.sgp.com.tn/news
4|Société Tunisienne de l'Azote|Industrial Gases|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
5|Société Tunisienne des Gaz Medicaux|Industrial Gases|http://www.stgm.com.tn|http://www.stgm.com.tn/careers|http://www.stgm.com.tn/news
6|Société de Distribution des Gaz|Industrial Gases|http://www.sdgas.com.tn|http://www.sdgas.com.tn/careers|http://www.sdgas.com.tn/news
7|Société de Production de Gaz|Industrial Gases|http://www.spg.com.tn|http://www.spg.com.tn/careers|http://www.spg.com.tn/news
8|Société Tunisienne de Gaz|Industrial Gases|http://www.stg.com.tn|http://www.stg.com.tn/careers|http://www.stg.com.tn/news
9|Société Tunisienne de l'Oxygène|Industrial Gases|http://www.sto.com.tn|http://www.sto.com.tn/careers|http://www.sto.com.tn/news
10|Société des Gaz Industriels|Industrial Gases|http://www.sgi.com.tn|http://www.sgi.com.tn/careers|http://www.sgi.com.tn/news

|||Specialty chemicals
1"Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Société Tunisienne de Produits Chimiques|Specialty Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news
2|Société des Produits Chimiques de Tunis|Specialty Chemicals|http://www.spct.com.tn|http://www.spct.com.tn/careers|http://www.spct.com.tn/news
3|Société Tunisienne de Fabrication de Produits Chimiques|Specialty Chemicals|http://www.stfpc.com.tn|http://www.stfpc.com.tn/careers|http://www.stfpc.com.tn/news
4|Société Chimique de Gabès|Specialty Chemicals|http://www.scg.com.tn|http://www.scg.com.tn/careers|http://www.scg.com.tn/news
5|Société Tunisienne des Acides|Specialty Chemicals|http://www.sta.com.tn|http://www.sta.com.tn/careers|http://www.sta.com.tn/news
6|Société Tunisienne des Produits Chimiques|Specialty Chemicals|http://www.stpc.com.tn|http://www.stpc.com.tn/careers|http://www.stpc.com.tn/news
