|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|BP|Oil & Gas Drilling|https://www.bp.com|https://www.bp.com/en/global/careers.html|https://www.bp.com/en/global/news.html
2|Royal Dutch Shell|Oil & Gas Drilling|https://www.shell.com|https://www.shell.com/careers.html|https://www.shell.com/media.html
3|Cairn Energy|Oil & Gas Drilling|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
4|EnQuest|Oil & Gas Drilling|https://www.enquest.com|https://www.enquest.com/careers|https://www.enquest.com/news
5|Tullow Oil|Oil & Gas Drilling|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
6|Premier Oil|Oil & Gas Drilling|https://www.premier-oil.com|https://www.premier-oil.com/careers|https://www.premier-oil.com/news
7|Serica Energy|Oil & Gas Drilling|https://www.serica-energy.com|https://www.serica-energy.com/careers|https://www.serica-energy.com/news
8|Ithaca Energy|Oil & Gas Drilling|https://www.ithacaenergy.com|https://www.ithacaenergy.com/careers|https://www.ithacaenergy.com/news
9|DNO ASA|Oil & Gas Drilling|https://www.dno.no|https://www.dno.no/careers|https://www.dno.no/news
10|Ophir Energy|Oil & Gas Drilling|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://careers.halliburton.com|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Wood|Oil & Gas Equipment & Services|https://www.woodplc.com|https://www.woodplc.com/careers|https://www.woodplc.com/news
5|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/en/careers|https://www.technipfmc.com/en/media
6|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|Cameron|Oil & Gas Equipment & Services|https://www.cameron.slb.com|https://www.cameron.slb.com/careers|https://www.cameron.slb.com/news
9|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news
10|Petrofac|Oil & Gas Equipment & Services|https://www.petrofac.com|https://www.petrofac.com/en/careers|https://www.petrofac.com/en/media

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/en/global/careers.html|https://www.bp.com/en/global/news.html
2|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers.html|https://www.shell.com/media.html
3|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
4|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
5|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enitraining|https://www.eni.com/enitraining/news
7|Equinor|Integrated Oil & Gas|https://www.equinor.com|https://www.equinor.com/careers|https://www.equinor.com/news/archive
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
10|OMV|Integrated Oil & Gas|https://www.omv.com|https://www.omv.com/en/careers|https://www.omv.com/en/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|BP|Oil & Gas Exploration & Production|https://www.bp.com|https://www.bp.com/en/global/careers.html|https://www.bp.com/en/global/news.html
2|Royal Dutch Shell|Oil & Gas Exploration & Production|https://www.shell.com|https://www.shell.com/careers.html|https://www.shell.com/media.html
3|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
4|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
5|EnQuest|Oil & Gas Exploration & Production|https://www.enquest.com|https://www.enquest.com/careers|https://www.enquest.com/news
6|Premier Oil|Oil & Gas Exploration & Production|https://www.premier-oil.com|https://www.premier-oil.com/careers|https://www.premier-oil.com/news
7|Serica Energy|Oil & Gas Exploration & Production|https://www.serica-energy.com|https://www.serica-energy.com/careers|https://www.serica-energy.com/news
8|Ithaca Energy|Oil & Gas Exploration & Production|https://www.ithacaenergy.com|https://www.ithacaenergy.com/careers|https://www.ithacaenergy.com/news
9|DNO ASA|Oil & Gas Exploration & Production|https://www.dno.no|https://www.dno.no/careers|https://www.dno.no/news
10|Ophir Energy|Oil & Gas Exploration & Production|https://www.ophir-energy.com|https://www.ophir-energy.com/careers|https://www.ophir-energy.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/en/global/careers.html|https://www.bp.com/en/global/news.html
2|Royal Dutch Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers.html|https://www.shell.com/media.html
3|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
4|Phillips 6|Oil & Gas Refining & Marketing|https://www.phillips66.com|https://www.phillips66.com/careers|https://www.phillips66.com/news
5|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/careers|https://www.valero.com/news
6|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
7|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
8|Neste|Oil & Gas Refining & Marketing|https://www.neste.com|https://www.neste.com/careers|https://www.neste.com/news
9|PBF Energy|Oil & Gas Refining & Marketing|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|National Grid|Oil & Gas Storage & Transportation|https://www.nationalgrid.com|https://www.nationalgrid.com/careers|https://www.nationalgrid.com/news
2|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
3|Centrica|Oil & Gas Storage & Transportation|https://www.centrica.com|https://www.centrica.com/careers|https://www.centrica.com/news
4|SSE|Oil & Gas Storage & Transportation|https://www.sse.com|https://www.sse.com/careers|https://www.sse.com/news
5|Drax Group|Oil & Gas Storage & Transportation|https://www.drax.com|https://www.drax.com/careers|https://www.drax.com/news
6|Fluxys|Oil & Gas Storage & Transportation|https://www.fluxys.com|https://www.fluxys.com/en/careers|https://www.fluxys.com/en/news
7|TGE Gas Engineering|Oil & Gas Storage & Transportation|https://www.tge-gas.com|https://www.tge-gas.com/careers|https://www.tge-gas.com/news
8|MOL Group|Oil & Gas Storage & Transportation|https://molgroup.info|https://molgroup.info/en/careers|https://molgroup.info/en/media
9|Oiltanking|Oil & Gas Storage & Transportation|https://www.oiltanking.com|https://www.oiltanking.com/careers|https://www.oiltanking.com/news
10|Vopak|Oil & Gas Storage & Transportation|https://www.vopak.com|https://www.vopak.com/careers|https://www.vopak.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Westmoreland Coal Company|Coal & Consumable Fuels|https://www.westmoreland.com|https://www.westmoreland.com/careers|https://www.westmoreland.com/news
2|UK Coal|Coal & Consumable Fuels|https://www.ukcoal.com|https://www.ukcoal.com/careers|https://www.ukcoal.com/news
3|Hargreaves Services|Coal & Consumable Fuels|https://www.hargreavesservices.co.uk|https://www.hargreavesservices.co.uk/careers|https://www.hargreavesservices.co.uk/news
4|Daw Mill|Coal & Consumable Fuels|https://www.dawmill.co.uk|https://www.dawmill.co.uk/careers|https://www.dawmill.co.uk/news
5|Foresight Group|Coal & Consumable Fuels|https://www.foresightgroup.eu|https://www.foresightgroup.eu/careers|https://www.foresightgroup.eu/news
6|Celtic Energy|Coal & Consumable Fuels|https://www.celtic-energy.co.uk|https://www.celtic-energy.co.uk/careers|https://www.celtic-energy.co.uk/news
7|Murray Energy|Coal & Consumable Fuels|https://www.murrayenergy.com|https://www.murrayenergy.com/careers|https://www.murrayenergy.com/news
8|Coal India|Coal & Consumable Fuels|https://www.coalindia.in|https://www.coalindia.in/careers|https://www.coalindia.in/news
9|RWE|Coal & Consumable Fuels|https://www.rwe.com|https://www.rwe.com/careers|https://www.rwe.com/en/news
10|Linc Energy|Coal & Consumable Fuels|https://www.lincenergy.com|https://www.lincenergy.com/careers|https://www.lincenergy.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|SABIC|Chemicals|https://www.sabic.com|https://www.sabic.com/en/careers|https://www.sabic.com/en/news
2|BASF|Chemicals|https://www.basf.com|https://www.basf.com/global/en/careers.html|https://www.basf.com/global/en/media/news.html
3|Ineos|Chemicals|https://www.ineos.com|https://www.ineos.com/careers|https://www.ineos.com/news/
4|Croda International|Chemicals|https://www.croda.com|https://www.croda.com/en-gb/careers|https://www.croda.com/en-gb/news
5|Johnson Matthey|Chemicals|https://www.matthey.com|https://matthey.com/careers|https://matthey.com/media
6|Elementis|Chemicals|https://www.elementis.com|https://www.elementis.com/careers|https://www.elementis.com/news
7|AkzoNobel|Chemicals|https://www.akzonobel.com|https://www.akzonobel.com/careers|https://www.akzonobel.com/media
8|Huntsman|Chemicals|https://www.huntsman.com|https://www.huntsman.com/careers|https://www.huntsman.com/news
9|Lanxess|Chemicals|https://lanxess.com|https://lanxess.com/en/careers|https://lanxess.com/en/media
10|Solvay|Chemicals|https://www.solvay.com|https://www.solvay.com/en/careers|https://www.solvay.com/en/media

|||Commodity chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Ineos|Commodity Chemicals|https://www.ineos.com|https://www.ineos.com/careers|https://www.ineos.com/news/
2|BASF|Commodity Chemicals|https://www.basf.com|https://www.basf.com/global/en/careers.html|https://www.basf.com/global/en/media/news.html
3|SABIC|Commodity Chemicals|https://www.sabic.com|https://www.sabic.com/en/careers|https://www.sabic.com/en/news
4|LyondellBasell|Commodity Chemicals|https://www.lyondellbasell.com|https://www.lyondellbasell.com/careers|https://www.lyondellbasell.com/news
5|Tate & Lyle|Commodity Chemicals|https://www.tateandlyle.com|https://www.tateandlyle.com/careers|https://www.tateandlyle.com/news
6|Solvay|Commodity Chemicals|https://www.solvay.com|https://www.solvay.com/en/careers|https://www.solvay.com/en/media
7|Eastman Chemical Company|Commodity Chemicals|https://www.eastman.com|https://www.eastman.com/en/careers|https://www.eastman.com/en/media
8|Celanese|Commodity Chemicals|https://www.celanese.com|https://www.celanese.com/careers|https://www.celanese.com/en/media
9|Lanxess|Commodity Chemicals|https://lanxess.com|https://lanxess.com/en/careers|https://lanxess.com/en/media
10|Oxea|Commodity Chemicals|https://www.oxea-chemicals.com|https://www.oxea-chemicals.com/careers|https://www.oxea-chemicals.com/news

|||Diversified chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Johnson Matthey|Diversified Chemicals|https://www.matthey.com|https://matthey.com/careers|https://matthey.com/media
2|Croda International|Diversified Chemicals|https://www.croda.com|https://www.croda.com/en-gb/careers|https://www.croda.com/en-gb/news
3|BASF|Diversified Chemicals|https://www.basf.com|https://www.basf.com/global/en/careers.html|https://www.basf.com/global/en/media/news.html
4|Ineos|Diversified Chemicals|https://www.ineos.com|https://www.ineos.com/careers|https://www.ineos.com/news/
5|SABIC|Diversified Chemicals|https://www.sabic.com|https://www.sabic.com/en/careers|https://www.sabic.com/en/news
6|Solvay|Diversified Chemicals|https://www.solvay.com|https://www.solvay.com/en/careers|https://www.solvay.com/en/media
