|||Hongkong
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|CNOOC Limited|Oil & Gas Drilling|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
2|PetroChina Company Limited|Oil & Gas Drilling|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
3|China Oilfield Services Limited|Oil & Gas Drilling|http://www.cosl.com.cn|http://www.cosl.com.cn/en/careers|http://www.cosl.com.cn/en/news
4|Husky Energy|Oil & Gas Drilling|http://www.huskyenergy.com|http://www.huskyenergy.com/careers|http://www.huskyenergy.com/news
5|Sinopec Limited|Oil & Gas Drilling|http://www.sinopec.com|http://www.sinopec.com/global/en/careers|http://www.sinopec.com/global/en/news
6|China National Petroleum Corporation|Oil & Gas Drilling|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
7|Eni Hong Kong|Oil & Gas Drilling|http://www.eni.com|http://www.eni.com/enipersonale|http://www.eni.com/enipersonale/news
8|Baker Hughes|Oil & Gas Drilling|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
9|Schlumberger Limited|Oil & Gas Drilling|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
10|Transocean Ltd.|Oil & Gas Drilling|http://www.deepwater.com|http://www.deepwater.com/careers|http://www.deepwater.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger Limited|Oil & Gas Equipment & Services|http://www.slb.com|http://www.slb.com/careers|http://www.slb.com/news
2|Halliburton Company|Oil & Gas Equipment & Services|http://www.halliburton.com|http://www.halliburton.com/en/careers|http://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|http://www.bakerhughes.com|http://www.bakerhughes.com/careers|http://www.bakerhughes.com/news
4|Weatherford International|Oil & Gas Equipment & Services|http://www.weatherford.com|http://www.weatherford.com/careers|http://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|http://www.nov.com|http://www.nov.com/careers|http://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|http://www.technipfmc.com|http://www.technipfmc.com/careers|http://www.technipfmc.com/news
7|KBR, Inc.|Oil & Gas Equipment & Services|http://www.kbr.com|http://www.kbr.com/careers|http://www.kbr.com/news
8|Aker Solutions|Oil & Gas Equipment & Services|http://www.akersolutions.com|http://www.akersolutions.com/en/careers|http://www.akersolutions.com/en/news
9|Oceaneering International|Oil & Gas Equipment & Services|http://www.oceaneering.com|http://www.oceaneering.com/careers|http://www.oceaneering.com/news
10|Petrofac Limited|Oil & Gas Equipment & Services|http://www.petrofac.com|http://www.petrofac.com/careers|http://www.petrofac.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|CNOOC Limited|Integrated Oil & Gas|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
2|PetroChina Company Limited|Integrated Oil & Gas|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
3|Sinopec Limited|Integrated Oil & Gas|http://www.sinopec.com|http://www.sinopec.com/global/en/careers|http://www.sinopec.com/global/en/news
4|China National Petroleum Corporation|Integrated Oil & Gas|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
5|Husky Energy|Integrated Oil & Gas|http://www.huskyenergy.com|http://www.huskyenergy.com/careers|http://www.huskyenergy.com/news
6|Eni Hong Kong|Integrated Oil & Gas|http://www.eni.com|http://www.eni.com/enipersonale|http://www.eni.com/enipersonale/news
7|TotalEnergies|Integrated Oil & Gas|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
8|Chevron Corporation|Integrated Oil & Gas|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
9|ExxonMobil|Integrated Oil & Gas|http://www.exxonmobil.com|http://www.exxonmobil.com/en/careers|http://www.exxonmobil.com/en/news
10|Repsol|Integrated Oil & Gas|http://www.repsol.com|http://www.repsol.com/en/careers|http://www.repsol.com/en/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|CNOOC Limited|Oil & Gas Exploration & Production|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
2|PetroChina Company Limited|Oil & Gas Exploration & Production|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
3|Sinopec Limited|Oil & Gas Exploration & Production|http://www.sinopec.com|http://www.sinopec.com/global/en/careers|http://www.sinopec.com/global/en/news
4|China National Petroleum Corporation|Oil & Gas Exploration & Production|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
5|Husky Energy|Oil & Gas Exploration & Production|http://www.huskyenergy.com|http://www.huskyenergy.com/careers|http://www.huskyenergy.com/news
6|Eni Hong Kong|Oil & Gas Exploration & Production|http://www.eni.com|http://www.eni.com/enipersonale|http://www.eni.com/enipersonale/news
7|TotalEnergies|Oil & Gas Exploration & Production|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
8|Chevron Corporation|Oil & Gas Exploration & Production|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
9|ExxonMobil|Oil & Gas Exploration & Production|http://www.exxonmobil.com|http://www.exxonmobil.com/en/careers|http://www.exxonmobil.com/en/news
10|Repsol|Oil & Gas Exploration & Production|http://www.repsol.com|http://www.repsol.com/en/careers|http://www.repsol.com/en/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|CNOOC Limited|Oil & Gas Refining & Marketing|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
2|Sinopec Limited|Oil & Gas Refining & Marketing|http://www.sinopec.com|http://www.sinopec.com/global/en/careers|http://www.sinopec.com/global/en/news
3|PetroChina Company Limited|Oil & Gas Refining & Marketing|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China National Petroleum Corporation|Oil & Gas Refining & Marketing|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
5|Husky Energy|Oil & Gas Refining & Marketing|http://www.huskyenergy.com|http://www.huskyenergy.com/careers|http://www.huskyenergy.com/news
6|TotalEnergies|Oil & Gas Refining & Marketing|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
7|Chevron Corporation|Oil & Gas Refining & Marketing|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
8|ExxonMobil|Oil & Gas Refining & Marketing|http://www.exxonmobil.com|http://www.exxonmobil.com/en/careers|http://www.exxonmobil.com/en/news
9|Repsol|Oil & Gas Refining & Marketing|http://www.repsol.com|http://www.repsol.com/en/careers|http://www.repsol.com/en/news
10|PBF Energy|Oil & Gas Refining & Marketing|http://www.pbfenergy.com|http://www.pbfenergy.com/careers|http://www.pbfenergy.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|CNOOC Limited|Oil & Gas Storage & Transportation|http://www.cnoocltd.com|http://www.cnoocltd.com/en/careers|http://www.cnoocltd.com/en/news
2|Sinopec Limited|Oil & Gas Storage & Transportation|http://www.sinopec.com|http://www.sinopec.com/global/en/careers|http://www.sinopec.com/global/en/news
3|PetroChina Company Limited|Oil & Gas Storage & Transportation|http://www.petrochina.com.cn|http://www.petrochina.com.cn/en/careers|http://www.petrochina.com.cn/en/news
4|China National Petroleum Corporation|Oil & Gas Storage & Transportation|http://www.cnpc.com.cn|http://www.cnpc.com.cn/en/careers|http://www.cnpc.com.cn/en/news
5|TotalEnergies|Oil & Gas Storage & Transportation|http://www.totalenergies.com|http://www.totalenergies.com/careers|http://www.totalenergies.com/news
6|Chevron Corporation|Oil & Gas Storage & Transportation|http://www.chevron.com|http://www.chevron.com/careers|http://www.chevron.com/news
7|ExxonMobil|Oil & Gas Storage & Transportation|http://www.exxonmobil.com|http://www.exxonmobil.com/en/careers|http://www.exxonmobil.com/en/news
