|||Israel
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Delek Group|Oil & Gas Drilling|https://www.delek-group.com|https://www.delek-group.com/careers|https://www.delek-group.com/news
2|Noble Energy|Oil & Gas Drilling|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
3|Energean|Oil & Gas Drilling|https://www.energean.com|https://www.energean.com/careers|https://www.energean.com/news
4|Isramco|Oil & Gas Drilling|https://www.isramco.com|https://www.isramco.com/careers|https://www.isramco.com/news
5|Givot Olam|Oil & Gas Drilling|https://www.givot.co.il|https://www.givot.co.il/careers|https://www.givot.co.il/news
6|Zion Oil & Gas|Oil & Gas Drilling|https://www.zionoil.com|https://www.zionoil.com/careers|https://www.zionoil.com/news
7|Avner Oil Exploration|Oil & Gas Drilling|https://www.avner.co.il|https://www.avner.co.il/careers|https://www.avner.co.il/news
8|Yitzhak Shalom|Oil & Gas Drilling|https://www.yitzhakshalom.com|https://www.yitzhakshalom.com/careers|https://www.yitzhakshalom.com/news
9|Sahara Energy|Oil & Gas Drilling|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
10|Israel Natural Gas Lines|Oil & Gas Drilling|https://www.ingl.co.il|https://www.ingl.co.il/careers|https://www.ingl.co.il/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Alon Group|Oil & Gas Equipment & Services|https://www.alongroup.com|https://www.alongroup.com/careers|https://www.alongroup.com/news
2|Golan Heights|Oil & Gas Equipment & Services|https://www.golanheights.com|https://www.golanheights.com/careers|https://www.golanheights.com/news
3|IDE Technologies|Oil & Gas Equipment & Services|https://www.ide-tech.com|https://www.ide-tech.com/careers|https://www.ide-tech.com/news
4|Koor Industries|Oil & Gas Equipment & Services|https://www.koor.com|https://www.koor.com/careers|https://www.koor.com/news
5|Tahal Group|Oil & Gas Equipment & Services|https://www.tahal.com|https://www.tahal.com/careers|https://www.tahal.com/news
6|Solel Boneh|Oil & Gas Equipment & Services|https://www.solelboneh.com|https://www.solelboneh.com/careers|https://www.solelboneh.com/news
7|Mekorot|Oil & Gas Equipment & Services|https://www.mekorot.co.il|https://www.mekorot.co.il/careers|https://www.mekorot.co.il/news
8|Elbit Systems|Oil & Gas Equipment & Services|https://www.elbitsystems.com|https://www.elbitsystems.com/careers|https://www.elbitsystems.com/news
9|Brenner Oil|Oil & Gas Equipment & Services|https://www.brenneroil.com|https://www.brenneroil.com/careers|https://www.brenneroil.com/news
10|Israel Chemicals|Oil & Gas Equipment & Services|https://www.icl-group.com|https://www.icl-group.com/careers|https://www.icl-group.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Delek Group|Integrated Oil & Gas|https://www.delek-group.com|https://www.delek-group.com/careers|https://www.delek-group.com/news
2|Noble Energy|Integrated Oil & Gas|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
3|Energean|Integrated Oil & Gas|https://www.energean.com|https://www.energean.com/careers|https://www.energean.com/news
4|Isramco|Integrated Oil & Gas|https://www.isramco.com|https://www.isramco.com/careers|https://www.isramco.com/news
5|Givot Olam|Integrated Oil & Gas|https://www.givot.co.il|https://www.givot.co.il/careers|https://www.givot.co.il/news
6|Zion Oil & Gas|Integrated Oil & Gas|https://www.zionoil.com|https://www.zionoil.com/careers|https://www.zionoil.com/news
7|Avner Oil Exploration|Integrated Oil & Gas|https://www.avner.co.il|https://www.avner.co.il/careers|https://www.avner.co.il/news
8|Israel Natural Gas Lines|Integrated Oil & Gas|https://www.ingl.co.il|https://www.ingl.co.il/careers|https://www.ingl.co.il/news
9|Sahara Energy|Integrated Oil & Gas|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
10|Koor Industries|Integrated Oil & Gas|https://www.koor.com|https://www.koor.com/careers|https://www.koor.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Delek Drilling|Oil & Gas Exploration & Production|https://www.delek-drilling.com|https://www.delek-drilling.com/careers|https://www.delek-drilling.com/news
2|Noble Energy|Oil & Gas Exploration & Production|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
3|Energean|Oil & Gas Exploration & Production|https://www.energean.com|https://www.energean.com/careers|https://www.energean.com/news
4|Isramco|Oil & Gas Exploration & Production|https://www.isramco.com|https://www.isramco.com/careers|https://www.isramco.com/news
5|Givot Olam|Oil & Gas Exploration & Production|https://www.givot.co.il|https://www.givot.co.il/careers|https://www.givot.co.il/news
6|Zion Oil & Gas|Oil & Gas Exploration & Production|https://www.zionoil.com|https://www.zionoil.com/careers|https://www.zionoil.com/news
7|Avner Oil Exploration|Oil & Gas Exploration & Production|https://www.avner.co.il|https://www.avner.co.il/careers|https://www.avner.co.il/news
8|Israel Natural Gas Lines|Oil & Gas Exploration & Production|https://www.ingl.co.il|https://www.ingl.co.il/careers|https://www.ingl.co.il/news
9|Sahara Energy|Oil & Gas Exploration & Production|https://www.saharaenergy.com|https://www.saharaenergy.com/careers|https://www.saharaenergy.com/news
10|Koor Industries|Oil & Gas Exploration & Production|https://www.koor.com|https://www.koor.com/careers|https://www.koor.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Paz Oil Company|Oil & Gas Refining & Marketing|https://www.paz.co.il|https://www.paz.co.il/careers|https://www.paz.co.il/news
2|Delek Group|Oil & Gas Refining & Marketing|https://www.delek-group.com|https://www.delek-group.com/careers|https://www.delek-group.com/news
3|Sonol Israel|Oil & Gas Refining & Marketing|https://www.sonol.co.il|https://www.sonol.co.il/careers|https://www.sonol.co.il/news
4|Zarubezhneft|Oil & Gas Refining & Marketing|https://www.zarubezhneft.ru|https://www.zarubezhneft.ru/careers|https://www.zarubezhneft.ru/news
5|Isramco|Oil & Gas Refining & Marketing|https://www.isramco.com|https://www.isramco.com/careers|https://www.isramco.com/news
6|Noble Energy|Oil & Gas Refining & Marketing|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
7|Gazit-Globe|Oil & Gas Refining & Marketing|https://www.gazit-globe.com|https://www.gazit-globe.com/careers|https://www.gazit-globe.com/news
8|Energean|Oil & Gas Refining & Marketing|https://www.energean.com|https://www.energean.com/careers|https://www.energean.com/news
9|Avner Oil Exploration|Oil & Gas Refining & Marketing|https://www.avner.co.il|https://www.avner.co.il/careers|https://www.avner.co.il/news
10|Koor Industries|Oil & Gas Refining & Marketing|https://www.koor.com|https://www.koor.com/careers|https://www.koor.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Paz Oil Company|Oil & Gas Storage & Transportation|https://www.paz.co.il|https://www.paz.co.il/careers|https://www.paz.co.il/news
