|||Japan
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Japan Drilling Co., Ltd.|Oil & Gas Drilling|https://www.japandrilling.co.jp|https://www.japandrilling.co.jp/careers|https://www.japandrilling.co.jp/news
2|Nippon Oil Drilling Co., Ltd.|Oil & Gas Drilling|https://www.nipponoil.co.jp|https://www.nipponoil.co.jp/careers|https://www.nipponoil.co.jp/news
3|Sankei Oilfield Co., Ltd.|Oil & Gas Drilling|https://www.sankei-oilfield.co.jp|https://www.sankei-oilfield.co.jp/careers|https://www.sankei-oilfield.co.jp/news
4|Mitsui Oil Exploration Co., Ltd.|Oil & Gas Drilling|https://www.mitsui-oil.co.jp|https://www.mitsui-oil.co.jp/careers|https://www.mitsui-oil.co.jp/news
5|Japan Petroleum Exploration Co., Ltd.|Oil & Gas Drilling|https://www.japex.co.jp|https://www.japex.co.jp/careers|https://www.japex.co.jp/news
6|Inpex Corporation|Oil & Gas Drilling|https://www.inpex.co.jp|https://www.inpex.co.jp/careers|https://www.inpex.co.jp/news
7|Toshiba Energy Systems & Solutions Corporation|Oil & Gas Drilling|https://www.toshiba-energy.com|https://www.toshiba-energy.com/careers|https://www.toshiba-energy.com/news
8|JOGMEC (Japan Oil, Gas and Metals National Corporation)|Oil & Gas Drilling|https://www.jogmec.go.jp|https://www.jogmec.go.jp/careers|https://www.jogmec.go.jp/news
9|Showa Shell Sekiyu K.K.|Oil & Gas Drilling|https://www.showa-shell.co.jp|https://www.showa-shell.co.jp/careers|https://www.showa-shell.co.jp/news
10|Kyushu Electric Power Co., Inc.|Oil & Gas Drilling|https://www.kyuden.co.jp|https://www.kyuden.co.jp/careers|https://www.kyuden.co.jp/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger Japan|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton Japan|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes Japan|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford Japan|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco Japan|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|JFE Engineering Corporation|Oil & Gas Equipment & Services|https://www.jfe-eng.co.jp|https://www.jfe-eng.co.jp/careers|https://www.jfe-eng.co.jp/news
7|Mitsui & Co., Ltd.|Oil & Gas Equipment & Services|https://www.mitsui.com|https://www.mitsui.com/careers|https://www.mitsui.com/news
8|Toyo Engineering Corporation|Oil & Gas Equipment & Services|https://www.toyo-eng.com|https://www.toyo-eng.com/careers|https://www.toyo-eng.com/news
9|Hitachi, Ltd.|Oil & Gas Equipment & Services|https://www.hitachi.com|https://www.hitachi.com/careers|https://www.hitachi.com/news
10|Sumitomo Heavy Industries, Ltd.|Oil & Gas Equipment & Services|https://www.shi.co.jp|https://www.shi.co.jp/careers|https://www.shi.co.jp/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Eneos Holdings, Inc.|Integrated Oil & Gas|https://www.eneos.co.jp|https://www.eneos.co.jp/en/careers|https://www.eneos.co.jp/en/news
2|Japan Petroleum Exploration Co., Ltd.|Integrated Oil & Gas|https://www.japex.co.jp|https://www.japex.co.jp/en/careers|https://www.japex.co.jp/en/news
3|Mitsui & Co., Ltd.|Integrated Oil & Gas|https://www.mitsui.com|https://www.mitsui.com/jp/en/careers|https://www.mitsui.com/jp/en/news
4|Inpex Corporation|Integrated Oil & Gas|https://www.inpex.co.jp|https://www.inpex.co.jp/english/recruit|https://www.inpex.co.jp/english/news
5|Showa Shell Sekiyu K.K.|Integrated Oil & Gas|https://www.showa-shell.co.jp|https://www.showa-shell.co.jp/en/careers|https://www.showa-shell.co.jp/en/news
6|Kyushu Electric Power Co., Inc.|Integrated Oil & Gas|https://www.kyuden.co.jp|https://www.kyuden.co.jp/careers|https://www.kyuden.co.jp/news
7|Toshiba Energy Systems & Solutions Corporation|Integrated Oil & Gas|https://www.toshiba-energy.com|https://www.toshiba-energy.com/careers|https://www.toshiba-energy.com/news
8|Sankei Oilfield Co., Ltd.|Integrated Oil & Gas|https://www.sankei-oilfield.co.jp|https://www.sankei-oilfield.co.jp/careers|https://www.sankei-oilfield.co.jp/news
9|JFE Engineering Corporation|Integrated Oil & Gas|https://www.jfe-eng.co.jp|https://www.jfe-eng.co.jp/careers|https://www.jfe-eng.co.jp/news
10|Mitsui Oil Exploration Co., Ltd.|Integrated Oil & Gas|https://www.mitsui-oil.co.jp|https://www.mitsui-oil.co.jp/careers|https://www.mitsui-oil.co.jp/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Japan Petroleum Exploration Co., Ltd.|Oil & Gas Exploration & Production|https://www.japex.co.jp|https://www.japex.co.jp/en/careers|https://www.japex.co.jp/en/news
2|Inpex Corporation|Oil & Gas Exploration & Production|https://www.inpex.co.jp|https://www.inpex.co.jp/english/recruit|https://www.inpex.co.jp/english/news
3|Mitsui Oil Exploration Co., Ltd.|Oil & Gas Exploration & Production|https://www.mitsui-oil.co.jp|https://www.mitsui-oil.co.jp/careers|https://www.mitsui-oil.co.jp/news
4|Eneos Holdings, Inc.|Oil & Gas Exploration & Production|https://www.eneos.co.jp|https://www.eneos.co.jp/en/careers|https://www.eneos.co.jp/en/news
5|Teikoku Oil Co., Ltd.|Oil & Gas Exploration & Production|https://www.teikoku-oil.co.jp|https://www.teikoku-oil.co.jp/careers|https://www.teikoku-oil.co.jp/news
6|Showa Shell Sekiyu K.K.|Oil & Gas Exploration & Production|https://www.showa-shell.co.jp|https://www.showa-shell.co.jp/en/careers|https://www.showa-shell.co.jp/en/news
7|Sankei Oilfield Co., Ltd.|Oil & Gas Exploration & Production|https://www.sankei-oilfield.co.jp|https://www.sankei-oilfield.co.jp/careers|https://www.sankei-oilfield.co.jp/news
8|JOGMEC (Japan Oil, Gas and Metals National Corporation)|Oil & Gas Exploration & Production|https://www.jogmec.go.jp|https://www.jogmec.go.jp/careers|https://www.jogmec.go.jp/news
9|Mitsubishi Corporation|Oil & Gas Exploration & Production|https://www.mitsubishicorp.com|https://www.mitsubishicorp.com/jp/en/careers|https://www.mitsubishicorp.com/jp/en/news
10|Kyushu Electric Power Co., Inc.|Oil & Gas Exploration & Production|https://www.kyuden.co.jp|https://www.kyuden.co.jp/careers|https://www.kyuden.co.jp/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Eneos Holdings, Inc.|Oil & Gas Refining & Marketing|https://www.eneos.co.jp|https://www.eneos.co.jp/en/careers|https://www.eneos.co.jp/en/news
2|Showa Shell Sekiyu K.K.|Oil & Gas Refining & Marketing|https://www.showa-shell.co.jp|https://www.showa-shell.co.jp/en/careers|https://www.showa-shell.co.jp/en/news
3|Idemitsu Kosan Co., Ltd.|Oil & Gas Refining & Marketing|https://www.idemitsu.com|https://www.idemitsu.com/en/careers|https://www.idemitsu.com/en/news
4|Cosmo Energy Holdings Co., Ltd.|Oil & Gas Refining & Marketing|https://www.cosmo-energy-hd.co.jp|https://www.cosmo-energy-hd.co.jp/english/recruit|https://www.cosmo-energy-hd.co.jp/english/news
5|Mitsui & Co., Ltd.|Oil & Gas Refining & Marketing|https://www.mitsui.com|https://www.mitsui.com/jp/en/careers|https://www.mitsui.com/jp/en/news
6|Kyoto Oil Co., Ltd.|Oil & Gas Refining & Marketing|https://www.kyoto-oil.co.jp|https://www.kyoto-oil.co.jp/careers|https://www.kyoto-oil.co.jp/news
7|Sankei Oilfield Co., Ltd.|Oil & Gas Refining & Marketing|https://www.sankei-oilfield.co.jp|https://www.sankei-oilfield.co.jp/careers|https://www.sankei-oilfield.co.jp/news
8|JX Nippon Oil & Energy Corporation|Oil & Gas Refining & Marketing|https://www.jx-group.co.jp|https://www.jx-group.co.jp/english/recruit|https://www.jx-group.co.jp/english/news
9|Mitsubishi Corporation|Oil & Gas Refining & Marketing|https://www.mitsubishicorp.com|https://www.mitsubishicorp.com/jp/en/careers|https://www.mitsubishicorp.com/jp/en/news
10|TonenGeneral Sekiyu K.K.|Oil & Gas Refining & Marketing|https://www.tonengeneral.co.jp|https://www.tonengeneral.co.jp/en/careers|https://www.tonengeneral.co.jp/en/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|JX Nippon Oil & Energy Corporation|Oil & Gas Storage & Transportation|https://www.jx-group.co.jp|https://www.jx-group.co.jp/english/recruit|https://www.jx-group.co.jp/english/news
