|||Qatar
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Qatar Petroleum|Oil & Gas Drilling|https://www.qp.com.qa|https://www.qp.com.qa/en/Careers|https://www.qp.com.qa/en/Media
2|Maersk Oil Qatar|Oil & Gas Drilling|https://www.maersk.com|https://www.maersk.com/careers|https://www.maersk.com/news
3|Noble Energy|Oil & Gas Drilling|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
4|TotalEnergies|Oil & Gas Drilling|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/news
5|Shell Qatar|Oil & Gas Drilling|https://www.shell.com.qa|https://www.shell.com.qa/careers|https://www.shell.com.qa/news
6|ConocoPhillips|Oil & Gas Drilling|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
7|Petrofac|Oil & Gas Drilling|https://www.petrofac.com|https://www.petrofac.com/careers|https://www.petrofac.com/news
8|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
9|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
10|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/en/careers|https://www.halliburton.com/en/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|Cameron|Oil & Gas Equipment & Services|https://www.c-a-m.com|https://www.c-a-m.com/careers|https://www.c-a-m.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
