|||Singapore
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Keppel Corporation|Oil & Gas Drilling|https://www.keppelcorp.com|https://www.keppelcorp.com/careers|https://www.keppelcorp.com/news
2|Sembcorp Marine|Oil & Gas Drilling|https://www.sembmarine.com|https://www.sembmarine.com/careers|https://www.sembmarine.com/news
3|Baker Hughes|Oil & Gas Drilling|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Schlumberger|Oil & Gas Drilling|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
5|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
6|Halliburton|Oil & Gas Drilling|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
7|EnscoRowan|Oil & Gas Drilling|https://www.enscorowan.com|https://www.enscorowan.com/careers|https://www.enscorowan.com/news
8|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
9|Weatherford|Oil & Gas Drilling|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
10|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc-technologies.com|https://www.fmc-technologies.com/careers|https://www.fmc-technologies.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
9|Seadrill|Oil & Gas Equipment & Services|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
10|Oceaneering International|Oil & Gas Equipment & Services|https://www.oceaneering.com|https://www.oceaneering.com/careers|https://www.oceaneering.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Shell|Integrated Oil & Gas|https://www.shell.com.sg|https://www.shell.com.sg/careers|https://www.shell.com.sg/media
2|ExxonMobil|Integrated Oil & Gas|https://www.exxonmobil.com.sg|https://www.exxonmobil.com.sg/careers|https://www.exxonmobil.com.sg/news
3|Chevron|Integrated Oil & Gas|https://www.chevron.com.sg|https://www.chevron.com.sg/careers|https://www.chevron.com.sg/news
4|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com.sg|https://totalenergies.com.sg/careers|https://totalenergies.com.sg/news
5|PetroChina|Integrated Oil & Gas|http://www.petrochina.com.sg|http://www.petrochina.com.sg/careers|http://www.petrochina.com.sg/news
6|Sinopec|Integrated Oil & Gas|http://www.sinopec.com.sg|http://www.sinopec.com.sg/careers|http://www.sinopec.com.sg/news
7|PTT Exploration and Production|Integrated Oil & Gas|https://www.pttep.com|https://www.pttep.com/en/careers|https://www.pttep.com/en/news
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/en/careers|https://www.eni.com/en/media
10|OMV|Integrated Oil & Gas|https://www.omv.com|https://www.omv.com/en/careers|https://www.omv.com/en/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Santos|Oil & Gas Exploration & Production|https://www.santos.com|https://www.santos.com/careers|https://www.santos.com/news
2|Husky Energy|Oil & Gas Exploration & Production|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news
3|KrisEnergy|Oil & Gas Exploration & Production|https://www.krisenergy.com|https://www.krisenergy.com/careers|https://www.krisenergy.com/news
4|Petrobras|Oil & Gas Exploration & Production|https://www.petrobras.com.br|https://www.petrobras.com.br/en/careers|https://www.petrobras.com.br/en/news
5|Eni|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/en/careers|https://www.eni.com/en/media
6|Murphy Oil|Oil & Gas Exploration & Production|https://www.murphyoilcorp.com|https://www.murphyoilcorp.com/careers|https://www.murphyoilcorp.com/news
7|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
8|Noble Energy|Oil & Gas Exploration & Production|https://www.nobleenergyinc.com|https://www.nobleenergyinc.com/careers|https://www.nobleenergyinc.com/news
9|Tullow Oil|Oil & Gas Exploration & Production|https://www.tullowoil.com|https://www.tullowoil.com/careers|https://www.tullowoil.com/news
10|Ophir Energy|Oil & Gas Exploration & Production|https://www.ophirenergy.com|https://www.ophirenergy.com/careers|https://www.ophirenergy.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Shell|Oil & Gas Refining & Marketing|https://www.shell.com.sg|https://www.shell.com.sg/careers|https://www.shell.com.sg/media
2|ExxonMobil|Oil & Gas Refining & Marketing|https://www.exxonmobil.com.sg|https://www.exxonmobil.com.sg/careers|https://www.exxonmobil.com.sg/news
3|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com.sg|https://www.chevron.com.sg/careers|https://www.chevron.com.sg/news
4|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com.sg|https://totalenergies.com.sg/careers|https://totalenergies.com.sg/news
5|BP|Oil & Gas Refining & Marketing|https://www.bp.com/en_sg|https://www.bp.com/en_sg/careers|https://www.bp.com/en_sg/media
6|PetroChina|Oil & Gas Refining & Marketing|http://www.petrochina.com.sg|http://www.petrochina.com.sg/careers|http://www.petrochina.com.sg/news
7|Sinopec|Oil & Gas Refining & Marketing|http://www.sinopec.com.sg|http://www.sinopec.com.sg/careers|http://www.sinopec.com.sg/news
8|Hindustan Petroleum|Oil & Gas Refining & Marketing|https://www.hindustanpetroleum.com|https://www.hindustanpetroleum.com/careers|https://www.hindustanpetroleum.com/news
9|NOC|Oil & Gas Refining & Marketing|https://www.noc.ae|https://www.noc.ae/careers|https://www.noc.ae/news
10|PTT|Oil & Gas Refining & Marketing|https://www.pttplc.com|https://www.pttplc.com/en/careers|https://www.pttplc.com/en/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Vopak|Oil & Gas Storage & Transportation|https://www.vopak.com|https://www.vopak.com/careers|https://www.vopak.com/news
2|Pipelines International|Oil & Gas Storage & Transportation|https://www.pipelinesinternational.com|https://www.pipelinesinternational.com/careers|https://www.pipelinesinternational.com/news
3|Bunker Holding|Oil & Gas Storage & Transportation|https://www.bunkerholding.com|https://www.bunkerholding.com/careers|https://www.bunkerholding.com/news
4|Koch Industries|Oil & Gas Storage & Transportation|https://www.kochind.com|https://www.kochind.com/careers|https://www.kochind.com/news
5|MOL Group|Oil & Gas Storage & Transportation|https://molgroup.info|https://molgroup.info/en/careers|https://molgroup.info/en/news
6|ExxonMobil|Oil & Gas Storage & Transportation|https://www.exxonmobil.com.sg|https://www.exxonmobil.com.sg/careers|https://www.exxonmobil.com.sg/news
7|Shell|Oil & Gas Storage & Transportation|https://www.shell.com.sg|https://www.shell.com.sg/careers|https://www.shell.com.sg/media
8|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com.sg|https://totalenergies.com.sg/careers|https://totalenergies.com.sg/news
9|Chevron|Oil & Gas Storage & Transportation|https://www.chevron.com.sg|https://www.chevron.com.sg/careers|https://www.chevron.com.sg/news
10|PetroChina|Oil & Gas Storage & Transportation|http://www.petrochina.com.sg|http://www.petrochina.com.sg/careers|http://www.petrochina.com.sg/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Adaro Energy|Coal & Consumable Fuels|https://www.adaro.com|https://www.adaro.com/careers|https://www.adaro.com/news
2|PTBA|Coal & Consumable Fuels|https://www.ptba.co.id|https://www.ptba.co.id/careers|https://www.ptba.co.id/news
3|BHP|Coal & Consumable Fuels|https://www.bhp.com|https://www.bhp.com/careers|https://www.bhp.com/news
4|Glencore|Coal & Consumable Fuels|https://www.glencore.com|https://www.glencore.com/careers|https://www.glencore.com/news
5|Shaanxi Coal and Chemical Industry|Coal & Consumable Fuels|http://www.sccci.com|http://www.sccci.com/careers|http://www.sccci.com/news
6|China Shenhua Energy|Coal & Consumable Fuels|http://www.csec.com|http://www.csec.com/careers|http://www.csec.com/news
7|Yanzhou Coal Mining Company|Coal & Consumable Fuels|http://www.yanzhoucoal.com|http://www.yanzhoucoal.com/careers|http://www.yanzhoucoal.com/news
8|Coal India|Coal & Consumable Fuels|https://www.coalindia.in|https://www.coalindia.in/careers|https://www.coalindia.in/news
9|Rio Tinto|Coal & Consumable Fuels|https://www.riotinto.com|https://www.riotinto.com/careers|https://www.riotinto.com/news
10|Arch Resources|Coal & Consumable Fuels|https://www.archcoal.com|https://www.archcoal.com/careers|https://www.archcoal.com/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|BASF Singapore|Chemicals|https://www.basf.com/sg|https://www.basf.com/sg/en/careers.html|https://www.basf.com/sg/en/media.html
2|Dow Singapore|Chemicals|https://www.dow.com/en-us|https://www.dow.com/en-us/careers|https://www.dow.com/en-us/news
3|SABIC Asia|Chemicals|https://www.sabic.com|https://www.sabic.com/en/careers|https://www.sabic.com/en/media
4|Mitsubishi Gas Chemical|Chemicals|https://www.mgc.co.jp/english|https://www.mgc.co.jp/english/recruit|https://www.mgc.co.jp/english/news
