|||South Korea
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Samsung Heavy Industries|Oil & Gas Drilling|https://www.samsungshi.com|https://www.samsungshi.com/en/careers|https://www.samsungshi.com/en/news
2|Hyundai Heavy Industries|Oil & Gas Drilling|https://www.hhi.co.kr|https://www.hhi.co.kr/en/careers|https://www.hhi.co.kr/en/news
3|Daewoo Shipbuilding & Marine Engineering|Oil & Gas Drilling|http://www.dsme.co.kr|http://www.dsme.co.kr/en/recruit|http://www.dsme.co.kr/en/news
4|Korea National Oil Corporation|Oil & Gas Drilling|http://www.knoc.co.kr|http://www.knoc.co.kr/eng/recruit|http://www.knoc.co.kr/eng/news
5|SK Innovation|Oil & Gas Drilling|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
6|LG International|Oil & Gas Drilling|http://www.lgic.com|http://www.lgic.com/en/careers|http://www.lgic.com/en/news
7|Hanwha Energy|Oil & Gas Drilling|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
8|Korea Gas Corporation|Oil & Gas Drilling|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
9|Daelim Industrial|Oil & Gas Drilling|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
10|S-Oil Corporation|Oil & Gas Drilling|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Samsung Heavy Industries|Oil & Gas Equipment & Services|https://www.samsungshi.com|https://www.samsungshi.com/en/careers|https://www.samsungshi.com/en/news
2|Hyundai Heavy Industries|Oil & Gas Equipment & Services|https://www.hhi.co.kr|https://www.hhi.co.kr/en/careers|https://www.hhi.co.kr/en/news
3|Daewoo Shipbuilding & Marine Engineering|Oil & Gas Equipment & Services|http://www.dsme.co.kr|http://www.dsme.co.kr/en/recruit|http://www.dsme.co.kr/en/news
4|Korea National Oil Corporation|Oil & Gas Equipment & Services|http://www.knoc.co.kr|http://www.knoc.co.kr/eng/recruit|http://www.knoc.co.kr/eng/news
5|SK Innovation|Oil & Gas Equipment & Services|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
6|LG International|Oil & Gas Equipment & Services|http://www.lgic.com|http://www.lgic.com/en/careers|http://www.lgic.com/en/news
7|Hanwha Energy|Oil & Gas Equipment & Services|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
8|Korea Gas Corporation|Oil & Gas Equipment & Services|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
9|Daelim Industrial|Oil & Gas Equipment & Services|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
10|S-Oil Corporation|Oil & Gas Equipment & Services|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|SK Innovation|Integrated Oil & Gas|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
2|S-Oil Corporation|Integrated Oil & Gas|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news
3|GS Caltex|Integrated Oil & Gas|http://www.gscaltex.com|http://www.gscaltex.com/en/recruit|http://www.gscaltex.com/en/news
4|Korea National Oil Corporation|Integrated Oil & Gas|http://www.knoc.co.kr|http://www.knoc.co.kr/eng/recruit|http://www.knoc.co.kr/eng/news
5|Hyundai Oilbank|Integrated Oil & Gas|http://www.hobak.co.kr|http://www.hobak.co.kr/en/recruit|http://www.hobak.co.kr/en/news
6|LG Chem|Integrated Oil & Gas|http://www.lgchem.com|http://www.lgchem.com/global/en/careers|http://www.lgchem.com/global/en/news
7|Daelim Industrial|Integrated Oil & Gas|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
8|Hanwha Energy|Integrated Oil & Gas|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
9|Korea Gas Corporation|Integrated Oil & Gas|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
10|SK E&S|Integrated Oil & Gas|https://www.skens.com|https://www.skens.com/en/careers|https://www.skens.com/en/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Korea National Oil Corporation|Oil & Gas Exploration & Production|http://www.knoc.co.kr|http://www.knoc.co.kr/eng/recruit|http://www.knoc.co.kr/eng/news
2|SK Innovation|Oil & Gas Exploration & Production|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
3|S-Oil Corporation|Oil & Gas Exploration & Production|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news
4|Korea Gas Corporation|Oil & Gas Exploration & Production|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
5|Hyundai Oilbank|Oil & Gas Exploration & Production|http://www.hobak.co.kr|http://www.hobak.co.kr/en/recruit|http://www.hobak.co.kr/en/news
6|Daewoo Shipbuilding & Marine Engineering|Oil & Gas Exploration & Production|http://www.dsme.co.kr|http://www.dsme.co.kr/en/recruit|http://www.dsme.co.kr/en/news
7|Hanwha Energy|Oil & Gas Exploration & Production|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
8|LG Chem|Oil & Gas Exploration & Production|http://www.lgchem.com|http://www.lgchem.com/global/en/careers|http://www.lgchem.com/global/en/news
9|Daelim Industrial|Oil & Gas Exploration & Production|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
10|SK E&S|Oil & Gas Exploration & Production|https://www.skens.com|https://www.skens.com/en/careers|https://www.skens.com/en/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|SK Innovation|Oil & Gas Refining & Marketing|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
2|GS Caltex|Oil & Gas Refining & Marketing|http://www.gscaltex.com|http://www.gscaltex.com/en/recruit|http://www.gscaltex.com/en/news
3|S-Oil Corporation|Oil & Gas Refining & Marketing|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news
4|Hyundai Oilbank|Oil & Gas Refining & Marketing|http://www.hobak.co.kr|http://www.hobak.co.kr/en/recruit|http://www.hobak.co.kr/en/news
5|Korea National Oil Corporation|Oil & Gas Refining & Marketing|http://www.knoc.co.kr|http://www.knoc.co.kr/eng/recruit|http://www.knoc.co.kr/eng/news
6|LG Chem|Oil & Gas Refining & Marketing|http://www.lgchem.com|http://www.lgchem.com/global/en/careers|http://www.lgchem.com/global/en/news
7|Daelim Industrial|Oil & Gas Refining & Marketing|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
8|Hanwha Energy|Oil & Gas Refining & Marketing|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
9|Korea Gas Corporation|Oil & Gas Refining & Marketing|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
10|SK E&S|Oil & Gas Refining & Marketing|https://www.skens.com|https://www.skens.com/en/careers|https://www.skens.com/en/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Korea National Oil Corporation|Oil & Gas Storage & Transportation|http://www.knoc.co.kr|http://www.knoc.co.kr/eng/recruit|http://www.knoc.co.kr/eng/news
2|SK Innovation|Oil & Gas Storage & Transportation|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
3|S-Oil Corporation|Oil & Gas Storage & Transportation|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news
4|GS Caltex|Oil & Gas Storage & Transportation|http://www.gscaltex.com|http://www.gscaltex.com/en/recruit|http://www.gscaltex.com/en/news
5|Hyundai Oilbank|Oil & Gas Storage & Transportation|http://www.hobak.co.kr|http://www.hobak.co.kr/en/recruit|http://www.hobak.co.kr/en/news
6|Korea Gas Corporation|Oil & Gas Storage & Transportation|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
7|Daelim Industrial|Oil & Gas Storage & Transportation|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
8|Hanwha Energy|Oil & Gas Storage & Transportation|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
9|LG Chem|Oil & Gas Storage & Transportation|http://www.lgchem.com|http://www.lgchem.com/global/en/careers|http://www.lgchem.com/global/en/news
10|SK E&S|Oil & Gas Storage & Transportation|https://www.skens.com|https://www.skens.com/en/careers|https://www.skens.com/en/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Korea Coal Corporation|Coal & Consumable Fuels|http://www.koreacoal.co.kr|http://www.koreacoal.co.kr/eng/recruit|http://www.koreacoal.co.kr/eng/news
2|Korea Resources Corporation|Coal & Consumable Fuels|http://www.kores.or.kr|http://www.kores.or.kr/eng/recruit|http://www.kores.or.kr/eng/news
3|POSCO Energy|Coal & Consumable Fuels|http://www.poscoenergy.com|http://www.poscoenergy.com/en/careers|http://www.poscoenergy.com/en/news
4|Hanwha Energy|Coal & Consumable Fuels|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
5|SK Innovation|Coal & Consumable Fuels|https://www.skinnovation.com|https://www.skinnovation.com/en/careers|https://www.skinnovation.com/en/news
6|Korea Electric Power Corporation|Coal & Consumable Fuels|http://www.kepco.co.kr|http://www.kepco.co.kr/eng/recruit|http://www.kepco.co.kr/eng/news
7|S-Oil Corporation|Coal & Consumable Fuels|https://www.s-oil.com|https://www.s-oil.com/eng/careers|https://www.s-oil.com/eng/news
8|Daelim Industrial|Coal & Consumable Fuels|http://www.daelim.co.kr|http://www.daelim.co.kr/eng/careers|http://www.daelim.co.kr/eng/news
9|Korea Gas Corporation|Coal & Consumable Fuels|http://www.kogas.or.kr|http://www.kogas.or.kr/eng/recruit|http://www.kogas.or.kr/eng/news
10|Hyundai Oilbank|Coal & Consumable Fuels|http://www.hobak.co.kr|http://www.hobak.co.kr/en/recruit|http://www.hobak.co.kr/en/news

|||Materials sector
|||Chemicals
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|LG Chem|Chemicals|https://www.lgchem.com|https://www.lgchem.com/global/en/careers|https://www.lgchem.com/global/en/news
2|Lotte Chemical|Chemicals|https://www.lottechem.com|https://www.lottechem.com/en/careers|https://www.lottechem.com/en/news
3|Hanwha Solutions|Chemicals|https://www.hanwha.com/en.html|https://www.hanwha.com/en/careers.html|https://www.hanwha.com/en/news.html
4|SK Global Chemical|Chemicals|https://www.skglobalchemical.com|https://www.skglobalchemical.com/en/careers|https://www.skglobalchemical.com/en/news
